time,action_idx,lights_on,state,rewarded_states,choice,action,reward_time,n_rewards,mouse_rotation,maze_rotation,note,adjacency_file,st_positions_file,start_state
240428_160114,0,"[False, True, False, True]",9,"[6, 7, 8, 16, 17, 25, 26, 34, 35, 43, 44, 5]","['S', 10]",backwards,NA,0,180,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240428_160138,1,"[False, True, True, False]",10,"[6, 7, 8, 16, 17, 25, 26, 34, 35, 43, 44, 5]","['W', 11]",left,240428_160138,1,90,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240428_160209,2,"[True, True, True, False]",1,"[6, 7, 8, 16, 17, 25, 26, 34, 35, 43, 44, 5]","['N', 2]",left,NA,1,0,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240428_160217,3,"[True, False, False, True]",0,"[6, 7, 8, 16, 17, 25, 26, 34, 35, 43, 44, 5]","['E', 14]",left,NA,1,270,270,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240428_160228,4,"[False, True, False, True]",9,"[6, 7, 8, 16, 17, 25, 26, 34, 35, 43, 44, 5]","['S', 10]",left,NA,1,180,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240428_160301,5,"[False, True, True, False]",10,"[6, 7, 8, 16, 17, 25, 26, 34, 35, 43, 44, 5]","['W', 11]",left,NA,1,90,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240428_160404,6,"[True, True, True, False]",9,"[6, 7, 8, 16, 17, 25, 26, 34, 35, 43, 44, 5]","['W', 11]",backwards,NA,1,270,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240428_160414,7,"[False, True, True, False]",0,"[6, 7, 8, 16, 17, 25, 26, 34, 35, 43, 44, 5]","['S', 10]",right,NA,1,0,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240428_160528,8,"[False, True, False, True]",1,"[6, 7, 8, 16, 17, 25, 26, 34, 35, 43, 44, 5]","['E', 14]",right,NA,1,90,270,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240428_160537,9,"[True, False, False, True]",10,"[6, 7, 8, 16, 17, 25, 26, 34, 35, 43, 44, 5]","['N', 2]",right,NA,1,180,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240428_160548,10,"[True, True, True, False]",9,"[6, 7, 8, 16, 17, 25, 26, 34, 35, 43, 44, 5]","['W', 11]",right,NA,1,270,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240428_161019,11,"[False, True, True, False]",10,"[6, 7, 8, 16, 17, 25, 26, 34, 35, 43, 44, 5]","['W', 11]",backwards,NA,1,90,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240428_161541,12,"[True, True, True, False]",9,"[6, 7, 8, 16, 17, 25, 26, 34, 35, 43, 44, 5]","['W', 11]",backwards,NA,1,270,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240428_161551,13,"[False, True, True, False]",0,"[6, 7, 8, 16, 17, 25, 26, 34, 35, 43, 44, 5]","['S', 10]",right,NA,1,0,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240428_161629,14,"[False, True, False, True]",1,"[6, 7, 8, 16, 17, 25, 26, 34, 35, 43, 44, 5]","['E', 14]",right,NA,1,90,270,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240428_161647,15,"[True, False, False, True]",10,"[6, 7, 8, 16, 17, 25, 26, 34, 35, 43, 44, 5]","['N', 2]",right,NA,1,180,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240428_161737,16,"[True, True, True, False]",9,"[6, 7, 8, 16, 17, 25, 26, 34, 35, 43, 44, 5]","['W', 11]",right,NA,1,270,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240428_161948,17,"[False, True, True, False]",10,"[6, 7, 8, 16, 17, 25, 26, 34, 35, 43, 44, 5]","['W', 11]",backwards,NA,1,90,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240428_161956,18,"[True, True, True, False]",1,"[6, 7, 8, 16, 17, 25, 26, 34, 35, 43, 44, 5]","['N', 2]",left,NA,1,0,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240428_162138,19,"[True, False, False, True]",0,"[6, 7, 8, 16, 17, 25, 26, 34, 35, 43, 44, 5]","['E', 14]",left,NA,1,270,270,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240428_162149,20,"[False, True, False, True]",9,"[6, 7, 8, 16, 17, 25, 26, 34, 35, 43, 44, 5]","['S', 10]",left,NA,1,180,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240428_162156,21,"[False, True, True, False]",10,"[6, 7, 8, 16, 17, 25, 26, 34, 35, 43, 44, 5]","['W', 11]",left,NA,1,90,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240428_162408,22,"[True, True, True, False]",9,"[6, 7, 8, 16, 17, 25, 26, 34, 35, 43, 44, 5]","['W', 11]",backwards,NA,1,270,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240428_162424,23,"[False, True, True, False]",0,"[6, 7, 8, 16, 17, 25, 26, 34, 35, 43, 44, 5]","['S', 10]",right,NA,1,0,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240428_162432,24,"[False, True, False, True]",1,"[6, 7, 8, 16, 17, 25, 26, 34, 35, 43, 44, 5]","['E', 14]",right,NA,1,90,270,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240428_162452,25,"[True, False, False, True]",10,"[6, 7, 8, 16, 17, 25, 26, 34, 35, 43, 44, 5]","['N', 2]",right,NA,1,180,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240428_163129,26,"[True, True, True, False]",9,"[6, 7, 8, 16, 17, 25, 26, 34, 35, 43, 44, 5]","['W', 11]",right,NA,1,270,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240428_163151,27,"[False, True, True, False]",0,"[6, 7, 8, 16, 17, 25, 26, 34, 35, 43, 44, 5]","['S', 10]",right,NA,1,0,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
