time,action_idx,lights_on,state,rewarded_states,choice,action,reward_time,n_rewards,mouse_rotation,maze_rotation,note,adjacency_file,st_positions_file,start_state,reward_duration
241116-144653,0,"[False, False, False, True]",21,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]","['E', 14]",right,241116-144653,1,90,270,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,20,"{'N': 0.0646, 'S': 0.0476, 'W': 0.0532, 'E': 0.0523}"
241116-144731,1,"[True, True, True, True]",22,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]","['W', 11]",forwards,241116-144731,2,90,90,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,20,"{'N': 0.0646, 'S': 0.0476, 'W': 0.0532, 'E': 0.0523}"
241116-144751,2,"[False, False, True, True]",23,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]","['E', 14]",forwards,241116-144751,3,90,270,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,20,"{'N': 0.0646, 'S': 0.0476, 'W': 0.0532, 'E': 0.0523}"
241116-144854,3,"[False, False, False, True]",22,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]","['E', 14]",backwards,NA,3,270,270,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,20,"{'N': 0.0646, 'S': 0.0476, 'W': 0.0532, 'E': 0.0523}"
241116-144907,4,"[False, False, True, True]",21,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]","['W', 11]",forwards,NA,3,270,90,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,20,"{'N': 0.0646, 'S': 0.0476, 'W': 0.0532, 'E': 0.0523}"
241116-144919,5,"[True, True, True, True]",14,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]","['S', 10]",right,241116-144919,4,0,0,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,20,"{'N': 0.0646, 'S': 0.0476, 'W': 0.0532, 'E': 0.0523}"
241116-144939,6,"[False, True, True, True]",13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]","['W', 11]",left,241116-144939,5,270,90,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,20,"{'N': 0.0646, 'S': 0.0476, 'W': 0.0532, 'E': 0.0523}"
241116-144950,7,"[False, True, True, False]",7,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]","['S', 10]",right,241116-144950,6,0,0,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,20,"{'N': 0.0646, 'S': 0.0476, 'W': 0.0532, 'E': 0.0523}"
241116-145012,8,"[True, True, False, False]",0,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]","['N', 2]",forwards,241116-145012,7,0,180,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,20,"{'N': 0.0646, 'S': 0.0476, 'W': 0.0532, 'E': 0.0523}"
241116-145050,9,"[True, False, True, False]",1,"[2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]","['W', 11]",right,241116-145050,8,90,90,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,20,"{'N': 0.0646, 'S': 0.0476, 'W': 0.0532, 'E': 0.0523}"
241116-145101,10,"[False, False, True, True]",2,"[3, 4, 5, 6, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]","['E', 14]",forwards,241116-145101,9,90,270,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,20,"{'N': 0.0646, 'S': 0.0476, 'W': 0.0532, 'E': 0.0523}"
241116-145114,11,"[True, False, False, True]",8,"[3, 4, 5, 6, 9, 10, 11, 12, 15, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]","['N', 2]",right,241116-145114,10,180,180,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,20,"{'N': 0.0646, 'S': 0.0476, 'W': 0.0532, 'E': 0.0523}"
241116-145127,12,"[True, True, False, True]",15,"[3, 4, 5, 6, 9, 10, 11, 12, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]","['S', 10]",forwards,241116-145127,11,180,0,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,20,"{'N': 0.0646, 'S': 0.0476, 'W': 0.0532, 'E': 0.0523}"
241116-145149,13,"[False, True, False, True]",14,"[3, 4, 5, 6, 9, 10, 11, 12, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]","['E', 14]",right,NA,11,270,270,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,20,"{'N': 0.0646, 'S': 0.0476, 'W': 0.0532, 'E': 0.0523}"
241116-145157,14,"[False, True, True, True]",13,"[3, 4, 5, 6, 9, 10, 11, 12, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]","['W', 11]",forwards,NA,11,270,90,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,20,"{'N': 0.0646, 'S': 0.0476, 'W': 0.0532, 'E': 0.0523}"
241116-145206,15,"[False, True, True, False]",7,"[3, 4, 5, 6, 9, 10, 11, 12, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]","['S', 10]",right,NA,11,0,0,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,20,"{'N': 0.0646, 'S': 0.0476, 'W': 0.0532, 'E': 0.0523}"
241116-145215,16,"[True, True, False, False]",0,"[3, 4, 5, 6, 9, 10, 11, 12, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]","['N', 2]",forwards,NA,11,0,180,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,20,"{'N': 0.0646, 'S': 0.0476, 'W': 0.0532, 'E': 0.0523}"
241116-145234,17,"[True, False, True, False]",1,"[3, 4, 5, 6, 9, 10, 11, 12, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]","['W', 11]",right,NA,11,90,90,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,20,"{'N': 0.0646, 'S': 0.0476, 'W': 0.0532, 'E': 0.0523}"
