time,action_idx,lights_on,state,rewarded_states,choice,action,reward_time,n_rewards,mouse_rotation,maze_rotation,note,adjacency_file,st_positions_file,start_state,reward_duration
260309-204710,0,"[False, True, False, True]",16,"[0, 1, 5, 6, 7, 11, 12, 13, 15, 17, 18, 20, 21, 22, 23]","['E', 14]",right,260309-204710,1,90,270,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.06210000000000001, 'S': 0.0504, 'W': 0.057600000000000005, 'E': 0.057600000000000005}"
260309-204723,1,"[True, False, True, True]",17,"[0, 1, 5, 6, 7, 11, 12, 13, 15, 18, 20, 21, 22, 23]","['W', 11]",forwards,260309-204723,2,90,90,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.06210000000000001, 'S': 0.0504, 'W': 0.057600000000000005, 'E': 0.057600000000000005}"
260309-204745,2,"[False, True, True, True]",22,"[0, 1, 5, 6, 7, 11, 12, 13, 15, 18, 20, 21, 23]","['S', 10]",right,260309-204745,3,180,0,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.06210000000000001, 'S': 0.0504, 'W': 0.057600000000000005, 'E': 0.057600000000000005}"
260309-205043,3,"[False, True, True, True]",21,"[0, 1, 5, 6, 7, 11, 12, 13, 15, 18, 20, 23]","['E', 14]",right,260309-205043,4,270,270,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.06210000000000001, 'S': 0.0504, 'W': 0.057600000000000005, 'E': 0.057600000000000005}"
260309-205058,4,"[True, False, True, True]",20,"[0, 1, 5, 6, 7, 11, 12, 13, 15, 18, 23]","['W', 11]",forwards,260309-205058,5,270,90,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.06210000000000001, 'S': 0.0504, 'W': 0.057600000000000005, 'E': 0.057600000000000005}"
260309-205111,5,"[False, True, True, False]",15,"[0, 1, 5, 6, 7, 11, 12, 13, 18, 23]","['S', 10]",right,260309-205111,6,0,0,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.06210000000000001, 'S': 0.0504, 'W': 0.057600000000000005, 'E': 0.057600000000000005}"
260309-205123,6,"[False, True, False, True]",16,"[0, 1, 5, 6, 7, 11, 12, 13, 18, 23]","['E', 14]",right,NA,6,90,270,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.06210000000000001, 'S': 0.0504, 'W': 0.057600000000000005, 'E': 0.057600000000000005}"
260309-205209,7,"[True, False, True, True]",21,"[0, 1, 5, 6, 7, 11, 12, 13, 18, 23]","['N', 2]",right,NA,6,180,180,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.06210000000000001, 'S': 0.0504, 'W': 0.057600000000000005, 'E': 0.057600000000000005}"
260309-205741,8,"[True, False, True, True]",20,"[0, 1, 5, 6, 7, 11, 12, 13, 18, 23]","['W', 11]",right,NA,6,270,90,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.06210000000000001, 'S': 0.0504, 'W': 0.057600000000000005, 'E': 0.057600000000000005}"
260309-205758,9,"[False, True, True, False]",15,"[0, 1, 5, 6, 7, 11, 12, 13, 18, 23]","['S', 10]",right,NA,6,0,0,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.06210000000000001, 'S': 0.0504, 'W': 0.057600000000000005, 'E': 0.057600000000000005}"
