time,action_idx,lights_on,state,rewarded_states,choice,action,reward_time,n_rewards,mouse_rotation,maze_rotation,note,adjacency_file,st_positions_file,start_state
240301_132125,0,"[False, True, False, True]",9,[16],"['S', 10]",backwards,NA,0,180,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240301_132134,1,"[False, True, True, False]",10,[16],"['W', 11]",left,NA,0,90,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240301_132146,2,"[True, True, True, False]",1,[16],"['N', 2]",left,NA,0,0,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240301_132159,3,"[True, False, False, True]",0,[16],"['E', 14]",left,NA,0,270,270,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240301_132208,4,"[False, True, False, True]",9,[16],"['S', 10]",left,NA,0,180,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240301_132247,5,"[False, True, True, False]",10,[16],"['W', 11]",left,NA,0,90,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240301_132257,6,"[True, True, True, False]",1,[16],"['N', 2]",left,NA,0,0,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240301_132316,7,"[True, False, False, True]",0,[16],"['E', 14]",left,NA,0,270,270,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240301_132324,8,"[False, True, False, True]",9,[16],"['S', 10]",left,NA,0,180,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240301_132334,9,"[False, True, True, False]",10,[16],"['W', 11]",left,NA,0,90,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240301_132345,10,"[True, True, True, False]",1,[16],"['N', 2]",left,NA,0,0,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240301_132408,11,"[True, False, False, True]",0,[16],"['E', 14]",left,NA,0,270,270,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240301_132422,12,"[False, True, False, True]",9,[16],"['S', 10]",left,NA,0,180,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240301_132443,13,"[False, True, True, False]",10,[16],"['W', 11]",left,NA,0,90,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240301_132459,14,"[True, True, True, False]",1,[16],"['N', 2]",left,NA,0,0,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240301_132505,15,"[True, False, False, True]",0,[16],"['E', 14]",left,NA,0,270,270,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240301_132511,16,"[False, True, False, True]",9,[16],"['S', 10]",left,NA,0,180,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240301_132539,17,"[False, True, True, False]",10,[16],"['W', 11]",left,NA,0,90,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240301_132551,18,"[True, True, True, False]",19,[16],"['S', 10]",right,NA,0,180,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240301_132556,19,"[True, True, True, True]",18,[16],"['E', 14]",right,NA,0,270,270,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240301_132610,20,"[False, True, False, True]",27,[16],"['S', 10]",left,NA,0,180,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240301_132622,21,"[True, True, True, False]",28,[16],"['W', 11]",left,NA,0,90,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240301_132630,22,"[True, False, True, False]",19,[16],"['N', 2]",left,NA,0,0,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240301_132645,23,"[True, True, True, True]",18,[16],"['E', 14]",left,NA,0,270,270,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240301_132652,24,"[False, True, False, True]",27,[16],"['S', 10]",left,NA,0,180,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240301_132659,25,"[True, True, True, False]",36,[16],"['N', 2]",forwards,NA,0,180,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240301_132723,26,"[True, False, False, True]",37,[16],"['E', 14]",left,NA,0,90,270,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240301_132739,27,"[False, False, True, True]",38,[16],"['W', 11]",forwards,NA,0,90,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240301_132757,28,"[True, False, True, False]",29,[16],"['N', 2]",left,NA,0,0,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240301_132816,29,"[True, True, True, False]",20,[16],"['S', 10]",forwards,NA,0,0,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240301_132826,30,"[True, True, True, False]",11,[16],"['N', 2]",forwards,NA,0,0,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240301_132853,31,"[True, True, False, False]",2,[16],"['S', 10]",forwards,NA,0,0,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
