time,action_idx,lights_on,state,rewarded_states,choice,action,reward_time,n_rewards,mouse_rotation,maze_rotation,note,adjacency_file,st_positions_file,start_state,reward_duration
240910-231045,0,"[True, True, False, True]",9,"[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 18, 19, 20, 25, 27, 34]","['E', 14]",right,240910-231045,1,90,270,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,8,"{'N': 0.125, 'S': 0.1, 'W': 0.11, 'E': 0.115}"
240910-231107,1,"[True, False, True, True]",16,"[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 18, 19, 20, 25, 27, 34]","['N', 2]",right,240910-231107,2,180,180,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,8,"{'N': 0.125, 'S': 0.1, 'W': 0.11, 'E': 0.115}"
240910-231238,2,"[True, False, False, True]",17,"[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 18, 19, 20, 25, 27, 34]","['E', 14]",left,240910-231238,3,90,270,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,8,"{'N': 0.125, 'S': 0.1, 'W': 0.11, 'E': 0.115}"
240910-231342,3,"[True, False, False, True]",24,"[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 18, 19, 20, 25, 27, 34]","['N', 2]",right,240910-231342,4,180,180,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,8,"{'N': 0.125, 'S': 0.1, 'W': 0.11, 'E': 0.115}"
240910-231424,4,"[True, True, False, True]",31,"[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 18, 19, 20, 25, 27, 34]","['S', 10]",forwards,240910-231424,5,180,0,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,8,"{'N': 0.125, 'S': 0.1, 'W': 0.11, 'E': 0.115}"
240910-231502,5,"[False, True, True, True]",32,"[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 18, 19, 20, 25, 27, 34]","['W', 11]",left,240910-231502,6,90,90,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,8,"{'N': 0.125, 'S': 0.1, 'W': 0.11, 'E': 0.115}"
240910-231523,6,"[False, True, True, True]",33,"[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 18, 19, 20, 25, 27, 34]","['E', 14]",forwards,240910-231523,7,90,270,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,8,"{'N': 0.125, 'S': 0.1, 'W': 0.11, 'E': 0.115}"
240910-231547,7,"[False, True, False, True]",26,"[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 18, 19, 20, 25, 27, 34]","['S', 10]",left,240910-231547,8,0,0,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,8,"{'N': 0.125, 'S': 0.1, 'W': 0.11, 'E': 0.115}"
240910-231745,8,"[False, True, False, False]",33,"[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 18, 19, 20, 25, 27, 34]","['S', 10]",backwards,NA,8,180,0,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,8,"{'N': 0.125, 'S': 0.1, 'W': 0.11, 'E': 0.115}"
240910-231754,9,"[False, True, False, True]",32,"[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 18, 19, 20, 25, 27, 34]","['E', 14]",right,NA,8,270,270,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,8,"{'N': 0.125, 'S': 0.1, 'W': 0.11, 'E': 0.115}"
240910-231811,10,"[False, True, True, True]",31,"[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 18, 19, 20, 25, 27, 34]","['W', 11]",forwards,NA,8,270,90,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,8,"{'N': 0.125, 'S': 0.1, 'W': 0.11, 'E': 0.115}"
240910-231828,11,"[False, True, True, True]",30,"[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 18, 19, 20, 25, 27, 34]","['E', 14]",forwards,240910-231828,9,270,270,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,8,"{'N': 0.125, 'S': 0.1, 'W': 0.11, 'E': 0.115}"
240910-231851,12,"[False, True, True, True]",29,"[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 18, 19, 20, 25, 27, 34]","['W', 11]",forwards,240910-231851,10,270,90,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,8,"{'N': 0.125, 'S': 0.1, 'W': 0.11, 'E': 0.115}"
240910-231934,13,"[True, False, True, True]",28,"[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 18, 19, 20, 25, 27, 34]","['E', 14]",forwards,240910-231934,11,270,270,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,8,"{'N': 0.125, 'S': 0.1, 'W': 0.11, 'E': 0.115}"
240910-232004,14,"[True, True, True, True]",21,"[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 18, 19, 20, 25, 27, 34]","['N', 2]",right,240910-232004,12,0,180,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,8,"{'N': 0.125, 'S': 0.1, 'W': 0.11, 'E': 0.115}"
240910-232052,15,"[True, True, True, True]",22,"[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 18, 19, 20, 25, 27, 34]","['W', 11]",right,240910-232052,13,90,90,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,8,"{'N': 0.125, 'S': 0.1, 'W': 0.11, 'E': 0.115}"
