time,action_idx,lights_on,state,rewarded_states,choice,action,reward_time,n_rewards,mouse_rotation,maze_rotation,note,adjacency_file,st_positions_file,start_state
240416_112134,0,"[False, True, False, True]",9,[8],"['S', 10]",backwards,NA,0,180,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240416_112148,1,"[False, True, True, False]",10,[8],"['W', 11]",left,240416_112148,1,90,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240416_112210,2,"[True, True, True, False]",19,[8],"['S', 10]",right,240416_112210,2,180,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240416_112230,3,"[True, True, True, True]",28,[8],"['N', 2]",forwards,NA,2,180,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240416_112238,4,"[True, False, True, False]",27,[8],"['W', 11]",right,NA,2,270,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240416_112243,5,"[True, True, True, False]",18,[8],"['S', 10]",right,NA,2,0,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240416_112249,6,"[False, True, False, True]",19,[8],"['E', 14]",right,NA,2,90,270,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240416_112257,7,"[True, True, True, True]",28,[8],"['N', 2]",right,NA,2,180,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240416_112302,8,"[True, False, True, False]",27,[8],"['W', 11]",right,NA,2,270,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240416_112308,9,"[True, True, True, False]",18,[8],"['S', 10]",right,NA,2,0,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240416_112314,10,"[False, True, False, True]",19,[8],"['E', 14]",right,NA,2,90,270,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240416_112324,11,"[True, True, True, True]",20,[8],"['W', 11]",forwards,240416_112324,3,90,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240416_112338,12,"[True, True, True, False]",29,[8],"['S', 10]",right,240416_112338,4,180,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240416_112400,13,"[True, True, True, False]",38,[8],"['N', 2]",forwards,NA,4,180,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240416_112406,14,"[True, False, True, False]",37,[8],"['W', 11]",right,NA,4,270,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240416_112411,15,"[False, False, True, True]",36,[8],"['E', 14]",forwards,NA,4,270,270,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240416_112418,16,"[True, False, False, True]",27,[8],"['N', 2]",right,NA,4,0,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240416_112422,17,"[True, True, True, False]",18,[8],"['S', 10]",forwards,NA,4,0,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240416_112428,18,"[False, True, False, True]",19,[8],"['E', 14]",right,NA,4,90,270,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240416_112434,19,"[True, True, True, True]",20,[8],"['W', 11]",forwards,NA,4,90,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240416_112438,20,"[True, True, True, False]",29,[8],"['S', 10]",right,NA,4,180,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240416_112447,21,"[True, True, True, False]",38,[8],"['N', 2]",forwards,NA,4,180,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240416_112502,22,"[True, False, True, False]",37,[8],"['W', 11]",right,NA,4,270,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240416_112508,23,"[False, False, True, True]",36,[8],"['E', 14]",forwards,NA,4,270,270,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240416_112515,24,"[True, False, False, True]",27,[8],"['N', 2]",right,NA,4,0,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240416_112519,25,"[True, True, True, False]",18,[8],"['S', 10]",forwards,NA,4,0,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
