time,action_idx,lights_on,state,rewarded_states,choice,action,reward_time,n_rewards,mouse_rotation,maze_rotation,note,adjacency_file,st_positions_file,start_state
240304_213358,0,"[False, True, False, True]",9,"[5, 6, 7, 8, 12, 13, 14, 15, 16, 17, 23, 24, 25, 26, 30, 32, 33, 34, 35, 41, 42, 43, 44]","['S', 10]",backwards,NA,0,180,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240304_213607,1,"[False, True, True, False]",0,"[5, 6, 7, 8, 12, 13, 14, 15, 16, 17, 23, 24, 25, 26, 30, 32, 33, 34, 35, 41, 42, 43, 44]","['S', 10]",backwards,NA,0,0,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240304_213625,2,"[False, True, False, True]",1,"[5, 6, 7, 8, 12, 13, 14, 15, 16, 17, 23, 24, 25, 26, 30, 32, 33, 34, 35, 41, 42, 43, 44]","['E', 14]",right,NA,0,90,270,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240304_213646,3,"[True, False, False, True]",10,"[5, 6, 7, 8, 12, 13, 14, 15, 16, 17, 23, 24, 25, 26, 30, 32, 33, 34, 35, 41, 42, 43, 44]","['N', 2]",right,240304_213646,1,180,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240304_213702,4,"[True, True, True, False]",19,"[5, 6, 7, 8, 12, 13, 14, 15, 16, 17, 23, 24, 25, 26, 30, 32, 33, 34, 35, 41, 42, 43, 44]","['S', 10]",forwards,240304_213702,2,180,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240304_213716,5,"[True, True, True, True]",18,"[5, 6, 7, 8, 12, 13, 14, 15, 16, 17, 23, 24, 25, 26, 30, 32, 33, 34, 35, 41, 42, 43, 44]","['E', 14]",right,NA,2,270,270,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240304_213800,6,"[False, True, False, True]",27,"[5, 6, 7, 8, 12, 13, 14, 15, 16, 17, 23, 24, 25, 26, 30, 32, 33, 34, 35, 41, 42, 43, 44]","['S', 10]",left,NA,2,180,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240304_213815,7,"[True, True, True, False]",36,"[5, 6, 7, 8, 12, 13, 14, 15, 16, 17, 23, 24, 25, 26, 30, 32, 33, 34, 35, 41, 42, 43, 44]","['N', 2]",forwards,NA,2,180,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240304_213826,8,"[True, False, False, True]",37,"[5, 6, 7, 8, 12, 13, 14, 15, 16, 17, 23, 24, 25, 26, 30, 32, 33, 34, 35, 41, 42, 43, 44]","['E', 14]",left,NA,2,90,270,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240304_213957,9,"[False, False, True, True]",38,"[5, 6, 7, 8, 12, 13, 14, 15, 16, 17, 23, 24, 25, 26, 30, 32, 33, 34, 35, 41, 42, 43, 44]","['W', 11]",forwards,NA,2,90,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240304_214433,10,"[True, False, True, False]",29,"[5, 6, 7, 8, 12, 13, 14, 15, 16, 17, 23, 24, 25, 26, 30, 32, 33, 34, 35, 41, 42, 43, 44]","['N', 2]",left,240304_214433,3,0,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240304_214444,11,"[True, True, True, False]",20,"[5, 6, 7, 8, 12, 13, 14, 15, 16, 17, 23, 24, 25, 26, 30, 32, 33, 34, 35, 41, 42, 43, 44]","['S', 10]",forwards,240304_214444,4,0,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240304_214535,12,"[True, True, True, False]",29,"[5, 6, 7, 8, 12, 13, 14, 15, 16, 17, 23, 24, 25, 26, 30, 32, 33, 34, 35, 41, 42, 43, 44]","['S', 10]",backwards,NA,4,180,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240304_214635,13,"[True, True, True, False]",20,"[5, 6, 7, 8, 12, 13, 14, 15, 16, 17, 23, 24, 25, 26, 30, 32, 33, 34, 35, 41, 42, 43, 44]","['S', 10]",backwards,NA,4,0,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240304_214727,14,"[True, True, True, False]",11,"[5, 6, 7, 8, 12, 13, 14, 15, 16, 17, 23, 24, 25, 26, 30, 32, 33, 34, 35, 41, 42, 43, 44]","['N', 2]",forwards,NA,4,0,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240304_214737,15,"[True, True, False, False]",2,"[5, 6, 7, 8, 12, 13, 14, 15, 16, 17, 23, 24, 25, 26, 30, 32, 33, 34, 35, 41, 42, 43, 44]","['S', 10]",forwards,NA,4,0,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240304_214810,16,"[False, True, False, True]",3,"[5, 6, 7, 8, 12, 13, 14, 15, 16, 17, 23, 24, 25, 26, 30, 32, 33, 34, 35, 41, 42, 43, 44]","['E', 14]",right,240304_214810,5,90,270,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240304_214838,17,"[True, False, True, True]",4,"[5, 6, 7, 8, 12, 13, 14, 15, 16, 17, 23, 24, 25, 26, 30, 32, 33, 34, 35, 41, 42, 43, 44]","['W', 11]",forwards,NA,5,90,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240304_215446,18,"[False, False, True, False]",3,"[5, 6, 7, 8, 12, 13, 14, 15, 16, 17, 23, 24, 25, 26, 30, 32, 33, 34, 35, 41, 42, 43, 44]","['W', 11]",backwards,NA,5,270,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240304_215457,19,"[True, False, True, True]",2,"[5, 6, 7, 8, 12, 13, 14, 15, 16, 17, 23, 24, 25, 26, 30, 32, 33, 34, 35, 41, 42, 43, 44]","['E', 14]",forwards,NA,5,270,270,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240304_215519,20,"[False, True, False, True]",11,"[5, 6, 7, 8, 12, 13, 14, 15, 16, 17, 23, 24, 25, 26, 30, 32, 33, 34, 35, 41, 42, 43, 44]","['S', 10]",left,NA,5,180,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240304_215611,21,"[True, True, False, False]",20,"[5, 6, 7, 8, 12, 13, 14, 15, 16, 17, 23, 24, 25, 26, 30, 32, 33, 34, 35, 41, 42, 43, 44]","['N', 2]",forwards,NA,5,180,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240304_215630,22,"[True, True, True, False]",29,"[5, 6, 7, 8, 12, 13, 14, 15, 16, 17, 23, 24, 25, 26, 30, 32, 33, 34, 35, 41, 42, 43, 44]","['S', 10]",forwards,NA,5,180,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240304_215645,23,"[True, True, True, False]",38,"[5, 6, 7, 8, 12, 13, 14, 15, 16, 17, 23, 24, 25, 26, 30, 32, 33, 34, 35, 41, 42, 43, 44]","['N', 2]",forwards,NA,5,180,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240304_220036,24,"[True, False, True, False]",29,"[5, 6, 7, 8, 12, 13, 14, 15, 16, 17, 23, 24, 25, 26, 30, 32, 33, 34, 35, 41, 42, 43, 44]","['N', 2]",backwards,NA,5,0,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240304_220044,25,"[True, True, True, False]",20,"[5, 6, 7, 8, 12, 13, 14, 15, 16, 17, 23, 24, 25, 26, 30, 32, 33, 34, 35, 41, 42, 43, 44]","['S', 10]",forwards,NA,5,0,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240304_220157,26,"[True, True, True, False]",29,"[5, 6, 7, 8, 12, 13, 14, 15, 16, 17, 23, 24, 25, 26, 30, 32, 33, 34, 35, 41, 42, 43, 44]","['S', 10]",backwards,NA,5,180,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240304_220218,27,"[True, True, True, False]",38,"[5, 6, 7, 8, 12, 13, 14, 15, 16, 17, 23, 24, 25, 26, 30, 32, 33, 34, 35, 41, 42, 43, 44]","['N', 2]",forwards,NA,5,180,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240304_220259,28,"[True, False, True, False]",37,"[5, 6, 7, 8, 12, 13, 14, 15, 16, 17, 23, 24, 25, 26, 30, 32, 33, 34, 35, 41, 42, 43, 44]","['W', 11]",right,NA,5,270,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240304_220310,29,"[False, False, True, True]",36,"[5, 6, 7, 8, 12, 13, 14, 15, 16, 17, 23, 24, 25, 26, 30, 32, 33, 34, 35, 41, 42, 43, 44]","['E', 14]",forwards,NA,5,270,270,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240304_220425,30,"[True, False, False, True]",27,"[5, 6, 7, 8, 12, 13, 14, 15, 16, 17, 23, 24, 25, 26, 30, 32, 33, 34, 35, 41, 42, 43, 44]","['N', 2]",right,NA,5,0,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240304_220432,31,"[True, True, True, False]",18,"[5, 6, 7, 8, 12, 13, 14, 15, 16, 17, 23, 24, 25, 26, 30, 32, 33, 34, 35, 41, 42, 43, 44]","['S', 10]",forwards,NA,5,0,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
