time,action_idx,lights_on,state,rewarded_states,choice,action,reward_time,n_rewards,mouse_rotation,maze_rotation,note,adjacency_file,st_positions_file,start_state,reward_duration
260418-220719,0,"[True, True, True, True]",12,"[6, 7, 11, 13, 15, 16, 17, 18, 20, 21, 22]","['N', 2]",forwards,260418-220719,1,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.10720000000000002, 'S': 0.096, 'W': 0.0976, 'E': 0.10560000000000001}"
260418-220723,1,"[True, True, True, True]",7,"[6, 11, 13, 15, 16, 17, 18, 20, 21, 22]","['N', 2]",forwards,260418-220723,2,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.10720000000000002, 'S': 0.096, 'W': 0.0976, 'E': 0.10560000000000001}"
260418-220751,2,"[False, True, True, False]",12,"[6, 11, 13, 15, 16, 17, 18, 20, 21, 22]","['S', 10]",backwards,NA,2,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.10720000000000002, 'S': 0.096, 'W': 0.0976, 'E': 0.10560000000000001}"
260418-220855,3,"[True, True, True, True]",17,"[6, 11, 13, 15, 16, 18, 20, 21, 22]","['S', 10]",backwards,260418-220855,3,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.10720000000000002, 'S': 0.096, 'W': 0.0976, 'E': 0.10560000000000001}"
260418-220900,4,"[True, True, True, True]",22,"[6, 11, 13, 15, 16, 18, 20, 21]","['S', 10]",backwards,260418-220900,4,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.10720000000000002, 'S': 0.096, 'W': 0.0976, 'E': 0.10560000000000001}"
260418-221628,5,"[True, False, True, False]",17,"[6, 11, 13, 15, 16, 18, 20, 21]","['N', 2]",forwards,NA,4,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.10720000000000002, 'S': 0.096, 'W': 0.0976, 'E': 0.10560000000000001}"
260418-221633,6,"[True, True, True, True]",12,"[6, 11, 13, 15, 16, 18, 20, 21]","['N', 2]",forwards,NA,4,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.10720000000000002, 'S': 0.096, 'W': 0.0976, 'E': 0.10560000000000001}"
260418-221645,7,"[True, True, True, True]",17,"[6, 11, 13, 15, 16, 18, 20, 21]","['S', 10]",backwards,NA,4,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.10720000000000002, 'S': 0.096, 'W': 0.0976, 'E': 0.10560000000000001}"
260418-221649,8,"[True, True, True, True]",22,"[6, 11, 13, 15, 16, 18, 20, 21]","['S', 10]",backwards,NA,4,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.10720000000000002, 'S': 0.096, 'W': 0.0976, 'E': 0.10560000000000001}"
260418-221706,9,"[True, False, True, False]",21,"[6, 11, 13, 15, 16, 18, 20]","['W', 11]",left,260418-221706,5,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.10720000000000002, 'S': 0.096, 'W': 0.0976, 'E': 0.10560000000000001}"
260418-221711,10,"[True, False, True, True]",20,"[6, 11, 13, 15, 16, 18]","['W', 11]",left,260418-221711,6,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.10720000000000002, 'S': 0.096, 'W': 0.0976, 'E': 0.10560000000000001}"
260418-223300,11,"[True, False, False, True]",15,"[6, 11, 13, 16, 18]","['N', 2]",forwards,260418-223300,7,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.10720000000000002, 'S': 0.096, 'W': 0.0976, 'E': 0.10560000000000001}"
260418-223324,12,"[False, True, False, True]",20,"[6, 11, 13, 16, 18]","['S', 10]",backwards,NA,7,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.10720000000000002, 'S': 0.096, 'W': 0.0976, 'E': 0.10560000000000001}"
260418-235835,13,"[True, False, False, True]",15,"[6, 11, 13, 16, 18]","['N', 2]",forwards,NA,7,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.10720000000000002, 'S': 0.096, 'W': 0.0976, 'E': 0.10560000000000001}"
260418-235859,14,"[False, True, False, True]",20,"[6, 11, 13, 16, 18]","['S', 10]",backwards,NA,7,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.10720000000000002, 'S': 0.096, 'W': 0.0976, 'E': 0.10560000000000001}"
260419-015231,15,"[True, False, False, True]",15,"[6, 11, 13, 16, 18]","['N', 2]",forwards,NA,7,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.10720000000000002, 'S': 0.096, 'W': 0.0976, 'E': 0.10560000000000001}"
260419-015252,16,"[False, True, False, True]",20,"[6, 11, 13, 16, 18]","['S', 10]",backwards,NA,7,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.10720000000000002, 'S': 0.096, 'W': 0.0976, 'E': 0.10560000000000001}"
260419-015322,17,"[True, False, False, True]",21,"[6, 11, 13, 16, 18]","['E', 14]",right,NA,7,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.10720000000000002, 'S': 0.096, 'W': 0.0976, 'E': 0.10560000000000001}"
260419-015339,18,"[True, False, True, True]",20,"[6, 11, 13, 16, 18]","['W', 11]",left,NA,7,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.10720000000000002, 'S': 0.096, 'W': 0.0976, 'E': 0.10560000000000001}"
260419-063940,19,"[True, False, False, True]",15,"[6, 11, 13, 16, 18]","['N', 2]",forwards,NA,7,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.10720000000000002, 'S': 0.096, 'W': 0.0976, 'E': 0.10560000000000001}"
260419-063955,20,"[False, True, False, True]",20,"[6, 11, 13, 16, 18]","['S', 10]",backwards,NA,7,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.10720000000000002, 'S': 0.096, 'W': 0.0976, 'E': 0.10560000000000001}"
260419-064052,21,"[True, False, False, True]",21,"[6, 11, 13, 16, 18]","['E', 14]",right,NA,7,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.10720000000000002, 'S': 0.096, 'W': 0.0976, 'E': 0.10560000000000001}"
260419-064057,22,"[True, False, True, True]",22,"[6, 11, 13, 16, 18]","['E', 14]",right,NA,7,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.10720000000000002, 'S': 0.096, 'W': 0.0976, 'E': 0.10560000000000001}"
260419-083555,23,"[True, False, True, False]",17,"[6, 11, 13, 16, 18]","['N', 2]",forwards,NA,7,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.10720000000000002, 'S': 0.096, 'W': 0.0976, 'E': 0.10560000000000001}"
260419-083609,24,"[True, True, True, True]",22,"[6, 11, 13, 16, 18]","['S', 10]",backwards,NA,7,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.10720000000000002, 'S': 0.096, 'W': 0.0976, 'E': 0.10560000000000001}"
260419-083701,25,"[True, False, True, False]",21,"[6, 11, 13, 16, 18]","['W', 11]",left,NA,7,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.10720000000000002, 'S': 0.096, 'W': 0.0976, 'E': 0.10560000000000001}"
260419-083706,26,"[True, False, True, True]",20,"[6, 11, 13, 16, 18]","['W', 11]",left,NA,7,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.10720000000000002, 'S': 0.096, 'W': 0.0976, 'E': 0.10560000000000001}"
260419-105748,27,"[True, False, False, True]",15,"[6, 11, 13, 16, 18]","['N', 2]",forwards,NA,7,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.10720000000000002, 'S': 0.096, 'W': 0.0976, 'E': 0.10560000000000001}"
260419-105805,28,"[False, True, False, True]",20,"[6, 11, 13, 16, 18]","['S', 10]",backwards,NA,7,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.10720000000000002, 'S': 0.096, 'W': 0.0976, 'E': 0.10560000000000001}"
260419-125818,29,"[True, False, False, True]",15,"[6, 11, 13, 16, 18]","['N', 2]",forwards,NA,7,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.10720000000000002, 'S': 0.096, 'W': 0.0976, 'E': 0.10560000000000001}"
260419-125830,30,"[False, True, False, True]",20,"[6, 11, 13, 16, 18]","['S', 10]",backwards,NA,7,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.10720000000000002, 'S': 0.096, 'W': 0.0976, 'E': 0.10560000000000001}"
260419-125905,31,"[True, False, False, True]",21,"[6, 11, 13, 16, 18]","['E', 14]",right,NA,7,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.10720000000000002, 'S': 0.096, 'W': 0.0976, 'E': 0.10560000000000001}"
