time,action_idx,lights_on,state,rewarded_states,choice,action,reward_time,n_rewards,mouse_rotation,maze_rotation,note,adjacency_file,st_positions_file,start_state,reward_duration
251115-203924,0,"[False, True, True, True]",17,"[0, 1, 5, 6, 7, 11, 12, 13, 15, 16, 18, 20, 21, 22, 23]","['E', 14]",right,251115-203924,1,90,270,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,16,"{'N': 0.0869, 'S': 0.066, 'W': 0.07590000000000001, 'E': 0.07205}"
251115-203938,1,"[True, True, True, True]",22,"[0, 1, 5, 6, 7, 11, 12, 13, 15, 16, 18, 20, 21, 23]","['N', 2]",right,251115-203938,2,180,180,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,16,"{'N': 0.0869, 'S': 0.066, 'W': 0.07590000000000001, 'E': 0.07205}"
251115-220103,2,"[True, False, True, True]",17,"[0, 1, 5, 6, 7, 11, 12, 13, 15, 16, 18, 20, 21, 23]","['N', 2]",backwards,NA,2,0,180,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,16,"{'N': 0.0869, 'S': 0.066, 'W': 0.07590000000000001, 'E': 0.07205}"
251115-220122,3,"[True, True, True, True]",12,"[0, 1, 5, 6, 7, 11, 13, 15, 16, 18, 20, 21, 23]","['S', 10]",forwards,251115-220122,3,0,0,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,16,"{'N': 0.0869, 'S': 0.066, 'W': 0.07590000000000001, 'E': 0.07205}"
251115-234206,4,"[True, True, True, True]",7,"[0, 1, 5, 6, 11, 13, 15, 16, 18, 20, 21, 23]","['N', 2]",forwards,251115-234206,4,0,180,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,16,"{'N': 0.0869, 'S': 0.066, 'W': 0.07590000000000001, 'E': 0.07205}"
251116-004251,5,"[True, False, False, True]",12,"[0, 1, 5, 6, 11, 13, 15, 16, 18, 20, 21, 23]","['N', 2]",backwards,NA,4,180,180,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,16,"{'N': 0.0869, 'S': 0.066, 'W': 0.07590000000000001, 'E': 0.07205}"
251116-004307,6,"[True, True, True, True]",17,"[0, 1, 5, 6, 11, 13, 15, 16, 18, 20, 21, 23]","['S', 10]",forwards,NA,4,180,0,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,16,"{'N': 0.0869, 'S': 0.066, 'W': 0.07590000000000001, 'E': 0.07205}"
251116-004321,7,"[True, True, True, True]",16,"[0, 1, 5, 6, 11, 13, 15, 18, 20, 21, 23]","['E', 14]",right,251116-004321,5,270,270,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,16,"{'N': 0.0869, 'S': 0.066, 'W': 0.07590000000000001, 'E': 0.07205}"
251116-004333,8,"[False, True, True, True]",15,"[0, 1, 5, 6, 11, 13, 18, 20, 21, 23]","['W', 11]",forwards,251116-004333,6,270,90,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,16,"{'N': 0.0869, 'S': 0.066, 'W': 0.07590000000000001, 'E': 0.07205}"
251116-030637,9,"[True, False, True, False]",20,"[0, 1, 5, 6, 11, 13, 18, 21, 23]","['N', 2]",left,251116-030637,7,180,180,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,16,"{'N': 0.0869, 'S': 0.066, 'W': 0.07590000000000001, 'E': 0.07205}"
251116-031407,10,"[True, False, False, True]",15,"[0, 1, 5, 6, 11, 13, 18, 21, 23]","['N', 2]",backwards,NA,7,0,180,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,16,"{'N': 0.0869, 'S': 0.066, 'W': 0.07590000000000001, 'E': 0.07205}"
251116-032220,11,"[True, False, True, False]",20,"[0, 1, 5, 6, 11, 13, 18, 21, 23]","['N', 2]",backwards,NA,7,180,180,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,16,"{'N': 0.0869, 'S': 0.066, 'W': 0.07590000000000001, 'E': 0.07205}"
251116-032252,12,"[True, False, False, True]",21,"[0, 1, 5, 6, 11, 13, 18, 23]","['E', 14]",left,251116-032252,8,90,270,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,16,"{'N': 0.0869, 'S': 0.066, 'W': 0.07590000000000001, 'E': 0.07205}"
251116-032310,13,"[False, True, True, True]",16,"[0, 1, 5, 6, 11, 13, 18, 23]","['S', 10]",left,NA,8,0,0,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,16,"{'N': 0.0869, 'S': 0.066, 'W': 0.07590000000000001, 'E': 0.07205}"
251116-032334,14,"[False, True, True, True]",17,"[0, 1, 5, 6, 11, 13, 18, 23]","['E', 14]",right,NA,8,90,270,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,16,"{'N': 0.0869, 'S': 0.066, 'W': 0.07590000000000001, 'E': 0.07205}"
