time,action_idx,lights_on,state,rewarded_states,choice,action,reward_time,n_rewards,mouse_rotation,maze_rotation,note,adjacency_file,st_positions_file,start_state,reward_duration
260203-171337,0,"[False, True, False, True]",16,"[0, 1, 5, 6, 7, 11, 12, 13, 15, 17, 18, 20, 21, 22, 23]","['E', 14]",right,260203-171337,1,90,270,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.11040000000000001, 'S': 0.08960000000000001, 'W': 0.1008, 'E': 0.12480000000000001}"
260203-171352,1,"[True, False, True, True]",17,"[0, 1, 5, 6, 7, 11, 12, 13, 15, 18, 20, 21, 22, 23]","['W', 11]",forwards,260203-171352,2,90,90,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.11040000000000001, 'S': 0.08960000000000001, 'W': 0.1008, 'E': 0.12480000000000001}"
260203-171409,2,"[True, True, True, True]",22,"[0, 1, 5, 6, 7, 11, 12, 13, 15, 18, 20, 21, 23]","['S', 10]",right,260203-171409,3,180,0,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.11040000000000001, 'S': 0.08960000000000001, 'W': 0.1008, 'E': 0.12480000000000001}"
260203-171428,3,"[False, True, True, True]",21,"[0, 1, 5, 6, 7, 11, 12, 13, 15, 18, 20, 23]","['E', 14]",right,260203-171428,4,270,270,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.11040000000000001, 'S': 0.08960000000000001, 'W': 0.1008, 'E': 0.12480000000000001}"
260203-171441,4,"[True, False, True, True]",16,"[0, 1, 5, 6, 7, 11, 12, 13, 15, 18, 20, 23]","['N', 2]",right,NA,4,0,180,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.11040000000000001, 'S': 0.08960000000000001, 'W': 0.1008, 'E': 0.12480000000000001}"
260203-171540,5,"[True, False, True, True]",17,"[0, 1, 5, 6, 7, 11, 12, 13, 15, 18, 20, 23]","['W', 11]",right,NA,4,90,90,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.11040000000000001, 'S': 0.08960000000000001, 'W': 0.1008, 'E': 0.12480000000000001}"
260203-171548,6,"[True, True, True, True]",22,"[0, 1, 5, 6, 7, 11, 12, 13, 15, 18, 20, 23]","['S', 10]",right,NA,4,180,0,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.11040000000000001, 'S': 0.08960000000000001, 'W': 0.1008, 'E': 0.12480000000000001}"
260203-171619,7,"[False, True, True, True]",21,"[0, 1, 5, 6, 7, 11, 12, 13, 15, 18, 20, 23]","['E', 14]",right,NA,4,270,270,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.11040000000000001, 'S': 0.08960000000000001, 'W': 0.1008, 'E': 0.12480000000000001}"
260203-172103,8,"[True, False, True, True]",16,"[0, 1, 5, 6, 7, 11, 12, 13, 15, 18, 20, 23]","['N', 2]",right,NA,4,0,180,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.11040000000000001, 'S': 0.08960000000000001, 'W': 0.1008, 'E': 0.12480000000000001}"
260203-172112,9,"[True, False, True, True]",17,"[0, 1, 5, 6, 7, 11, 12, 13, 15, 18, 20, 23]","['W', 11]",right,NA,4,90,90,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.11040000000000001, 'S': 0.08960000000000001, 'W': 0.1008, 'E': 0.12480000000000001}"
