time,action_idx,lights_on,state,rewarded_states,choice,action,reward_time,n_rewards,mouse_rotation,maze_rotation,note,adjacency_file,st_positions_file,start_state,reward_duration
251227-193853,0,"[False, True, False, True]",1,"[0, 5, 6, 7, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23]","['E', 14]",right,251227-193853,1,90,270,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.09119999999999999, 'S': 0.0678, 'W': 0.0786, 'E': 0.0804}"
251227-193859,1,"[True, False, False, True]",6,"[0, 5, 7, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23]","['N', 2]",right,251227-193859,2,180,180,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.09119999999999999, 'S': 0.0678, 'W': 0.0786, 'E': 0.0804}"
251227-193910,2,"[True, True, True, True]",11,"[0, 5, 7, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23]","['S', 10]",forwards,251227-193910,3,180,0,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.09119999999999999, 'S': 0.0678, 'W': 0.0786, 'E': 0.0804}"
251227-193919,3,"[False, True, True, False]",12,"[0, 5, 7, 13, 15, 16, 17, 18, 20, 21, 22, 23]","['W', 11]",left,251227-193919,4,90,90,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.09119999999999999, 'S': 0.0678, 'W': 0.0786, 'E': 0.0804}"
251227-193951,4,"[True, False, True, True]",7,"[0, 5, 13, 15, 16, 17, 18, 20, 21, 22, 23]","['N', 2]",left,251227-193951,5,0,180,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.09119999999999999, 'S': 0.0678, 'W': 0.0786, 'E': 0.0804}"
251227-194000,5,"[True, False, False, True]",6,"[0, 5, 13, 15, 16, 17, 18, 20, 21, 22, 23]","['E', 14]",left,NA,5,270,270,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.09119999999999999, 'S': 0.0678, 'W': 0.0786, 'E': 0.0804}"
251227-194007,6,"[True, True, True, True]",11,"[0, 5, 13, 15, 16, 17, 18, 20, 21, 22, 23]","['S', 10]",left,NA,5,180,0,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.09119999999999999, 'S': 0.0678, 'W': 0.0786, 'E': 0.0804}"
251227-194434,7,"[False, True, True, False]",12,"[0, 5, 13, 15, 16, 17, 18, 20, 21, 22, 23]","['W', 11]",left,NA,5,90,90,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.09119999999999999, 'S': 0.0678, 'W': 0.0786, 'E': 0.0804}"
251227-194525,8,"[True, False, True, True]",7,"[0, 5, 13, 15, 16, 17, 18, 20, 21, 22, 23]","['N', 2]",left,NA,5,0,180,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.09119999999999999, 'S': 0.0678, 'W': 0.0786, 'E': 0.0804}"
251227-200714,9,"[True, False, False, True]",6,"[0, 5, 13, 15, 16, 17, 18, 20, 21, 22, 23]","['E', 14]",left,NA,5,270,270,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.09119999999999999, 'S': 0.0678, 'W': 0.0786, 'E': 0.0804}"
