time,action_idx,lights_on,state,rewarded_states,choice,action,reward_time,n_rewards,mouse_rotation,maze_rotation,note,adjacency_file,st_positions_file,start_state,reward_duration
250318-140750,0,"[False, True, True, False]",24,"[4, 5, 9, 10, 11, 12, 16, 17, 18, 19, 21, 22, 23, 25, 27, 28, 29, 30, 31, 34, 35, 36, 37]","['S', 10]",backwards,250318-140750,1,180,0,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-140758,1,"[True, True, True, False]",31,"[4, 5, 9, 10, 11, 12, 16, 17, 18, 19, 21, 22, 23, 25, 27, 28, 29, 30, 34, 35, 36, 37]","['N', 2]",forwards,250318-140758,2,180,180,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-140811,2,"[True, False, True, False]",30,"[4, 5, 9, 10, 11, 12, 16, 17, 18, 19, 21, 22, 23, 25, 27, 28, 29, 34, 35, 36, 37]","['W', 11]",right,250318-140811,3,270,90,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-140820,3,"[True, False, True, True]",29,"[4, 5, 9, 10, 11, 12, 16, 17, 18, 19, 21, 22, 23, 25, 27, 28, 34, 35, 36, 37]","['E', 14]",forwards,250318-140820,4,270,270,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-140832,4,"[False, True, True, True]",28,"[4, 5, 9, 10, 11, 12, 16, 17, 18, 19, 21, 22, 23, 25, 27, 34, 35, 36, 37]","['W', 11]",forwards,250318-140832,5,270,90,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-140845,5,"[True, True, True, True]",21,"[4, 5, 9, 10, 11, 12, 16, 17, 18, 19, 22, 23, 25, 27, 34, 35, 36, 37]","['S', 10]",right,250318-140845,6,0,0,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-140854,6,"[False, True, False, True]",22,"[4, 5, 9, 10, 11, 12, 16, 17, 18, 19, 23, 25, 27, 34, 35, 36, 37]","['E', 14]",right,250318-140854,7,90,270,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-140903,7,"[False, False, True, True]",23,"[4, 5, 9, 10, 11, 12, 16, 17, 18, 19, 25, 27, 34, 35, 36, 37]","['W', 11]",forwards,250318-140903,8,90,90,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-140912,8,"[True, False, True, False]",16,"[4, 5, 9, 10, 11, 12, 17, 18, 19, 25, 27, 34, 35, 36, 37]","['N', 2]",left,250318-140912,9,0,180,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-140922,9,"[True, True, True, False]",17,"[4, 5, 9, 10, 11, 12, 18, 19, 25, 27, 34, 35, 36, 37]","['W', 11]",right,250318-140922,10,90,90,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-140933,10,"[False, True, True, False]",24,"[4, 5, 9, 10, 11, 12, 18, 19, 25, 27, 34, 35, 36, 37]","['S', 10]",right,NA,10,180,0,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-140941,11,"[True, True, True, False]",31,"[4, 5, 9, 10, 11, 12, 18, 19, 25, 27, 34, 35, 36, 37]","['N', 2]",forwards,NA,10,180,180,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-140948,12,"[True, False, True, False]",30,"[4, 5, 9, 10, 11, 12, 18, 19, 25, 27, 34, 35, 36, 37]","['W', 11]",right,NA,10,270,90,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-140954,13,"[True, False, True, True]",29,"[4, 5, 9, 10, 11, 12, 18, 19, 25, 27, 34, 35, 36, 37]","['E', 14]",forwards,NA,10,270,270,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-141011,14,"[False, True, True, True]",28,"[4, 5, 9, 10, 11, 12, 18, 19, 25, 27, 34, 35, 36, 37]","['W', 11]",forwards,NA,10,270,90,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-141018,15,"[True, True, True, True]",21,"[4, 5, 9, 10, 11, 12, 18, 19, 25, 27, 34, 35, 36, 37]","['S', 10]",right,NA,10,0,0,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-141034,16,"[False, True, False, True]",22,"[4, 5, 9, 10, 11, 12, 18, 19, 25, 27, 34, 35, 36, 37]","['E', 14]",right,NA,10,90,270,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-141450,17,"[False, False, True, True]",23,"[4, 5, 9, 10, 11, 12, 18, 19, 25, 27, 34, 35, 36, 37]","['W', 11]",forwards,NA,10,90,90,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-141504,18,"[True, False, True, False]",16,"[4, 5, 9, 10, 11, 12, 18, 19, 25, 27, 34, 35, 36, 37]","['N', 2]",left,NA,10,0,180,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-141514,19,"[True, True, True, False]",9,"[4, 5, 10, 11, 12, 18, 19, 25, 27, 34, 35, 36, 37]","['S', 10]",forwards,250318-141514,11,0,0,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-141530,20,"[False, True, False, True]",10,"[4, 5, 11, 12, 18, 19, 25, 27, 34, 35, 36, 37]","['E', 14]",right,250318-141530,12,90,270,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-141545,21,"[False, True, False, True]",4,"[5, 11, 12, 18, 19, 25, 27, 34, 35, 36, 37]","['S', 10]",left,250318-141545,13,0,0,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-141559,22,"[False, True, False, True]",5,"[11, 12, 18, 19, 25, 27, 34, 35, 36, 37]","['E', 14]",right,250318-141559,14,90,270,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-141612,23,"[True, False, False, True]",11,"[12, 18, 19, 25, 27, 34, 35, 36, 37]","['N', 2]",right,250318-141612,15,180,180,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-141626,24,"[True, False, False, True]",12,"[18, 19, 25, 27, 34, 35, 36, 37]","['E', 14]",left,250318-141626,16,90,270,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-141636,25,"[True, False, False, True]",19,"[18, 25, 27, 34, 35, 36, 37]","['N', 2]",right,250318-141636,17,180,180,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-141643,26,"[True, False, True, False]",18,"[25, 27, 34, 35, 36, 37]","['W', 11]",right,250318-141643,18,270,90,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-141654,27,"[True, False, True, False]",25,"[27, 34, 35, 36, 37]","['N', 2]",left,250318-141654,19,180,180,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-141707,28,"[True, False, True, False]",24,"[27, 34, 35, 36, 37]","['W', 11]",right,NA,19,270,90,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-141719,29,"[True, True, True, False]",17,"[27, 34, 35, 36, 37]","['S', 10]",right,NA,19,0,0,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-141730,30,"[False, True, True, False]",16,"[27, 34, 35, 36, 37]","['W', 11]",left,NA,19,270,90,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-141740,31,"[True, True, True, False]",9,"[27, 34, 35, 36, 37]","['S', 10]",right,NA,19,0,0,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-141746,32,"[False, True, False, True]",10,"[27, 34, 35, 36, 37]","['E', 14]",right,NA,19,90,270,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-141939,33,"[False, True, False, True]",4,"[27, 34, 35, 36, 37]","['S', 10]",left,NA,19,0,0,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-142008,34,"[False, True, False, True]",5,"[27, 34, 35, 36, 37]","['E', 14]",right,NA,19,90,270,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-142020,35,"[True, False, False, True]",11,"[27, 34, 35, 36, 37]","['N', 2]",right,NA,19,180,180,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-142120,36,"[True, False, False, True]",12,"[27, 34, 35, 36, 37]","['E', 14]",left,NA,19,90,270,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-142136,37,"[True, False, False, True]",19,"[27, 34, 35, 36, 37]","['N', 2]",right,NA,19,180,180,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-142145,38,"[True, False, True, False]",18,"[27, 34, 35, 36, 37]","['W', 11]",right,NA,19,270,90,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-145947,39,"[True, False, True, False]",25,"[27, 34, 35, 36, 37]","['N', 2]",left,NA,19,180,180,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-145955,40,"[True, False, True, False]",24,"[27, 34, 35, 36, 37]","['W', 11]",right,NA,19,270,90,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-150012,41,"[True, True, True, False]",17,"[27, 34, 35, 36, 37]","['S', 10]",right,NA,19,0,0,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-150219,42,"[False, True, True, False]",16,"[27, 34, 35, 36, 37]","['W', 11]",left,NA,19,270,90,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-150305,43,"[True, True, True, False]",9,"[27, 34, 35, 36, 37]","['S', 10]",right,NA,19,0,0,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-150319,44,"[False, True, False, True]",10,"[27, 34, 35, 36, 37]","['E', 14]",right,NA,19,90,270,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-150444,45,"[False, True, False, True]",4,"[27, 34, 35, 36, 37]","['S', 10]",left,NA,19,0,0,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-150745,46,"[False, True, False, True]",5,"[27, 34, 35, 36, 37]","['E', 14]",right,NA,19,90,270,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-150752,47,"[True, False, False, True]",11,"[27, 34, 35, 36, 37]","['N', 2]",right,NA,19,180,180,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-150908,48,"[True, False, False, True]",12,"[27, 34, 35, 36, 37]","['E', 14]",left,NA,19,90,270,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-150915,49,"[True, False, False, True]",19,"[27, 34, 35, 36, 37]","['N', 2]",right,NA,19,180,180,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-150921,50,"[True, False, True, False]",18,"[27, 34, 35, 36, 37]","['W', 11]",right,NA,19,270,90,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-151154,51,"[True, False, True, False]",25,"[27, 34, 35, 36, 37]","['N', 2]",left,NA,19,180,180,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-151159,52,"[True, False, True, False]",24,"[27, 34, 35, 36, 37]","['W', 11]",right,NA,19,270,90,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
250318-151204,53,"[True, True, True, False]",17,"[27, 34, 35, 36, 37]","['S', 10]",right,NA,19,0,0,,250311_latMaz106-halfMopNoCircleNoDeadends-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,17,"{'N': 0.02944, 'S': 0.02224, 'W': 0.02536, 'E': 0.023200000000000002}"
