time,action_idx,lights_on,state,rewarded_states,choice,action,reward_time,n_rewards,mouse_rotation,maze_rotation,note,adjacency_file,st_positions_file,start_state,reward_duration
260303-145730,0,"[False, True, False, True]",16,"[0, 1, 5, 6, 7, 11, 12, 13, 15, 17, 18, 20, 21, 22, 23]","['E', 14]",right,260303-145730,1,90,270,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
260303-145739,1,"[True, False, True, True]",17,"[0, 1, 5, 6, 7, 11, 12, 13, 15, 18, 20, 21, 22, 23]","['W', 11]",forwards,260303-145739,2,90,90,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
260303-145753,2,"[False, True, True, True]",22,"[0, 1, 5, 6, 7, 11, 12, 13, 15, 18, 20, 21, 23]","['S', 10]",right,260303-145753,3,180,0,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
260303-145806,3,"[False, True, True, True]",23,"[0, 1, 5, 6, 7, 11, 12, 13, 15, 18, 20, 21]","['W', 11]",left,260303-145806,4,90,90,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
260303-145817,4,"[True, False, True, False]",18,"[0, 1, 5, 6, 7, 11, 12, 13, 15, 20, 21]","['N', 2]",left,260303-145817,5,0,180,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
260303-145833,5,"[True, True, False, True]",13,"[0, 1, 5, 6, 7, 11, 12, 15, 20, 21]","['S', 10]",forwards,260303-145833,6,0,0,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
260303-150205,6,"[False, True, True, False]",12,"[0, 1, 5, 6, 7, 11, 15, 20, 21]","['W', 11]",left,260303-150205,7,270,90,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
260303-150219,7,"[False, True, True, True]",11,"[0, 1, 5, 6, 7, 15, 20, 21]","['E', 14]",forwards,260303-150219,8,270,270,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
260303-150232,8,"[True, False, False, True]",6,"[0, 1, 5, 7, 15, 20, 21]","['N', 2]",right,260303-150232,9,0,180,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
260303-150256,9,"[True, True, True, True]",1,"[0, 5, 7, 15, 20, 21]","['S', 10]",forwards,260303-150256,10,0,0,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
260303-150316,10,"[False, True, True, False]",0,"[5, 7, 15, 20, 21]","['W', 11]",left,260303-150316,11,270,90,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
260303-150330,11,"[True, False, True, False]",5,"[7, 15, 20, 21]","['N', 2]",left,260303-150330,12,180,180,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
260303-150344,12,"[True, False, False, True]",6,"[7, 15, 20, 21]","['E', 14]",left,NA,12,90,270,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
260303-150827,13,"[True, True, True, True]",11,"[7, 15, 20, 21]","['N', 2]",right,NA,12,180,180,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
260303-151047,14,"[True, False, False, True]",12,"[7, 15, 20, 21]","['E', 14]",left,NA,12,90,270,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
260303-151056,15,"[False, True, True, True]",13,"[7, 15, 20, 21]","['W', 11]",forwards,NA,12,90,90,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
260303-151104,16,"[False, True, True, False]",18,"[7, 15, 20, 21]","['S', 10]",right,NA,12,180,0,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
260303-151437,17,"[True, True, False, True]",23,"[7, 15, 20, 21]","['N', 2]",forwards,NA,12,180,180,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
260303-152100,18,"[True, False, True, False]",22,"[7, 15, 20, 21]","['W', 11]",right,NA,12,270,90,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
260303-152113,19,"[False, True, True, True]",21,"[7, 15, 20]","['E', 14]",forwards,260303-152113,13,270,270,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
260303-152133,20,"[True, False, True, True]",16,"[7, 15, 20]","['N', 2]",right,NA,13,0,180,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
260303-165239,21,"[True, False, True, True]",17,"[7, 15, 20]","['W', 11]",right,NA,13,90,90,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
260303-165248,22,"[False, True, True, True]",18,"[7, 15, 20]","['E', 14]",forwards,NA,13,90,270,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
260303-165302,23,"[True, True, False, True]",23,"[7, 15, 20]","['N', 2]",right,NA,13,180,180,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
260303-172511,24,"[True, False, True, False]",22,"[7, 15, 20]","['W', 11]",right,NA,13,270,90,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
260303-172519,25,"[False, True, True, True]",17,"[7, 15, 20]","['S', 10]",right,NA,13,0,0,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
260303-172533,26,"[False, True, True, True]",18,"[7, 15, 20]","['E', 14]",right,NA,13,90,270,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
260303-175225,27,"[True, True, False, True]",23,"[7, 15, 20]","['N', 2]",right,NA,13,180,180,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
260303-194230,28,"[True, False, True, False]",22,"[7, 15, 20]","['W', 11]",right,NA,13,270,90,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
260303-194239,29,"[False, True, True, True]",17,"[7, 15, 20]","['S', 10]",right,NA,13,0,0,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
260303-194251,30,"[False, True, True, True]",18,"[7, 15, 20]","['E', 14]",right,NA,13,90,270,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
260303-195619,31,"[True, True, False, True]",23,"[7, 15, 20]","['N', 2]",right,NA,13,180,180,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
260303-195628,32,"[True, False, True, False]",22,"[7, 15, 20]","['W', 11]",right,NA,13,270,90,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
260303-195638,33,"[False, True, True, True]",17,"[7, 15, 20]","['S', 10]",right,NA,13,0,0,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
260303-202757,34,"[False, True, True, True]",16,"[7, 15, 20]","['W', 11]",left,NA,13,270,90,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
260303-202808,35,"[True, False, True, True]",21,"[7, 15, 20]","['N', 2]",left,NA,13,180,180,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
260303-202820,36,"[True, False, True, True]",22,"[7, 15, 20]","['E', 14]",left,NA,13,90,270,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
260303-202831,37,"[False, True, True, True]",17,"[7, 15, 20]","['S', 10]",left,NA,13,0,0,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
260303-202848,38,"[False, True, True, True]",16,"[7, 15, 20]","['W', 11]",left,NA,13,270,90,,250311_latMaz103-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,15,"{'N': 0.08625000000000001, 'S': 0.07, 'W': 0.0775, 'E': 0.08}"
