time,action_idx,lights_on,state,rewarded_states,choice,action,reward_time,n_rewards,mouse_rotation,maze_rotation,note,adjacency_file,st_positions_file,start_state
240305_141916,0,"[False, True, False, True]",9,[33],"['S', 10]",backwards,NA,0,180,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240305_142005,1,"[False, True, True, False]",0,[33],"['S', 10]",backwards,NA,0,0,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240305_142020,2,"[False, True, False, True]",1,[33],"['E', 14]",right,NA,0,90,270,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240305_142033,3,"[True, False, False, True]",10,[33],"['N', 2]",right,240305_142033,1,180,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240305_142056,4,"[True, True, True, False]",9,[33],"['W', 11]",right,NA,1,270,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240305_142144,5,"[False, True, True, False]",0,[33],"['S', 10]",right,NA,1,0,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240305_142149,6,"[False, True, False, True]",1,[33],"['E', 14]",right,NA,1,90,270,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240305_142157,7,"[True, False, False, True]",10,[33],"['N', 2]",right,NA,1,180,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240305_142207,8,"[True, True, True, False]",19,[33],"['S', 10]",forwards,240305_142207,2,180,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240305_142214,9,"[True, True, True, True]",20,[33],"['W', 11]",left,240305_142214,3,90,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240305_142220,10,"[True, True, True, False]",11,[33],"['N', 2]",left,NA,3,0,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240305_142227,11,"[True, True, False, False]",2,[33],"['S', 10]",forwards,NA,3,0,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240305_142231,12,"[False, True, False, True]",3,[33],"['E', 14]",right,240305_142231,4,90,270,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240305_142246,13,"[True, False, True, True]",4,[33],"['W', 11]",forwards,NA,4,90,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240305_142344,14,"[False, False, True, False]",3,[33],"['W', 11]",backwards,NA,4,270,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
