time,action_idx,lights_on,state,rewarded_states,choice,action,reward_time,n_rewards,mouse_rotation,maze_rotation,note,adjacency_file,st_positions_file,start_state,reward_duration
250312-193938,0,"[False, True, True, False]",6,"[0, 1, 5, 7, 11, 12, 15, 16, 17, 18, 20, 21, 22, 23]","['W', 11]",left,250312-193938,1,270,90,,250311_latMaz104-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,7,"{'N': 0.051519999999999996, 'S': 0.038919999999999996, 'W': 0.044379999999999996, 'E': 0.0406}"
250312-193946,1,"[True, True, True, True]",5,"[0, 1, 7, 11, 12, 15, 16, 17, 18, 20, 21, 22, 23]","['E', 14]",forwards,250312-193946,2,270,270,,250311_latMaz104-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,7,"{'N': 0.051519999999999996, 'S': 0.038919999999999996, 'W': 0.044379999999999996, 'E': 0.0406}"
250312-193957,2,"[True, False, False, True]",0,"[1, 7, 11, 12, 15, 16, 17, 18, 20, 21, 22, 23]","['N', 2]",right,250312-193957,3,0,180,,250311_latMaz104-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,7,"{'N': 0.051519999999999996, 'S': 0.038919999999999996, 'W': 0.044379999999999996, 'E': 0.0406}"
250312-194009,3,"[True, False, True, False]",1,"[7, 11, 12, 15, 16, 17, 18, 20, 21, 22, 23]","['W', 11]",right,250312-194009,4,90,90,,250311_latMaz104-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,7,"{'N': 0.051519999999999996, 'S': 0.038919999999999996, 'W': 0.044379999999999996, 'E': 0.0406}"
250312-194020,4,"[False, True, True, False]",6,"[7, 11, 12, 15, 16, 17, 18, 20, 21, 22, 23]","['S', 10]",right,NA,4,180,0,,250311_latMaz104-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,7,"{'N': 0.051519999999999996, 'S': 0.038919999999999996, 'W': 0.044379999999999996, 'E': 0.0406}"
250312-194102,5,"[True, True, True, True]",11,"[7, 12, 15, 16, 17, 18, 20, 21, 22, 23]","['N', 2]",forwards,250312-194102,5,180,180,,250311_latMaz104-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,7,"{'N': 0.051519999999999996, 'S': 0.038919999999999996, 'W': 0.044379999999999996, 'E': 0.0406}"
250312-194110,6,"[True, False, False, True]",12,"[7, 15, 16, 17, 18, 20, 21, 22, 23]","['E', 14]",left,250312-194110,6,90,270,,250311_latMaz104-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,7,"{'N': 0.051519999999999996, 'S': 0.038919999999999996, 'W': 0.044379999999999996, 'E': 0.0406}"
250312-194119,7,"[True, True, False, True]",17,"[7, 15, 16, 18, 20, 21, 22, 23]","['N', 2]",right,250312-194119,7,180,180,,250311_latMaz104-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,7,"{'N': 0.051519999999999996, 'S': 0.038919999999999996, 'W': 0.044379999999999996, 'E': 0.0406}"
250312-194129,8,"[True, True, True, True]",22,"[7, 15, 16, 18, 20, 21, 23]","['S', 10]",forwards,250312-194129,8,180,0,,250311_latMaz104-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,7,"{'N': 0.051519999999999996, 'S': 0.038919999999999996, 'W': 0.044379999999999996, 'E': 0.0406}"
250312-194139,9,"[False, True, True, True]",23,"[7, 15, 16, 18, 20, 21]","['W', 11]",left,250312-194139,9,90,90,,250311_latMaz104-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,7,"{'N': 0.051519999999999996, 'S': 0.038919999999999996, 'W': 0.044379999999999996, 'E': 0.0406}"
250312-194148,10,"[True, False, True, False]",18,"[7, 15, 16, 20, 21]","['N', 2]",left,250312-194148,10,0,180,,250311_latMaz104-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,7,"{'N': 0.051519999999999996, 'S': 0.038919999999999996, 'W': 0.044379999999999996, 'E': 0.0406}"
250312-194332,11,"[True, False, False, True]",17,"[7, 15, 16, 20, 21]","['E', 14]",left,NA,10,270,270,,250311_latMaz104-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,7,"{'N': 0.051519999999999996, 'S': 0.038919999999999996, 'W': 0.044379999999999996, 'E': 0.0406}"
250312-194602,12,"[True, True, True, True]",16,"[7, 15, 20, 21]","['W', 11]",forwards,250312-194602,11,270,90,,250311_latMaz104-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,7,"{'N': 0.051519999999999996, 'S': 0.038919999999999996, 'W': 0.044379999999999996, 'E': 0.0406}"
