time,action_idx,lights_on,state,rewarded_states,choice,action,reward_time,n_rewards,mouse_rotation,maze_rotation,note,adjacency_file,st_positions_file,start_state,reward_duration
241012-170709,0,"[False, False, False, True]",21,"[0, 1, 2, 3, 7, 8, 11, 12, 13, 14, 15, 18, 19, 20, 25, 26, 32, 33, 38, 39, 40]","['E', 14]",right,241012-170709,1,90,270,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,20,"{'N': 0.0625, 'S': 0.05, 'W': 0.055, 'E': 0.0575}"
241012-170724,1,"[True, True, True, True]",22,"[0, 1, 2, 3, 7, 8, 11, 12, 13, 14, 15, 18, 19, 20, 25, 26, 32, 33, 38, 39, 40]","['W', 11]",forwards,241012-170724,2,90,90,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,20,"{'N': 0.0625, 'S': 0.05, 'W': 0.055, 'E': 0.0575}"
241012-170744,2,"[False, False, True, True]",23,"[0, 1, 2, 3, 7, 8, 11, 12, 13, 14, 15, 18, 19, 20, 25, 26, 32, 33, 38, 39, 40]","['E', 14]",forwards,241012-170744,3,90,270,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,20,"{'N': 0.0625, 'S': 0.05, 'W': 0.055, 'E': 0.0575}"
241012-170837,3,"[False, False, False, True]",22,"[0, 1, 2, 3, 7, 8, 11, 12, 13, 14, 15, 18, 19, 20, 25, 26, 32, 33, 38, 39, 40]","['E', 14]",backwards,NA,3,270,270,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,20,"{'N': 0.0625, 'S': 0.05, 'W': 0.055, 'E': 0.0575}"
241012-170851,4,"[False, False, True, True]",21,"[0, 1, 2, 3, 7, 8, 11, 12, 13, 14, 15, 18, 19, 20, 25, 26, 32, 33, 38, 39, 40]","['W', 11]",forwards,NA,3,270,90,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,20,"{'N': 0.0625, 'S': 0.05, 'W': 0.055, 'E': 0.0575}"
241012-170911,5,"[True, True, True, True]",28,"[0, 1, 2, 3, 7, 8, 11, 12, 13, 14, 15, 18, 19, 20, 25, 26, 32, 33, 38, 39, 40]","['N', 2]",left,241012-170911,4,180,180,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,20,"{'N': 0.0625, 'S': 0.05, 'W': 0.055, 'E': 0.0575}"
241012-170928,6,"[True, True, True, True]",35,"[0, 1, 2, 3, 7, 8, 11, 12, 13, 14, 15, 18, 19, 20, 25, 26, 32, 33, 38, 39, 40]","['S', 10]",forwards,241012-170928,5,180,0,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,20,"{'N': 0.0625, 'S': 0.05, 'W': 0.055, 'E': 0.0575}"
241012-171001,7,"[False, True, True, True]",34,"[0, 1, 2, 3, 7, 8, 11, 12, 13, 14, 15, 18, 19, 20, 25, 26, 32, 33, 38, 39, 40]","['E', 14]",right,241012-171001,6,270,270,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,20,"{'N': 0.0625, 'S': 0.05, 'W': 0.055, 'E': 0.0575}"
241012-171011,8,"[True, False, False, True]",27,"[0, 1, 2, 3, 7, 8, 11, 12, 13, 14, 15, 18, 19, 20, 25, 26, 32, 33, 38, 39, 40]","['N', 2]",right,241012-171011,7,0,180,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,20,"{'N': 0.0625, 'S': 0.05, 'W': 0.055, 'E': 0.0575}"
241012-171155,9,"[True, False, True, False]",28,"[0, 1, 2, 3, 7, 8, 11, 12, 13, 14, 15, 18, 19, 20, 25, 26, 32, 33, 38, 39, 40]","['W', 11]",right,NA,7,90,90,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,20,"{'N': 0.0625, 'S': 0.05, 'W': 0.055, 'E': 0.0575}"
241012-171212,10,"[True, True, True, True]",35,"[0, 1, 2, 3, 7, 8, 11, 12, 13, 14, 15, 18, 19, 20, 25, 26, 32, 33, 38, 39, 40]","['S', 10]",right,NA,7,180,0,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,20,"{'N': 0.0625, 'S': 0.05, 'W': 0.055, 'E': 0.0575}"
241012-171248,11,"[False, True, True, True]",34,"[0, 1, 2, 3, 7, 8, 11, 12, 13, 14, 15, 18, 19, 20, 25, 26, 32, 33, 38, 39, 40]","['E', 14]",right,NA,7,270,270,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,20,"{'N': 0.0625, 'S': 0.05, 'W': 0.055, 'E': 0.0575}"
241012-171315,12,"[True, False, False, True]",27,"[0, 1, 2, 3, 7, 8, 11, 12, 13, 14, 15, 18, 19, 20, 25, 26, 32, 33, 38, 39, 40]","['N', 2]",right,NA,7,0,180,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,20,"{'N': 0.0625, 'S': 0.05, 'W': 0.055, 'E': 0.0575}"
241012-171338,13,"[True, False, True, False]",28,"[0, 1, 2, 3, 7, 8, 11, 12, 13, 14, 15, 18, 19, 20, 25, 26, 32, 33, 38, 39, 40]","['W', 11]",right,NA,7,90,90,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,20,"{'N': 0.0625, 'S': 0.05, 'W': 0.055, 'E': 0.0575}"
241012-171513,14,"[True, True, True, True]",29,"[0, 1, 2, 3, 7, 8, 11, 12, 13, 14, 15, 18, 19, 20, 25, 26, 32, 33, 38, 39, 40]","['E', 14]",forwards,241012-171513,8,90,270,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,20,"{'N': 0.0625, 'S': 0.05, 'W': 0.055, 'E': 0.0575}"
241012-171633,15,"[True, False, True, True]",36,"[0, 1, 2, 3, 7, 8, 11, 12, 13, 14, 15, 18, 19, 20, 25, 26, 32, 33, 38, 39, 40]","['N', 2]",right,241012-171633,9,180,180,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,20,"{'N': 0.0625, 'S': 0.05, 'W': 0.055, 'E': 0.0575}"
241012-171645,16,"[True, False, True, True]",37,"[0, 1, 2, 3, 7, 8, 11, 12, 13, 14, 15, 18, 19, 20, 25, 26, 32, 33, 38, 39, 40]","['E', 14]",left,241012-171645,10,90,270,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,20,"{'N': 0.0625, 'S': 0.05, 'W': 0.055, 'E': 0.0575}"
