time,action_idx,lights_on,state,rewarded_states,choice,action,reward_time,n_rewards,mouse_rotation,maze_rotation,note,adjacency_file,st_positions_file,start_state,reward_duration
251122-141326,0,"[False, True, False, True]",5,"[0, 1, 6, 7, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23]","['S', 10]",backwards,251122-141326,1,180,0,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.06300000000000001, 'S': 0.051750000000000004, 'W': 0.054, 'E': 0.05625}"
251122-141334,1,"[False, True, True, False]",6,"[0, 1, 7, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23]","['W', 11]",left,251122-141334,2,90,90,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.06300000000000001, 'S': 0.051750000000000004, 'W': 0.054, 'E': 0.05625}"
251122-141350,2,"[True, True, True, True]",1,"[0, 7, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23]","['N', 2]",left,251122-141350,3,0,180,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.06300000000000001, 'S': 0.051750000000000004, 'W': 0.054, 'E': 0.05625}"
251122-141548,3,"[True, False, False, True]",6,"[0, 7, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23]","['N', 2]",backwards,NA,3,180,180,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.06300000000000001, 'S': 0.051750000000000004, 'W': 0.054, 'E': 0.05625}"
251122-141600,4,"[True, True, True, True]",5,"[0, 7, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23]","['W', 11]",right,NA,3,270,90,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.06300000000000001, 'S': 0.051750000000000004, 'W': 0.054, 'E': 0.05625}"
251122-141802,5,"[False, True, True, False]",6,"[0, 7, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23]","['W', 11]",backwards,NA,3,90,90,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.06300000000000001, 'S': 0.051750000000000004, 'W': 0.054, 'E': 0.05625}"
251122-141816,6,"[True, True, True, True]",1,"[0, 7, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23]","['N', 2]",left,NA,3,0,180,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.06300000000000001, 'S': 0.051750000000000004, 'W': 0.054, 'E': 0.05625}"
251122-142236,7,"[True, False, False, True]",6,"[0, 7, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23]","['N', 2]",backwards,NA,3,180,180,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.06300000000000001, 'S': 0.051750000000000004, 'W': 0.054, 'E': 0.05625}"
251122-142248,8,"[True, True, True, True]",11,"[0, 7, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23]","['S', 10]",forwards,251122-142248,4,180,0,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.06300000000000001, 'S': 0.051750000000000004, 'W': 0.054, 'E': 0.05625}"
251122-142315,9,"[False, True, True, False]",12,"[0, 7, 13, 15, 16, 17, 18, 20, 21, 22, 23]","['W', 11]",left,251122-142315,5,90,90,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.06300000000000001, 'S': 0.051750000000000004, 'W': 0.054, 'E': 0.05625}"
251122-142343,10,"[True, True, True, True]",13,"[0, 7, 15, 16, 17, 18, 20, 21, 22, 23]","['E', 14]",forwards,251122-142343,6,90,270,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.06300000000000001, 'S': 0.051750000000000004, 'W': 0.054, 'E': 0.05625}"
251122-142353,11,"[True, False, False, True]",18,"[0, 7, 15, 16, 17, 20, 21, 22, 23]","['N', 2]",right,251122-142353,7,180,180,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.06300000000000001, 'S': 0.051750000000000004, 'W': 0.054, 'E': 0.05625}"
251122-142416,12,"[True, True, True, False]",17,"[0, 7, 15, 16, 20, 21, 22, 23]","['W', 11]",right,251122-142416,8,270,90,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.06300000000000001, 'S': 0.051750000000000004, 'W': 0.054, 'E': 0.05625}"
251122-142443,13,"[True, True, True, True]",12,"[0, 7, 15, 16, 20, 21, 22, 23]","['S', 10]",right,NA,8,0,0,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.06300000000000001, 'S': 0.051750000000000004, 'W': 0.054, 'E': 0.05625}"
