time,action_idx,lights_on,state,rewarded_states,choice,action,reward_time,n_rewards,mouse_rotation,maze_rotation,note,adjacency_file,st_positions_file,start_state,reward_duration
260409-203107,0,"[True, True, True, True]",22,"[6, 7, 11, 12, 13, 15, 16, 17, 18, 20, 21]","['S', 10]",backwards,260409-203107,1,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.12060000000000001, 'S': 0.108, 'W': 0.1134, 'E': 0.1188}"
260409-203153,1,"[True, False, True, False]",17,"[6, 7, 11, 12, 13, 15, 16, 18, 20, 21]","['N', 2]",forwards,260409-203153,2,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.12060000000000001, 'S': 0.108, 'W': 0.1134, 'E': 0.1188}"
260409-203158,2,"[True, True, True, True]",12,"[6, 7, 11, 13, 15, 16, 18, 20, 21]","['N', 2]",forwards,260409-203158,3,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.12060000000000001, 'S': 0.108, 'W': 0.1134, 'E': 0.1188}"
260409-203202,3,"[True, True, True, True]",7,"[6, 11, 13, 15, 16, 18, 20, 21]","['N', 2]",forwards,260409-203202,4,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.12060000000000001, 'S': 0.108, 'W': 0.1134, 'E': 0.1188}"
260409-203230,4,"[False, True, True, False]",6,"[11, 13, 15, 16, 18, 20, 21]","['W', 11]",left,260409-203230,5,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.12060000000000001, 'S': 0.108, 'W': 0.1134, 'E': 0.1188}"
260409-203311,5,"[False, True, False, True]",7,"[11, 13, 15, 16, 18, 20, 21]","['E', 14]",right,NA,5,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.12060000000000001, 'S': 0.108, 'W': 0.1134, 'E': 0.1188}"
260409-203413,6,"[False, True, True, False]",12,"[11, 13, 15, 16, 18, 20, 21]","['S', 10]",backwards,NA,5,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.12060000000000001, 'S': 0.108, 'W': 0.1134, 'E': 0.1188}"
260409-203418,7,"[True, True, True, True]",17,"[11, 13, 15, 16, 18, 20, 21]","['S', 10]",backwards,NA,5,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.12060000000000001, 'S': 0.108, 'W': 0.1134, 'E': 0.1188}"
260409-203451,8,"[True, True, True, True]",18,"[11, 13, 15, 16, 20, 21]","['E', 14]",right,260409-203451,6,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.12060000000000001, 'S': 0.108, 'W': 0.1134, 'E': 0.1188}"
260409-215346,9,"[True, False, True, False]",13,"[11, 15, 16, 20, 21]","['N', 2]",forwards,260409-215346,7,0,0,,250311_latMaz100-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,17,"{'N': 0.12060000000000001, 'S': 0.108, 'W': 0.1134, 'E': 0.1188}"
