time,action_idx,lights_on,state,rewarded_states,choice,action,reward_time,n_rewards,mouse_rotation,maze_rotation,note,adjacency_file,st_positions_file,start_state,reward_duration
260116-180843,0,"[False, True, False, True]",1,"[0, 5, 6, 7, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23]","['E', 14]",right,260116-180843,1,90,270,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.08470000000000001, 'S': 0.062150000000000004, 'W': 0.07205, 'E': 0.0748}"
260116-180857,1,"[True, False, False, True]",6,"[0, 5, 7, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23]","['N', 2]",right,260116-180857,2,180,180,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.08470000000000001, 'S': 0.062150000000000004, 'W': 0.07205, 'E': 0.0748}"
260116-180910,2,"[True, True, True, True]",5,"[0, 7, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23]","['W', 11]",right,260116-180910,3,270,90,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.08470000000000001, 'S': 0.062150000000000004, 'W': 0.07205, 'E': 0.0748}"
260116-183911,3,"[False, True, True, False]",0,"[7, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23]","['S', 10]",right,260116-183911,4,0,0,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.08470000000000001, 'S': 0.062150000000000004, 'W': 0.07205, 'E': 0.0748}"
260116-183931,4,"[False, True, False, True]",1,"[7, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23]","['E', 14]",right,NA,4,90,270,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.08470000000000001, 'S': 0.062150000000000004, 'W': 0.07205, 'E': 0.0748}"
260116-184114,5,"[True, False, False, True]",6,"[7, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23]","['N', 2]",right,NA,4,180,180,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.08470000000000001, 'S': 0.062150000000000004, 'W': 0.07205, 'E': 0.0748}"
260116-184207,6,"[True, True, True, True]",7,"[11, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23]","['E', 14]",left,260116-184207,5,90,270,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.08470000000000001, 'S': 0.062150000000000004, 'W': 0.07205, 'E': 0.0748}"
260116-184251,7,"[True, False, False, True]",12,"[11, 13, 15, 16, 17, 18, 20, 21, 22, 23]","['N', 2]",right,260116-184251,6,180,180,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.08470000000000001, 'S': 0.062150000000000004, 'W': 0.07205, 'E': 0.0748}"
260116-184316,8,"[True, True, True, True]",13,"[11, 15, 16, 17, 18, 20, 21, 22, 23]","['E', 14]",left,260116-184316,7,90,270,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.08470000000000001, 'S': 0.062150000000000004, 'W': 0.07205, 'E': 0.0748}"
260116-184338,9,"[True, False, False, True]",18,"[11, 15, 16, 17, 20, 21, 22, 23]","['N', 2]",right,260116-184338,8,180,180,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.08470000000000001, 'S': 0.062150000000000004, 'W': 0.07205, 'E': 0.0748}"
260116-184407,10,"[True, True, True, False]",17,"[11, 15, 16, 20, 21, 22, 23]","['W', 11]",right,260116-184407,9,270,90,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.08470000000000001, 'S': 0.062150000000000004, 'W': 0.07205, 'E': 0.0748}"
260116-184432,11,"[True, True, True, True]",16,"[11, 15, 20, 21, 22, 23]","['E', 14]",forwards,260116-184432,10,270,270,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.08470000000000001, 'S': 0.062150000000000004, 'W': 0.07205, 'E': 0.0748}"
260116-184511,12,"[False, True, True, True]",15,"[11, 20, 21, 22, 23]","['W', 11]",forwards,260116-184511,11,270,90,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.08470000000000001, 'S': 0.062150000000000004, 'W': 0.07205, 'E': 0.0748}"
260116-184524,13,"[True, False, True, False]",20,"[11, 21, 22, 23]","['N', 2]",left,260116-184524,12,180,180,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.08470000000000001, 'S': 0.062150000000000004, 'W': 0.07205, 'E': 0.0748}"
260116-184545,14,"[True, False, False, True]",21,"[11, 22, 23]","['E', 14]",left,260116-184545,13,90,270,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.08470000000000001, 'S': 0.062150000000000004, 'W': 0.07205, 'E': 0.0748}"
260116-184628,15,"[False, True, True, True]",22,"[11, 23]","['W', 11]",forwards,260116-184628,14,90,90,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.08470000000000001, 'S': 0.062150000000000004, 'W': 0.07205, 'E': 0.0748}"
260116-184639,16,"[True, False, True, True]",23,"[0, 1, 5, 6, 7, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22]","['E', 14]",forwards,260116-184639,15,90,270,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.08470000000000001, 'S': 0.062150000000000004, 'W': 0.07205, 'E': 0.0748}"
260116-211722,17,"[False, True, False, True]",18,"[0, 1, 5, 6, 7, 11, 12, 13, 15, 16, 17, 20, 21, 22]","['S', 10]",left,260116-211722,16,0,0,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.08470000000000001, 'S': 0.062150000000000004, 'W': 0.07205, 'E': 0.0748}"
260116-211736,18,"[True, True, True, False]",13,"[0, 1, 5, 6, 7, 11, 12, 15, 16, 17, 20, 21, 22]","['N', 2]",forwards,260116-211736,17,0,180,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.08470000000000001, 'S': 0.062150000000000004, 'W': 0.07205, 'E': 0.0748}"
260116-211841,19,"[True, False, False, True]",12,"[0, 1, 5, 6, 7, 11, 15, 16, 17, 20, 21, 22]","['E', 14]",left,260116-211841,18,270,270,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.08470000000000001, 'S': 0.062150000000000004, 'W': 0.07205, 'E': 0.0748}"
260116-211859,20,"[True, True, True, True]",11,"[0, 1, 5, 6, 7, 15, 16, 17, 20, 21, 22]","['W', 11]",forwards,260116-211859,19,270,90,,250311_latMaz101-adjacency.csv,240507_latent_maze_004-5x5-state_positions.csv,0,"{'N': 0.08470000000000001, 'S': 0.062150000000000004, 'W': 0.07205, 'E': 0.0748}"
