time,action_idx,lights_on,state,rewarded_states,choice,action,reward_time,n_rewards,mouse_rotation,maze_rotation,note,adjacency_file,st_positions_file,start_state
240228_112147,0,"[False, True, False, True]",9,"[5, 6, 7, 21, 22, 33]","['S', 10]",backwards,NA,0,180,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240228_112200,1,"[False, True, True, False]",10,"[5, 6, 7, 21, 22, 33]","['W', 11]",left,NA,0,90,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240228_112208,2,"[True, True, True, False]",19,"[5, 6, 7, 21, 22, 33]","['S', 10]",right,240228_112208,1,180,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240228_112219,3,"[True, True, True, True]",18,"[5, 6, 7, 21, 22, 33]","['E', 14]",right,NA,1,270,270,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240228_112250,4,"[False, True, False, True]",27,"[5, 6, 7, 21, 22, 33]","['S', 10]",left,NA,1,180,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240228_112305,5,"[True, True, True, False]",36,"[5, 6, 7, 21, 22, 33]","['N', 2]",forwards,NA,1,180,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240228_112314,6,"[True, False, False, True]",37,"[5, 6, 7, 21, 22, 33]","['E', 14]",left,NA,1,90,270,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240228_112320,7,"[False, False, True, True]",38,"[5, 6, 7, 21, 22, 33]","['W', 11]",forwards,NA,1,90,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240228_112335,8,"[True, False, True, False]",29,"[5, 6, 7, 21, 22, 33]","['N', 2]",left,240228_112335,2,0,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240228_112353,9,"[True, True, True, False]",30,"[5, 6, 7, 21, 22, 33]","['W', 11]",right,240228_112353,3,90,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240228_112405,10,"[False, True, True, False]",39,"[5, 6, 7, 21, 22, 33]","['S', 10]",right,240228_112405,4,180,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240228_112418,11,"[False, True, True, False]",40,"[5, 6, 7, 21, 22, 33]","['W', 11]",left,240228_112418,5,90,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240228_112427,12,"[True, False, True, False]",31,"[5, 6, 7, 21, 22, 33]","['N', 2]",left,240228_112427,6,0,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240228_112437,13,"[True, False, True, False]",32,"[5, 6, 7, 21, 22, 33]","['W', 11]",right,240228_112437,7,90,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240228_112449,14,"[True, True, True, True]",41,"[5, 6, 7, 21, 22, 33]","['S', 10]",right,240228_112449,8,180,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240228_112501,15,"[False, True, True, False]",42,"[5, 6, 7, 21, 22, 33]","['W', 11]",left,240228_112501,9,90,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
