time,action_idx,lights_on,state,rewarded_states,choice,action,reward_time,n_rewards,mouse_rotation,maze_rotation,note,adjacency_file,st_positions_file,start_state,reward_duration
241014-234405,0,"[False, True, True, False]",11,"[38, 39, 40]","['W', 11]",left,241014-234405,1,270,90,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,12,"{'N': 0.15625, 'S': 0.125, 'W': 0.1375, 'E': 0.14375000000000002}"
241014-234418,1,"[False, True, True, False]",5,"[38, 39, 40]","['S', 10]",right,241014-234418,2,0,0,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,12,"{'N': 0.15625, 'S': 0.125, 'W': 0.1375, 'E': 0.14375000000000002}"
241014-234432,2,"[False, True, True, True]",6,"[38, 39, 40]","['E', 14]",right,241014-234432,3,90,270,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,12,"{'N': 0.15625, 'S': 0.125, 'W': 0.1375, 'E': 0.14375000000000002}"
241014-234534,3,"[False, False, False, True]",5,"[38, 39, 40]","['E', 14]",backwards,NA,3,270,270,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,12,"{'N': 0.15625, 'S': 0.125, 'W': 0.1375, 'E': 0.14375000000000002}"
241014-234541,4,"[False, True, True, True]",4,"[38, 39, 40]","['W', 11]",forwards,241014-234541,4,270,90,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,12,"{'N': 0.15625, 'S': 0.125, 'W': 0.1375, 'E': 0.14375000000000002}"
241014-234555,5,"[True, False, True, True]",10,"[38, 39, 40]","['N', 2]",left,241014-234555,5,180,180,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,12,"{'N': 0.15625, 'S': 0.125, 'W': 0.1375, 'E': 0.14375000000000002}"
241014-234608,6,"[True, False, True, False]",9,"[38, 39, 40]","['W', 11]",right,241014-234608,6,270,90,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,12,"{'N': 0.15625, 'S': 0.125, 'W': 0.1375, 'E': 0.14375000000000002}"
241014-234623,7,"[True, False, True, True]",8,"[38, 39, 40]","['E', 14]",forwards,241014-234623,7,270,270,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,12,"{'N': 0.15625, 'S': 0.125, 'W': 0.1375, 'E': 0.14375000000000002}"
241014-234638,8,"[True, True, False, True]",2,"[38, 39, 40]","['N', 2]",right,241014-234638,8,0,180,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,12,"{'N': 0.15625, 'S': 0.125, 'W': 0.1375, 'E': 0.14375000000000002}"
241014-234652,9,"[True, False, False, True]",1,"[38, 39, 40]","['E', 14]",left,241014-234652,9,270,270,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,12,"{'N': 0.15625, 'S': 0.125, 'W': 0.1375, 'E': 0.14375000000000002}"
241014-234707,10,"[False, False, True, True]",0,"[38, 39, 40]","['W', 11]",forwards,241014-234707,10,270,90,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,12,"{'N': 0.15625, 'S': 0.125, 'W': 0.1375, 'E': 0.14375000000000002}"
241014-234720,11,"[True, False, True, False]",7,"[38, 39, 40]","['N', 2]",left,241014-234720,11,180,180,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,12,"{'N': 0.15625, 'S': 0.125, 'W': 0.1375, 'E': 0.14375000000000002}"
241014-234731,12,"[True, True, False, False]",13,"[38, 39, 40]","['S', 10]",forwards,241014-234731,12,180,0,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,12,"{'N': 0.15625, 'S': 0.125, 'W': 0.1375, 'E': 0.14375000000000002}"
241014-234743,13,"[False, True, True, False]",14,"[38, 39, 40]","['W', 11]",left,241014-234743,13,90,90,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,12,"{'N': 0.15625, 'S': 0.125, 'W': 0.1375, 'E': 0.14375000000000002}"
241014-234756,14,"[False, True, True, True]",15,"[38, 39, 40]","['E', 14]",forwards,241014-234756,14,90,270,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,12,"{'N': 0.15625, 'S': 0.125, 'W': 0.1375, 'E': 0.14375000000000002}"
241014-234809,15,"[False, True, False, True]",8,"[38, 39, 40]","['S', 10]",left,NA,14,0,0,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,12,"{'N': 0.15625, 'S': 0.125, 'W': 0.1375, 'E': 0.14375000000000002}"
241014-234816,16,"[True, True, False, True]",2,"[38, 39, 40]","['N', 2]",forwards,NA,14,0,180,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,12,"{'N': 0.15625, 'S': 0.125, 'W': 0.1375, 'E': 0.14375000000000002}"
241014-234825,17,"[True, False, False, True]",1,"[38, 39, 40]","['E', 14]",left,NA,14,270,270,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,12,"{'N': 0.15625, 'S': 0.125, 'W': 0.1375, 'E': 0.14375000000000002}"
241014-234832,18,"[False, False, True, True]",0,"[38, 39, 40]","['W', 11]",forwards,NA,14,270,90,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,12,"{'N': 0.15625, 'S': 0.125, 'W': 0.1375, 'E': 0.14375000000000002}"
241014-235153,19,"[True, False, True, False]",7,"[38, 39, 40]","['N', 2]",left,NA,14,180,180,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,12,"{'N': 0.15625, 'S': 0.125, 'W': 0.1375, 'E': 0.14375000000000002}"
241014-235201,20,"[True, True, False, False]",13,"[38, 39, 40]","['S', 10]",forwards,NA,14,180,0,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,12,"{'N': 0.15625, 'S': 0.125, 'W': 0.1375, 'E': 0.14375000000000002}"
241014-235209,21,"[False, True, True, False]",14,"[38, 39, 40]","['W', 11]",left,NA,14,90,90,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,12,"{'N': 0.15625, 'S': 0.125, 'W': 0.1375, 'E': 0.14375000000000002}"
241014-235218,22,"[False, True, True, True]",15,"[38, 39, 40]","['E', 14]",forwards,NA,14,90,270,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,12,"{'N': 0.15625, 'S': 0.125, 'W': 0.1375, 'E': 0.14375000000000002}"
241014-235509,23,"[False, True, False, True]",14,"[38, 39, 40]","['E', 14]",backwards,NA,14,270,270,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,12,"{'N': 0.15625, 'S': 0.125, 'W': 0.1375, 'E': 0.14375000000000002}"
241014-235515,24,"[False, True, True, True]",13,"[38, 39, 40]","['W', 11]",forwards,NA,14,270,90,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,12,"{'N': 0.15625, 'S': 0.125, 'W': 0.1375, 'E': 0.14375000000000002}"
