time,action_idx,lights_on,state,rewarded_states,choice,action,reward_time,n_rewards,mouse_rotation,maze_rotation,note,adjacency_file,st_positions_file,start_state,reward_duration
241012-175431,0,"[False, True, True, True]",13,"[20, 21, 22, 23, 38, 39, 40]","['W', 11]",left,241012-175431,1,270,90,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,14,"{'N': 0.09375, 'S': 0.07500000000000001, 'W': 0.0825, 'E': 0.08625000000000001}"
241012-175628,1,"[False, True, True, False]",14,"[20, 21, 22, 23, 38, 39, 40]","['W', 11]",backwards,241012-175628,2,90,90,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,14,"{'N': 0.09375, 'S': 0.07500000000000001, 'W': 0.0825, 'E': 0.08625000000000001}"
241012-175648,2,"[False, True, True, True]",15,"[20, 21, 22, 23, 38, 39, 40]","['E', 14]",forwards,241012-175648,3,90,270,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,14,"{'N': 0.09375, 'S': 0.07500000000000001, 'W': 0.0825, 'E': 0.08625000000000001}"
241012-175704,3,"[False, True, False, True]",8,"[20, 21, 22, 23, 38, 39, 40]","['S', 10]",left,241012-175704,4,0,0,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,14,"{'N': 0.09375, 'S': 0.07500000000000001, 'W': 0.0825, 'E': 0.08625000000000001}"
241012-175714,4,"[True, True, False, True]",2,"[20, 21, 22, 23, 38, 39, 40]","['N', 2]",forwards,241012-175714,5,0,180,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,14,"{'N': 0.09375, 'S': 0.07500000000000001, 'W': 0.0825, 'E': 0.08625000000000001}"
241012-175728,5,"[True, False, False, True]",1,"[20, 21, 22, 23, 38, 39, 40]","['E', 14]",left,241012-175728,6,270,270,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,14,"{'N': 0.09375, 'S': 0.07500000000000001, 'W': 0.0825, 'E': 0.08625000000000001}"
241012-175741,6,"[False, False, True, True]",0,"[20, 21, 22, 23, 38, 39, 40]","['W', 11]",forwards,241012-175741,7,270,90,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,14,"{'N': 0.09375, 'S': 0.07500000000000001, 'W': 0.0825, 'E': 0.08625000000000001}"
241012-175751,7,"[True, False, True, False]",7,"[20, 21, 22, 23, 38, 39, 40]","['N', 2]",left,241012-175751,8,180,180,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,14,"{'N': 0.09375, 'S': 0.07500000000000001, 'W': 0.0825, 'E': 0.08625000000000001}"
241012-175808,8,"[True, True, False, False]",13,"[20, 21, 22, 23, 38, 39, 40]","['S', 10]",forwards,NA,8,180,0,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,14,"{'N': 0.09375, 'S': 0.07500000000000001, 'W': 0.0825, 'E': 0.08625000000000001}"
241012-175815,9,"[False, True, True, False]",14,"[20, 21, 22, 23, 38, 39, 40]","['W', 11]",left,NA,8,90,90,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,14,"{'N': 0.09375, 'S': 0.07500000000000001, 'W': 0.0825, 'E': 0.08625000000000001}"
241012-175823,10,"[False, True, True, True]",15,"[20, 21, 22, 23, 38, 39, 40]","['E', 14]",forwards,NA,8,90,270,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,14,"{'N': 0.09375, 'S': 0.07500000000000001, 'W': 0.0825, 'E': 0.08625000000000001}"
241012-175854,11,"[False, True, False, True]",8,"[20, 21, 22, 23, 38, 39, 40]","['S', 10]",left,NA,8,0,0,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,14,"{'N': 0.09375, 'S': 0.07500000000000001, 'W': 0.0825, 'E': 0.08625000000000001}"
241012-175900,12,"[True, True, False, True]",2,"[20, 21, 22, 23, 38, 39, 40]","['N', 2]",forwards,NA,8,0,180,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,14,"{'N': 0.09375, 'S': 0.07500000000000001, 'W': 0.0825, 'E': 0.08625000000000001}"
241012-175955,13,"[True, False, False, True]",8,"[20, 21, 22, 23, 38, 39, 40]","['N', 2]",backwards,NA,8,180,180,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,14,"{'N': 0.09375, 'S': 0.07500000000000001, 'W': 0.0825, 'E': 0.08625000000000001}"
241012-180004,14,"[True, True, False, True]",9,"[20, 21, 22, 23, 38, 39, 40]","['E', 14]",left,241012-180004,9,90,270,,240901_latMaz007-mop001half-adjacency.csv,240901_latMaz007-mop001half-state_positions.csv,14,"{'N': 0.09375, 'S': 0.07500000000000001, 'W': 0.0825, 'E': 0.08625000000000001}"
