time,action_idx,lights_on,state,rewarded_states,choice,action,reward_time,n_rewards,mouse_rotation,maze_rotation,note,adjacency_file,st_positions_file,start_state
240223_160503,0,"[False, True, False, True]",1,"[0, 9, 22, 35, 44]","['E', 14]",right,240223_160503,1,90,270,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240223_160517,1,"[True, False, False, True]",10,"[0, 9, 22, 35, 44]","['N', 2]",right,240223_160517,2,180,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240223_160530,2,"[True, True, True, False]",19,"[0, 9, 22, 35, 44]","['S', 10]",forwards,240223_160530,3,180,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240223_160540,3,"[True, True, True, True]",20,"[0, 9, 22, 35, 44]","['W', 11]",left,240223_160540,4,90,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240223_160559,4,"[True, True, True, False]",29,"[0, 9, 22, 35, 44]","['S', 10]",right,240223_160559,5,180,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240223_160613,5,"[True, True, True, False]",30,"[0, 9, 22, 35, 44]","['W', 11]",left,240223_160613,6,90,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240223_160635,6,"[False, True, True, False]",29,"[0, 9, 22, 35, 44]","['W', 11]",backwards,NA,6,270,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240223_160642,7,"[True, True, True, False]",38,"[0, 9, 22, 35, 44]","['N', 2]",left,240223_160642,7,180,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240223_160655,8,"[True, False, True, False]",37,"[0, 9, 22, 35, 44]","['W', 11]",right,240223_160655,8,270,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240223_160705,9,"[False, False, True, True]",36,"[0, 9, 22, 35, 44]","['E', 14]",forwards,240223_160705,9,270,270,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240223_160720,10,"[True, False, False, True]",27,"[0, 9, 22, 35, 44]","['N', 2]",right,240223_160720,10,0,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240223_160727,11,"[True, True, True, False]",18,"[0, 9, 22, 35, 44]","['S', 10]",forwards,240223_160727,11,0,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240223_160759,12,"[False, True, False, True]",19,"[0, 9, 22, 35, 44]","['E', 14]",right,NA,11,90,270,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240223_160805,13,"[True, True, True, True]",20,"[0, 9, 22, 35, 44]","['W', 11]",forwards,NA,11,90,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240223_160831,14,"[True, True, True, False]",29,"[0, 9, 22, 35, 44]","['S', 10]",right,NA,11,180,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240223_160844,15,"[True, True, True, False]",38,"[0, 9, 22, 35, 44]","['N', 2]",forwards,NA,11,180,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240223_160852,16,"[True, False, True, False]",37,"[0, 9, 22, 35, 44]","['W', 11]",right,NA,11,270,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240223_160938,17,"[False, False, True, True]",38,"[0, 9, 22, 35, 44]","['W', 11]",backwards,NA,11,90,90,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240223_160951,18,"[True, False, True, False]",29,"[0, 9, 22, 35, 44]","['N', 2]",left,NA,11,0,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240223_161000,19,"[True, True, True, False]",20,"[0, 9, 22, 35, 44]","['S', 10]",forwards,NA,11,0,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240223_161011,20,"[True, True, True, False]",11,"[0, 9, 22, 35, 44]","['N', 2]",forwards,240223_161011,12,0,180,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240223_161035,21,"[True, True, False, False]",2,"[0, 9, 22, 35, 44]","['S', 10]",forwards,240223_161035,13,0,0,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
240223_161108,22,"[False, True, False, True]",3,"[0, 9, 22, 35, 44]","['E', 14]",right,240223_161108,14,90,270,,240218_intuition_maze_003-adjacency.csv,240218_intuition_maze_003-state_positions.csv,0
