state_index,x,y
0,0,5
1,1,5
2,2,5
3,3,5
4,4,5
5,5,5
6,6,5
7,0,4
8,2,4
9,3,4
10,4,4
11,5,4
12,6,4
13,0,3
14,1,3
15,2,3
16,3,3
17,4,3
18,5,3
19,6,3
20,0,2
21,1,2
22,2,2
23,3,2
24,4,2
25,5,2
26,6,2
27,0,1
28,1,1
29,2,1
30,3,1
31,4,1
32,5,1
33,6,1
34,0,0
35,1,0
36,2,0
37,3,0
38,4,0
39,5,0
40,6,0
