state_index,x,y
0,0,4
1,1,4
2,2,4
3,3,4
4,4,4
5,0,3
6,1,3
7,2,3
8,3,3
9,4,3
10,0,2
11,1,2
12,2,2
13,3,2
14,4,2
15,0,1
16,1,1
17,2,1
18,3,1
19,4,1
20,0,0
21,1,0
22,2,0
23,3,0
24,4,0
