exp_moment,animal_ID,model,hpo_config,pretrain_type,n_pretrain_sessions,repeat_idx,total_reward,n_actions,seed,timestamp
260116-175247,033,DQN,default,prior_sessions_same_maze,7,2,84.0,179,44,2026-03-16T17:24:37.241046
260116-175247,033,DQN,default,none,0,3,18.0,179,45,2026-03-16T17:24:37.453041
260116-175247,033,DQN,default,prior_sessions_same_maze,7,3,125.0,179,45,2026-03-16T17:24:37.927164
260116-175247,033,DQN,default,none,0,4,48.0,179,46,2026-03-16T17:24:38.097197
260116-175247,033,DQN,default,prior_sessions_same_maze,7,4,26.0,179,46,2026-03-16T17:24:38.574830
251231-172527,031,DQN,default,none,0,0,14.0,121,42,2026-03-16T17:24:38.688474
251231-172527,031,DQN,default,prior_sessions_same_maze,10,0,54.0,121,42,2026-03-16T17:24:40.106568
251231-172527,031,DQN,default,none,0,1,25.0,121,43,2026-03-16T17:24:40.264652
251231-172527,031,DQN,default,prior_sessions_same_maze,10,1,73.0,121,43,2026-03-16T17:24:41.758383
251231-172527,031,DQN,default,none,0,2,14.0,121,44,2026-03-16T17:24:41.895332
251231-172527,031,DQN,default,prior_sessions_same_maze,10,2,111.0,121,44,2026-03-16T17:24:43.340906
251231-172527,031,DQN,default,none,0,3,15.0,121,45,2026-03-16T17:24:43.517257
251231-172527,031,DQN,default,prior_sessions_same_maze,10,3,111.0,121,45,2026-03-16T17:24:44.988819
251231-172527,031,DQN,default,none,0,4,22.0,121,46,2026-03-16T17:24:45.123166
251231-172527,031,DQN,default,prior_sessions_same_maze,10,4,91.0,121,46,2026-03-16T17:24:46.543168
251230-171810,031,DQN,default,none,0,0,28.0,171,42,2026-03-16T17:24:46.706282
251230-171810,031,DQN,default,prior_sessions_same_maze,9,0,82.0,171,42,2026-03-16T17:24:48.086140
251230-171810,031,DQN,default,none,0,1,56.0,171,43,2026-03-16T17:24:48.278441
251230-171810,031,DQN,default,prior_sessions_same_maze,9,1,80.0,171,43,2026-03-16T17:24:49.663168
251230-171810,031,DQN,default,none,0,2,22.0,171,44,2026-03-16T17:24:49.824535
251230-171810,031,DQN,default,prior_sessions_same_maze,9,2,135.0,171,44,2026-03-16T17:24:51.187569
251230-171810,031,DQN,default,none,0,3,18.0,171,45,2026-03-16T17:24:51.398026
251230-171810,031,DQN,default,prior_sessions_same_maze,9,3,141.0,171,45,2026-03-16T17:24:52.807903
251230-171810,031,DQN,default,none,0,4,48.0,171,46,2026-03-16T17:24:52.966979
251230-171810,031,DQN,default,prior_sessions_same_maze,9,4,144.0,171,46,2026-03-16T17:24:54.321076
251229-180544,031,DQN,default,none,0,0,46.0,318,42,2026-03-16T17:24:54.560729
251229-180544,031,DQN,default,prior_sessions_same_maze,8,0,140.0,318,42,2026-03-16T17:24:55.924592
251229-180544,031,DQN,default,none,0,1,147.0,318,43,2026-03-16T17:24:56.194095
251229-180544,031,DQN,default,prior_sessions_same_maze,8,1,152.0,318,43,2026-03-16T17:24:57.518345
251229-180544,031,DQN,default,none,0,2,55.0,318,44,2026-03-16T17:24:57.771224
251229-180544,031,DQN,default,prior_sessions_same_maze,8,2,266.0,318,44,2026-03-16T17:24:59.113823
251229-180544,031,DQN,default,none,0,3,78.0,318,45,2026-03-16T17:24:59.390991
251229-180544,031,DQN,default,prior_sessions_same_maze,8,3,268.0,318,45,2026-03-16T17:25:00.769450
251229-180544,031,DQN,default,none,0,4,142.0,318,46,2026-03-16T17:25:01.013583
251229-180544,031,DQN,default,prior_sessions_same_maze,8,4,266.0,318,46,2026-03-16T17:25:02.376199
251228-174043,031,DQN,default,none,0,0,23.0,195,42,2026-03-16T17:25:02.548205
251228-174043,031,DQN,default,prior_sessions_same_maze,11,0,139.0,195,42,2026-03-16T17:25:04.114234
251228-174043,031,DQN,default,none,0,1,57.0,195,43,2026-03-16T17:25:04.271988
251228-174043,031,DQN,default,prior_sessions_same_maze,11,1,147.0,195,43,2026-03-16T17:25:05.859589
251228-174043,031,DQN,default,none,0,2,12.0,195,44,2026-03-16T17:25:06.018894
251228-174043,031,DQN,default,prior_sessions_same_maze,11,2,50.0,195,44,2026-03-16T17:25:07.577104
251228-174043,031,DQN,default,none,0,3,8.0,195,45,2026-03-16T17:25:07.777965
251228-174043,031,DQN,default,prior_sessions_same_maze,11,3,22.0,195,45,2026-03-16T17:25:09.452865
251228-174043,031,DQN,default,none,0,4,14.0,195,46,2026-03-16T17:25:09.636745
251228-174043,031,DQN,default,prior_sessions_same_maze,11,4,138.0,195,46,2026-03-16T17:25:11.235511
251227-174332,031,DQN,default,none,0,0,26.0,247,42,2026-03-16T17:25:11.420251
251227-174332,031,DQN,default,prior_sessions_same_maze,10,0,163.0,247,42,2026-03-16T17:25:12.908860
251227-174332,031,DQN,default,none,0,1,98.0,247,43,2026-03-16T17:25:13.091666
251227-174332,031,DQN,default,prior_sessions_same_maze,10,1,171.0,247,43,2026-03-16T17:25:14.567013
251227-174332,031,DQN,default,none,0,2,28.0,247,44,2026-03-16T17:25:14.743485
251227-174332,031,DQN,default,prior_sessions_same_maze,10,2,50.0,247,44,2026-03-16T17:25:16.242383
251227-174332,031,DQN,default,none,0,3,10.0,247,45,2026-03-16T17:25:16.471826
251227-174332,031,DQN,default,prior_sessions_same_maze,10,3,36.0,247,45,2026-03-16T17:25:18.068335
251227-174332,031,DQN,default,none,0,4,57.0,247,46,2026-03-16T17:25:18.278200
251227-174332,031,DQN,default,prior_sessions_same_maze,10,4,180.0,247,46,2026-03-16T17:25:19.792729
251226-181307,031,DQN,default,none,0,0,23.0,208,42,2026-03-16T17:25:19.959111
251226-181307,031,DQN,default,prior_sessions_same_maze,9,0,114.0,208,42,2026-03-16T17:25:21.299896
251226-181307,031,DQN,default,none,0,1,66.0,208,43,2026-03-16T17:25:21.464770
251226-181307,031,DQN,default,prior_sessions_same_maze,9,1,142.0,208,43,2026-03-16T17:25:22.838583
251226-181307,031,DQN,default,none,0,2,12.0,208,44,2026-03-16T17:25:23.002387
251226-181307,031,DQN,default,prior_sessions_same_maze,9,2,8.0,208,44,2026-03-16T17:25:24.353395
251226-181307,031,DQN,default,none,0,3,8.0,208,45,2026-03-16T17:25:24.561367
251226-181307,031,DQN,default,prior_sessions_same_maze,9,3,78.0,208,45,2026-03-16T17:25:26.020368
251226-181307,031,DQN,default,none,0,4,25.0,208,46,2026-03-16T17:25:26.207466
251226-181307,031,DQN,default,prior_sessions_same_maze,9,4,162.0,208,46,2026-03-16T17:25:27.602584
251225-181630,031,DQN,default,none,0,0,21.0,178,42,2026-03-16T17:25:27.760122
251225-181630,031,DQN,default,prior_sessions_same_maze,8,0,97.0,178,42,2026-03-16T17:25:29.043213
251225-181630,031,DQN,default,none,0,1,41.0,178,43,2026-03-16T17:25:29.193544
251225-181630,031,DQN,default,prior_sessions_same_maze,8,1,129.0,178,43,2026-03-16T17:25:30.454149
251225-181630,031,DQN,default,none,0,2,12.0,178,44,2026-03-16T17:25:30.603018
251225-181630,031,DQN,default,prior_sessions_same_maze,8,2,8.0,178,44,2026-03-16T17:25:31.861265
251225-181630,031,DQN,default,none,0,3,8.0,178,45,2026-03-16T17:25:32.055412
251225-181630,031,DQN,default,prior_sessions_same_maze,8,3,28.0,178,45,2026-03-16T17:25:33.420667
251225-181630,031,DQN,default,none,0,4,10.0,178,46,2026-03-16T17:25:33.570429
251225-181630,031,DQN,default,prior_sessions_same_maze,8,4,125.0,178,46,2026-03-16T17:25:34.844010
251224-181729,031,DQN,default,none,0,0,13.0,80,42,2026-03-16T17:25:34.949720
251224-181729,031,DQN,default,prior_sessions_same_maze,7,0,54.0,80,42,2026-03-16T17:25:36.119649
251224-181729,031,DQN,default,none,0,1,20.0,80,43,2026-03-16T17:25:36.217606
251224-181729,031,DQN,default,prior_sessions_same_maze,7,1,58.0,80,43,2026-03-16T17:25:37.503925
251224-181729,031,DQN,default,none,0,2,12.0,80,44,2026-03-16T17:25:37.614901
251224-181729,031,DQN,default,prior_sessions_same_maze,7,2,8.0,80,44,2026-03-16T17:25:38.770633
251224-181729,031,DQN,default,none,0,3,7.0,80,45,2026-03-16T17:25:38.884179
251224-181729,031,DQN,default,prior_sessions_same_maze,7,3,40.0,80,45,2026-03-16T17:25:40.238489
