exp_moment,animal_ID,model,hpo_config,pretrain_type,n_pretrain_sessions,repeat_idx,total_reward,n_actions,seed,timestamp
251119-171644,031,DQN,default,none,0,0,338.0,546,42,2026-03-16T17:26:50.600247
251119-171644,031,DQN,default,none,0,1,248.0,546,43,2026-03-16T17:26:51.001893
251119-171644,031,DQN,default,none,0,2,359.0,546,44,2026-03-16T17:26:51.398681
251119-171644,031,DQN,default,none,0,3,33.0,546,45,2026-03-16T17:26:51.842711
251119-171644,031,DQN,default,none,0,4,250.0,546,46,2026-03-16T17:26:52.274615
251116-180749,033,DQN,default,none,0,0,9.0,89,42,2026-03-16T17:26:52.395865
251116-180749,033,DQN,default,prior_sessions_same_maze,5,0,26.0,89,42,2026-03-16T17:26:52.842600
251116-180749,033,DQN,default,none,0,1,10.0,89,43,2026-03-16T17:26:52.954026
251116-180749,033,DQN,default,prior_sessions_same_maze,5,1,40.0,89,43,2026-03-16T17:26:53.416373
251116-180749,033,DQN,default,none,0,2,39.0,89,44,2026-03-16T17:26:53.537164
251116-180749,033,DQN,default,prior_sessions_same_maze,5,2,40.0,89,44,2026-03-16T17:26:53.991564
251116-180749,033,DQN,default,none,0,3,20.0,89,45,2026-03-16T17:26:54.150269
251116-180749,033,DQN,default,prior_sessions_same_maze,5,3,17.0,89,45,2026-03-16T17:26:54.618614
251116-180749,033,DQN,default,none,0,4,23.0,89,46,2026-03-16T17:26:54.773078
251116-180749,033,DQN,default,prior_sessions_same_maze,5,4,41.0,89,46,2026-03-16T17:26:55.198743
251115-180903,033,DQN,default,none,0,0,29.0,96,42,2026-03-16T17:26:55.351554
251115-180903,033,DQN,default,prior_sessions_same_maze,4,0,50.0,96,42,2026-03-16T17:26:55.738166
251115-180903,033,DQN,default,none,0,1,24.0,96,43,2026-03-16T17:26:55.857850
251115-180903,033,DQN,default,prior_sessions_same_maze,4,1,47.0,96,43,2026-03-16T17:26:56.289741
251115-180903,033,DQN,default,none,0,2,52.0,96,44,2026-03-16T17:26:56.431106
251115-180903,033,DQN,default,prior_sessions_same_maze,4,2,52.0,96,44,2026-03-16T17:26:56.817051
251115-180903,033,DQN,default,none,0,3,10.0,96,45,2026-03-16T17:26:56.950267
251115-180903,033,DQN,default,prior_sessions_same_maze,4,3,35.0,96,45,2026-03-16T17:26:57.324172
251115-180903,033,DQN,default,none,0,4,27.0,96,46,2026-03-16T17:26:57.454110
251115-180903,033,DQN,default,prior_sessions_same_maze,4,4,26.0,96,46,2026-03-16T17:26:57.823780
251113-230441,033,DQN,default,none,0,0,13.0,67,42,2026-03-16T17:26:57.951314
251113-230441,033,DQN,default,prior_sessions_same_maze,3,0,13.0,67,42,2026-03-16T17:26:58.309551
251113-230441,033,DQN,default,none,0,1,14.0,67,43,2026-03-16T17:26:58.412995
251113-230441,033,DQN,default,prior_sessions_same_maze,3,1,26.0,67,43,2026-03-16T17:26:58.789313
251113-230441,033,DQN,default,none,0,2,34.0,67,44,2026-03-16T17:26:58.913007
251113-230441,033,DQN,default,prior_sessions_same_maze,3,2,28.0,67,44,2026-03-16T17:26:59.239979
251113-230441,033,DQN,default,none,0,3,10.0,67,45,2026-03-16T17:26:59.351577
251113-230441,033,DQN,default,prior_sessions_same_maze,3,3,7.0,67,45,2026-03-16T17:26:59.678606
251113-230441,033,DQN,default,none,0,4,27.0,67,46,2026-03-16T17:26:59.789979
251113-230441,033,DQN,default,prior_sessions_same_maze,3,4,50.0,67,46,2026-03-16T17:27:00.118714
251112-225928,033,DQN,default,none,0,0,24.0,90,42,2026-03-16T17:27:00.278558
251112-225928,033,DQN,default,prior_sessions_same_maze,2,0,27.0,90,42,2026-03-16T17:27:00.591850
251112-225928,033,DQN,default,none,0,1,20.0,90,43,2026-03-16T17:27:00.709483
251112-225928,033,DQN,default,prior_sessions_same_maze,2,1,24.0,90,43,2026-03-16T17:27:01.041856
251112-225928,033,DQN,default,none,0,2,52.0,90,44,2026-03-16T17:27:01.177476
251112-225928,033,DQN,default,prior_sessions_same_maze,2,2,26.0,90,44,2026-03-16T17:27:01.474663
251112-225928,033,DQN,default,none,0,3,10.0,90,45,2026-03-16T17:27:01.601973
251112-225928,033,DQN,default,prior_sessions_same_maze,2,3,9.0,90,45,2026-03-16T17:27:01.896675
251112-225928,033,DQN,default,none,0,4,27.0,90,46,2026-03-16T17:27:02.028256
251112-225928,033,DQN,default,prior_sessions_same_maze,2,4,33.0,90,46,2026-03-16T17:27:02.324327
251111-225736,033,DQN,default,none,0,0,8.0,69,42,2026-03-16T17:27:02.446644
251111-225736,033,DQN,default,prior_sessions_same_maze,2,0,42.0,69,42,2026-03-16T17:27:02.609832
251111-225736,033,DQN,default,none,0,1,9.0,69,43,2026-03-16T17:27:02.730628
251111-225736,033,DQN,default,prior_sessions_same_maze,2,1,18.0,69,43,2026-03-16T17:27:02.961999
251111-225736,033,DQN,default,none,0,2,9.0,69,44,2026-03-16T17:27:03.063986
251111-225736,033,DQN,default,prior_sessions_same_maze,2,2,6.0,69,44,2026-03-16T17:27:03.222647
251111-225736,033,DQN,default,none,0,3,8.0,69,45,2026-03-16T17:27:03.344704
251111-225736,033,DQN,default,prior_sessions_same_maze,2,3,6.0,69,45,2026-03-16T17:27:03.546822
251111-225736,033,DQN,default,none,0,4,14.0,69,46,2026-03-16T17:27:03.691174
251111-225736,033,DQN,default,prior_sessions_same_maze,2,4,57.0,69,46,2026-03-16T17:27:03.876090
251109-230458,033,DQN,default,none,0,0,8.0,51,42,2026-03-16T17:27:04.014979
251109-230458,033,DQN,default,none,0,1,9.0,51,43,2026-03-16T17:27:04.104777
251109-230458,033,DQN,default,none,0,2,9.0,51,44,2026-03-16T17:27:04.194930
251109-230458,033,DQN,default,none,0,3,8.0,51,45,2026-03-16T17:27:04.316690
251109-230458,033,DQN,default,none,0,4,11.0,51,46,2026-03-16T17:27:04.449408
251108-230846,033,DQN,default,none,0,0,33.0,128,42,2026-03-16T17:27:04.621987
251108-230846,033,DQN,default,prior_sessions_same_maze,1,0,30.0,128,42,2026-03-16T17:27:04.872019
251108-230846,033,DQN,default,none,0,1,25.0,128,43,2026-03-16T17:27:05.078411
251108-230846,033,DQN,default,prior_sessions_same_maze,1,1,21.0,128,43,2026-03-16T17:27:05.386144
251108-230846,033,DQN,default,none,0,2,56.0,128,44,2026-03-16T17:27:05.551948
251108-230846,033,DQN,default,prior_sessions_same_maze,1,2,26.0,128,44,2026-03-16T17:27:05.807382
251108-230846,033,DQN,default,none,0,3,18.0,128,45,2026-03-16T17:27:05.986258
251108-230846,033,DQN,default,prior_sessions_same_maze,1,3,14.0,128,45,2026-03-16T17:27:06.259622
251108-230846,033,DQN,default,none,0,4,27.0,128,46,2026-03-16T17:27:06.444631
251108-230846,033,DQN,default,prior_sessions_same_maze,1,4,41.0,128,46,2026-03-16T17:27:06.726814
251107-230429,033,DQN,default,none,0,0,33.0,146,42,2026-03-16T17:27:06.926176
251107-230429,033,DQN,default,none,0,1,25.0,146,43,2026-03-16T17:27:07.157627
251107-230429,033,DQN,default,none,0,2,60.0,146,44,2026-03-16T17:27:07.332939
251107-230429,033,DQN,default,none,0,3,18.0,146,45,2026-03-16T17:27:07.512712
251107-230429,033,DQN,default,none,0,4,28.0,146,46,2026-03-16T17:27:07.706349
251106-230142,033,DQN,default,none,0,0,122.0,285,42,2026-03-16T17:27:07.974409
251106-230142,033,DQN,default,prior_sessions_same_maze,2,0,228.0,285,42,2026-03-16T17:27:08.399776
251106-230142,033,DQN,default,none,0,1,50.0,285,43,2026-03-16T17:27:08.671645
251106-230142,033,DQN,default,prior_sessions_same_maze,2,1,120.0,285,43,2026-03-16T17:27:09.108027
251106-230142,033,DQN,default,none,0,2,146.0,285,44,2026-03-16T17:27:09.364980
251106-230142,033,DQN,default,prior_sessions_same_maze,2,2,230.0,285,44,2026-03-16T17:27:09.754369
251106-230142,033,DQN,default,none,0,3,16.0,285,45,2026-03-16T17:27:10.046528
251106-230142,033,DQN,default,prior_sessions_same_maze,2,3,219.0,285,45,2026-03-16T17:27:10.521569
251106-230142,033,DQN,default,none,0,4,83.0,285,46,2026-03-16T17:27:10.821937
251106-230142,033,DQN,default,prior_sessions_same_maze,2,4,150.0,285,46,2026-03-16T17:27:11.253164
251105-230500,033,DQN,default,none,0,0,35.0,172,42,2026-03-16T17:27:11.409524
251105-230500,033,DQN,default,prior_sessions_same_maze,1,0,34.0,172,42,2026-03-16T17:27:11.629066
251105-230500,033,DQN,default,none,0,1,18.0,172,43,2026-03-16T17:27:11.821085
251105-230500,033,DQN,default,prior_sessions_same_maze,1,1,94.0,172,43,2026-03-16T17:27:12.100331
251105-230500,033,DQN,default,none,0,2,54.0,172,44,2026-03-16T17:27:12.308433
251105-230500,033,DQN,default,prior_sessions_same_maze,1,2,134.0,172,44,2026-03-16T17:27:12.542214
251105-230500,033,DQN,default,none,0,3,16.0,172,45,2026-03-16T17:27:12.752346
251105-230500,033,DQN,default,prior_sessions_same_maze,1,3,84.0,172,45,2026-03-16T17:27:13.038124
251105-230500,033,DQN,default,none,0,4,38.0,172,46,2026-03-16T17:27:13.237841
251105-230500,033,DQN,default,prior_sessions_same_maze,1,4,39.0,172,46,2026-03-16T17:27:13.511532
251104-230415,033,DQN,default,none,0,0,14.0,87,42,2026-03-16T17:27:13.618802
251104-230415,033,DQN,default,none,0,1,14.0,87,43,2026-03-16T17:27:13.731984
251104-230415,033,DQN,default,none,0,2,18.0,87,44,2026-03-16T17:27:13.843199
251104-230415,033,DQN,default,none,0,3,6.0,87,45,2026-03-16T17:27:14.000830
251104-230415,033,DQN,default,none,0,4,24.0,87,46,2026-03-16T17:27:14.117636
260201-212331,033,DQN,default,none,0,0,38.0,294,42,2026-03-16T17:27:14.396982
260201-212331,033,DQN,default,prior_sessions_same_maze,14,0,108.0,294,42,2026-03-16T17:27:15.723571
260201-212331,033,DQN,default,none,0,1,55.0,294,43,2026-03-16T17:27:16.006507
260201-212331,033,DQN,default,prior_sessions_same_maze,14,1,106.0,294,43,2026-03-16T17:27:17.360543
260201-212331,033,DQN,default,none,0,2,98.0,294,44,2026-03-16T17:27:17.670118
260201-212331,033,DQN,default,prior_sessions_same_maze,14,2,133.0,294,44,2026-03-16T17:27:18.859313
260201-212331,033,DQN,default,none,0,3,68.0,294,45,2026-03-16T17:27:19.164553
260201-212331,033,DQN,default,prior_sessions_same_maze,14,3,190.0,294,45,2026-03-16T17:27:20.447366
260201-212331,033,DQN,default,none,0,4,105.0,294,46,2026-03-16T17:27:20.737027
260201-212331,033,DQN,default,prior_sessions_same_maze,14,4,84.0,294,46,2026-03-16T17:27:22.038085
260202-202543,033,DQN,default,none,0,0,34.0,236,42,2026-03-16T17:27:22.265938
260202-202543,033,DQN,default,prior_sessions_same_maze,15,0,83.0,236,42,2026-03-16T17:27:23.679552
260202-202543,033,DQN,default,none,0,1,55.0,236,43,2026-03-16T17:27:23.962702
260202-202543,033,DQN,default,prior_sessions_same_maze,15,1,92.0,236,43,2026-03-16T17:27:25.427976
260202-202543,033,DQN,default,none,0,2,98.0,236,44,2026-03-16T17:27:25.702039
260202-202543,033,DQN,default,prior_sessions_same_maze,15,2,89.0,236,44,2026-03-16T17:27:27.096768
260202-202543,033,DQN,default,none,0,3,45.0,236,45,2026-03-16T17:27:27.346563
260202-202543,033,DQN,default,prior_sessions_same_maze,15,3,151.0,236,45,2026-03-16T17:27:28.726653
260202-202543,033,DQN,default,none,0,4,54.0,236,46,2026-03-16T17:27:28.967251
260202-202543,033,DQN,default,prior_sessions_same_maze,15,4,54.0,236,46,2026-03-16T17:27:30.313837
260203-171228,033,DQN,default,none,0,0,36.0,255,42,2026-03-16T17:27:30.538895
260203-171228,033,DQN,default,prior_sessions_same_maze,16,0,124.0,255,42,2026-03-16T17:27:32.088647
260203-171228,033,DQN,default,none,0,1,55.0,255,43,2026-03-16T17:27:32.356909
260203-171228,033,DQN,default,prior_sessions_same_maze,16,1,167.0,255,43,2026-03-16T17:27:33.907509
260203-171228,033,DQN,default,none,0,2,98.0,255,44,2026-03-16T17:27:34.181353
260203-171228,033,DQN,default,prior_sessions_same_maze,16,2,135.0,255,44,2026-03-16T17:27:35.708314
260203-171228,033,DQN,default,none,0,3,60.0,255,45,2026-03-16T17:27:35.960354
260203-171228,033,DQN,default,prior_sessions_same_maze,16,3,223.0,255,45,2026-03-16T17:27:37.456130
260203-171228,033,DQN,default,none,0,4,70.0,255,46,2026-03-16T17:27:37.712182
260203-171228,033,DQN,default,prior_sessions_same_maze,16,4,122.0,255,46,2026-03-16T17:27:39.276819
260204-193925,033,DQN,default,none,0,0,34.0,151,42,2026-03-16T17:27:39.442643
260204-193925,033,DQN,default,prior_sessions_same_maze,17,0,44.0,151,42,2026-03-16T17:27:41.124978
260204-193925,033,DQN,default,none,0,1,13.0,151,43,2026-03-16T17:27:41.330032
260204-193925,033,DQN,default,prior_sessions_same_maze,17,1,133.0,151,43,2026-03-16T17:27:43.005240
260204-193925,033,DQN,default,none,0,2,60.0,151,44,2026-03-16T17:27:43.211530
260204-193925,033,DQN,default,prior_sessions_same_maze,17,2,76.0,151,44,2026-03-16T17:27:44.846612
260204-193925,033,DQN,default,none,0,3,18.0,151,45,2026-03-16T17:27:45.040576
260204-193925,033,DQN,default,prior_sessions_same_maze,17,3,125.0,151,45,2026-03-16T17:27:46.760211
260204-193925,033,DQN,default,none,0,4,42.0,151,46,2026-03-16T17:27:46.976725
260204-193925,033,DQN,default,prior_sessions_same_maze,17,4,81.0,151,46,2026-03-16T17:27:48.699647
260205-191855,033,DQN,default,none,0,0,34.0,127,42,2026-03-16T17:27:48.848085
260205-191855,033,DQN,default,prior_sessions_same_maze,18,0,58.0,127,42,2026-03-16T17:27:50.758643
260205-191855,033,DQN,default,none,0,1,12.0,127,43,2026-03-16T17:27:50.906977
260205-191855,033,DQN,default,prior_sessions_same_maze,18,1,60.0,127,43,2026-03-16T17:27:52.872547
260205-191855,033,DQN,default,none,0,2,57.0,127,44,2026-03-16T17:27:53.091460
260205-191855,033,DQN,default,prior_sessions_same_maze,18,2,54.0,127,44,2026-03-16T17:27:55.312739
260205-191855,033,DQN,default,none,0,3,14.0,127,45,2026-03-16T17:27:55.460725
260205-191855,033,DQN,default,prior_sessions_same_maze,18,3,55.0,127,45,2026-03-16T17:27:57.203449
260205-191855,033,DQN,default,none,0,4,28.0,127,46,2026-03-16T17:27:57.368765
260205-191855,033,DQN,default,prior_sessions_same_maze,18,4,63.0,127,46,2026-03-16T17:28:00.211461
260206-144834,033,DQN,default,none,0,0,127.0,518,42,2026-03-16T17:28:00.619849
260206-144834,033,DQN,default,prior_sessions_same_maze,19,0,196.0,518,42,2026-03-16T17:28:02.699838
260206-144834,033,DQN,default,none,0,1,210.0,518,43,2026-03-16T17:28:03.126524
260206-144834,033,DQN,default,prior_sessions_same_maze,19,1,336.0,518,43,2026-03-16T17:28:05.062950
260206-144834,033,DQN,default,none,0,2,128.0,518,44,2026-03-16T17:28:05.437449
260206-144834,033,DQN,default,prior_sessions_same_maze,19,2,340.0,518,44,2026-03-16T17:28:07.305175
260206-144834,033,DQN,default,none,0,3,117.0,518,45,2026-03-16T17:28:07.684101
260206-144834,033,DQN,default,prior_sessions_same_maze,19,3,379.0,518,45,2026-03-16T17:28:09.476445
260206-144834,033,DQN,default,none,0,4,204.0,518,46,2026-03-16T17:28:09.832924
260206-144834,033,DQN,default,prior_sessions_same_maze,19,4,125.0,518,46,2026-03-16T17:28:11.605859
260208-145358,033,DQN,default,none,0,0,34.0,234,42,2026-03-16T17:28:11.804036
260208-145358,033,DQN,default,prior_sessions_same_maze,20,0,95.0,234,42,2026-03-16T17:28:13.676176
260208-145358,033,DQN,default,none,0,1,55.0,234,43,2026-03-16T17:28:13.916679
260208-145358,033,DQN,default,prior_sessions_same_maze,20,1,157.0,234,43,2026-03-16T17:28:15.868362
260208-145358,033,DQN,default,none,0,2,98.0,234,44,2026-03-16T17:28:16.099168
260208-145358,033,DQN,default,prior_sessions_same_maze,20,2,53.0,234,44,2026-03-16T17:28:18.037557
260208-145358,033,DQN,default,none,0,3,43.0,234,45,2026-03-16T17:28:18.267192
260208-145358,033,DQN,default,prior_sessions_same_maze,20,3,202.0,234,45,2026-03-16T17:28:20.191765
260208-145358,033,DQN,default,none,0,4,54.0,234,46,2026-03-16T17:28:20.423575
260208-145358,033,DQN,default,prior_sessions_same_maze,20,4,50.0,234,46,2026-03-16T17:28:22.376978
260209-143612,033,DQN,default,none,0,0,34.0,223,42,2026-03-16T17:28:22.571490
260209-143612,033,DQN,default,prior_sessions_same_maze,21,0,125.0,223,42,2026-03-16T17:28:24.703536
260209-143612,033,DQN,default,none,0,1,55.0,223,43,2026-03-16T17:28:24.943909
260209-143612,033,DQN,default,prior_sessions_same_maze,21,1,158.0,223,43,2026-03-16T17:28:27.142364
260209-143612,033,DQN,default,none,0,2,94.0,223,44,2026-03-16T17:28:27.379712
260209-143612,033,DQN,default,prior_sessions_same_maze,21,2,115.0,223,44,2026-03-16T17:28:29.519649
260209-143612,033,DQN,default,none,0,3,40.0,223,45,2026-03-16T17:28:29.736373
260209-143612,033,DQN,default,prior_sessions_same_maze,21,3,176.0,223,45,2026-03-16T17:28:31.948221
260209-143612,033,DQN,default,none,0,4,54.0,223,46,2026-03-16T17:28:32.168428
260209-143612,033,DQN,default,prior_sessions_same_maze,21,4,100.0,223,46,2026-03-16T17:28:34.525761
260210-142932,033,DQN,default,none,0,0,34.0,236,42,2026-03-16T17:28:34.755728
260210-142932,033,DQN,default,prior_sessions_same_maze,22,0,29.0,236,42,2026-03-16T17:28:37.319641
260210-142932,033,DQN,default,none,0,1,55.0,236,43,2026-03-16T17:28:37.605040
260210-142932,033,DQN,default,prior_sessions_same_maze,22,1,56.0,236,43,2026-03-16T17:28:40.208799
260210-142932,033,DQN,default,none,0,2,98.0,236,44,2026-03-16T17:28:40.472127
260210-142932,033,DQN,default,prior_sessions_same_maze,22,2,189.0,236,44,2026-03-16T17:28:43.017704
260210-142932,033,DQN,default,none,0,3,45.0,236,45,2026-03-16T17:28:43.300284
260210-142932,033,DQN,default,prior_sessions_same_maze,22,3,204.0,236,45,2026-03-16T17:28:46.592497
260210-142932,033,DQN,default,none,0,4,54.0,236,46,2026-03-16T17:28:46.854563
260210-142932,033,DQN,default,prior_sessions_same_maze,22,4,50.0,236,46,2026-03-16T17:28:49.547671
260211-143636,033,DQN,default,none,0,0,38.0,283,42,2026-03-16T17:28:49.840026
260211-143636,033,DQN,default,prior_sessions_same_maze,23,0,56.0,283,42,2026-03-16T17:28:52.962947
260211-143636,033,DQN,default,none,0,1,55.0,283,43,2026-03-16T17:28:53.298655
260211-143636,033,DQN,default,prior_sessions_same_maze,23,1,198.0,283,43,2026-03-16T17:28:56.298497
260211-143636,033,DQN,default,none,0,2,98.0,283,44,2026-03-16T17:28:56.645444
260211-143636,033,DQN,default,prior_sessions_same_maze,23,2,252.0,283,44,2026-03-16T17:28:59.723533
260211-143636,033,DQN,default,none,0,3,68.0,283,45,2026-03-16T17:29:00.041608
260211-143636,033,DQN,default,prior_sessions_same_maze,23,3,211.0,283,45,2026-03-16T17:29:03.053299
260211-143636,033,DQN,default,none,0,4,96.0,283,46,2026-03-16T17:29:03.349954
260211-143636,033,DQN,default,prior_sessions_same_maze,23,4,140.0,283,46,2026-03-16T17:29:05.774962
260213-001923,033,DQN,default,none,0,0,36.0,250,42,2026-03-16T17:29:05.977848
260213-001923,033,DQN,default,prior_sessions_same_maze,24,0,105.0,250,42,2026-03-16T17:29:08.484699
260213-001923,033,DQN,default,none,0,1,55.0,250,43,2026-03-16T17:29:08.730680
260213-001923,033,DQN,default,prior_sessions_same_maze,24,1,224.0,250,43,2026-03-16T17:29:11.622122
260213-001923,033,DQN,default,none,0,2,98.0,250,44,2026-03-16T17:29:11.851804
260213-001923,033,DQN,default,prior_sessions_same_maze,24,2,141.0,250,44,2026-03-16T17:29:14.258274
260213-001923,033,DQN,default,none,0,3,55.0,250,45,2026-03-16T17:29:14.486436
260213-001923,033,DQN,default,prior_sessions_same_maze,24,3,202.0,250,45,2026-03-16T17:29:16.869169
260213-001923,033,DQN,default,none,0,4,66.0,250,46,2026-03-16T17:29:17.100085
260213-001923,033,DQN,default,prior_sessions_same_maze,24,4,83.0,250,46,2026-03-16T17:29:19.518840
260213-223917,033,DQN,default,none,0,0,36.0,257,42,2026-03-16T17:29:19.717640
260213-223917,033,DQN,default,prior_sessions_same_maze,25,0,56.0,257,42,2026-03-16T17:29:22.394645
260213-223917,033,DQN,default,none,0,1,55.0,257,43,2026-03-16T17:29:22.662164
260213-223917,033,DQN,default,prior_sessions_same_maze,25,1,187.0,257,43,2026-03-16T17:29:25.332645
260213-223917,033,DQN,default,none,0,2,98.0,257,44,2026-03-16T17:29:25.574114
260213-223917,033,DQN,default,prior_sessions_same_maze,25,2,179.0,257,44,2026-03-16T17:29:28.189442
260213-223917,033,DQN,default,none,0,3,62.0,257,45,2026-03-16T17:29:28.425943
260213-223917,033,DQN,default,prior_sessions_same_maze,25,3,205.0,257,45,2026-03-16T17:29:31.014311
260213-223917,033,DQN,default,none,0,4,72.0,257,46,2026-03-16T17:29:31.259456
260213-223917,033,DQN,default,prior_sessions_same_maze,25,4,54.0,257,46,2026-03-16T17:29:33.966431
260216-230300,033,DQN,default,none,0,0,36.0,270,42,2026-03-16T17:29:34.198513
260216-230300,033,DQN,default,prior_sessions_same_maze,26,0,65.0,270,42,2026-03-16T17:29:37.128983
260216-230300,033,DQN,default,none,0,1,55.0,270,43,2026-03-16T17:29:37.402260
260216-230300,033,DQN,default,prior_sessions_same_maze,26,1,219.0,270,43,2026-03-16T17:29:40.516342
260216-230300,033,DQN,default,none,0,2,98.0,270,44,2026-03-16T17:29:40.820758
260216-230300,033,DQN,default,prior_sessions_same_maze,26,2,169.0,270,44,2026-03-16T17:29:44.130354
260216-230300,033,DQN,default,none,0,3,68.0,270,45,2026-03-16T17:29:44.403798
260216-230300,033,DQN,default,prior_sessions_same_maze,26,3,203.0,270,45,2026-03-16T17:29:47.996324
260216-230300,033,DQN,default,none,0,4,83.0,270,46,2026-03-16T17:29:48.303641
260216-230300,033,DQN,default,prior_sessions_same_maze,26,4,154.0,270,46,2026-03-16T17:29:51.658981
260217-193501,033,DQN,default,none,0,0,36.0,242,42,2026-03-16T17:29:51.897145
260217-193501,033,DQN,default,prior_sessions_same_maze,27,0,64.0,242,42,2026-03-16T17:29:57.379474
260217-193501,033,DQN,default,none,0,1,55.0,242,43,2026-03-16T17:29:57.852407
260217-193501,033,DQN,default,prior_sessions_same_maze,27,1,192.0,242,43,2026-03-16T17:30:01.609010
260217-193501,033,DQN,default,none,0,2,98.0,242,44,2026-03-16T17:30:01.869429
260217-193501,033,DQN,default,prior_sessions_same_maze,27,2,168.0,242,44,2026-03-16T17:30:05.257666
260217-193501,033,DQN,default,none,0,3,48.0,242,45,2026-03-16T17:30:05.536162
260217-193501,033,DQN,default,prior_sessions_same_maze,27,3,202.0,242,45,2026-03-16T17:30:09.042327
260217-193501,033,DQN,default,none,0,4,59.0,242,46,2026-03-16T17:30:09.320225
260217-193501,033,DQN,default,prior_sessions_same_maze,27,4,31.0,242,46,2026-03-16T17:30:13.076508
260218-180723,033,DQN,default,none,0,0,96.0,291,42,2026-03-16T17:30:13.292340
260218-180723,033,DQN,default,prior_sessions_same_maze,3,0,165.0,291,42,2026-03-16T17:30:13.560315
260218-180723,033,DQN,default,none,0,1,110.0,291,43,2026-03-16T17:30:13.751797
260218-180723,033,DQN,default,prior_sessions_same_maze,3,1,120.0,291,43,2026-03-16T17:30:14.032596
260218-180723,033,DQN,default,none,0,2,49.0,291,44,2026-03-16T17:30:14.232614
260218-180723,033,DQN,default,prior_sessions_same_maze,3,2,175.0,291,44,2026-03-16T17:30:14.470918
260218-180723,033,DQN,default,none,0,3,94.0,291,45,2026-03-16T17:30:14.702975
260218-180723,033,DQN,default,prior_sessions_same_maze,3,3,163.0,291,45,2026-03-16T17:30:14.983370
260218-180723,033,DQN,default,none,0,4,116.0,291,46,2026-03-16T17:30:15.204075
260218-180723,033,DQN,default,prior_sessions_same_maze,3,4,200.0,291,46,2026-03-16T17:30:15.485892
260219-233757,033,DQN,default,none,0,0,42.0,175,42,2026-03-16T17:30:15.647407
260219-233757,033,DQN,default,prior_sessions_same_maze,5,0,128.0,175,42,2026-03-16T17:30:15.996233
260219-233757,033,DQN,default,none,0,1,51.0,175,43,2026-03-16T17:30:16.126483
260219-233757,033,DQN,default,prior_sessions_same_maze,5,1,84.0,175,43,2026-03-16T17:30:16.488538
260219-233757,033,DQN,default,none,0,2,41.0,175,44,2026-03-16T17:30:16.644903
260219-233757,033,DQN,default,prior_sessions_same_maze,5,2,128.0,175,44,2026-03-16T17:30:16.966171
260219-233757,033,DQN,default,none,0,3,26.0,175,45,2026-03-16T17:30:17.156642
260219-233757,033,DQN,default,prior_sessions_same_maze,5,3,127.0,175,45,2026-03-16T17:30:17.517250
260219-233757,033,DQN,default,none,0,4,80.0,175,46,2026-03-16T17:30:17.694068
260219-233757,033,DQN,default,prior_sessions_same_maze,5,4,116.0,175,46,2026-03-16T17:30:18.043961
260220-185055,033,DQN,default,none,0,0,69.0,246,42,2026-03-16T17:30:18.231763
260220-185055,033,DQN,default,prior_sessions_same_maze,6,0,155.0,246,42,2026-03-16T17:30:18.679749
260220-185055,033,DQN,default,none,0,1,95.0,246,43,2026-03-16T17:30:18.866275
260220-185055,033,DQN,default,prior_sessions_same_maze,6,1,120.0,246,43,2026-03-16T17:30:19.381641
260220-185055,033,DQN,default,none,0,2,49.0,246,44,2026-03-16T17:30:19.588029
260220-185055,033,DQN,default,prior_sessions_same_maze,6,2,179.0,246,44,2026-03-16T17:30:20.065747
260220-185055,033,DQN,default,none,0,3,79.0,246,45,2026-03-16T17:30:20.331063
260220-185055,033,DQN,default,prior_sessions_same_maze,6,3,166.0,246,45,2026-03-16T17:30:20.923664
260220-185055,033,DQN,default,none,0,4,94.0,246,46,2026-03-16T17:30:21.159342
260220-185055,033,DQN,default,prior_sessions_same_maze,6,4,117.0,246,46,2026-03-16T17:30:21.707358
260222-190726,033,DQN,default,none,0,0,28.0,151,42,2026-03-16T17:30:21.867780
260222-190726,033,DQN,default,prior_sessions_same_maze,7,0,121.0,151,42,2026-03-16T17:30:22.493211
260222-190726,033,DQN,default,none,0,1,28.0,151,43,2026-03-16T17:30:22.638692
260222-190726,033,DQN,default,prior_sessions_same_maze,7,1,66.0,151,43,2026-03-16T17:30:23.317591
260222-190726,033,DQN,default,none,0,2,36.0,151,44,2026-03-16T17:30:23.507488
260222-190726,033,DQN,default,prior_sessions_same_maze,7,2,108.0,151,44,2026-03-16T17:30:24.200571
260222-190726,033,DQN,default,none,0,3,18.0,151,45,2026-03-16T17:30:24.390268
260222-190726,033,DQN,default,prior_sessions_same_maze,7,3,95.0,151,45,2026-03-16T17:30:25.062651
260222-190726,033,DQN,default,none,0,4,60.0,151,46,2026-03-16T17:30:25.247380
260222-190726,033,DQN,default,prior_sessions_same_maze,7,4,107.0,151,46,2026-03-16T17:30:25.890329
260223-191545,033,DQN,default,none,0,0,25.0,131,42,2026-03-16T17:30:26.062518
260223-191545,033,DQN,default,prior_sessions_same_maze,8,0,98.0,131,42,2026-03-16T17:30:26.799768
260223-191545,033,DQN,default,none,0,1,12.0,131,43,2026-03-16T17:30:26.936920
260223-191545,033,DQN,default,prior_sessions_same_maze,8,1,65.0,131,43,2026-03-16T17:30:27.760639
260223-191545,033,DQN,default,none,0,2,27.0,131,44,2026-03-16T17:30:27.915248
260223-191545,033,DQN,default,prior_sessions_same_maze,8,2,95.0,131,44,2026-03-16T17:30:28.680787
