exp_moment,animal_ID,model,history_len,config_name,repeat_idx,total_reward,n_actions,timestamp,seed,hpo_config
251226-181307,031,A2C,0,ego,4,23.0,208,2026-03-17T02:50:46.692654,60795,default
251225-181630,031,A2C,0,ego,0,18.0,178,2026-03-17T02:50:46.893872,60791,default
251225-181630,031,A2C,0,ego,1,28.0,178,2026-03-17T02:50:47.111949,60792,default
251225-181630,031,A2C,0,ego,2,24.0,178,2026-03-17T02:50:47.318116,60793,default
251225-181630,031,A2C,0,ego,3,22.0,178,2026-03-17T02:50:47.523100,60794,default
251225-181630,031,A2C,0,ego,4,23.0,178,2026-03-17T02:50:47.720730,60795,default
251224-181729,031,A2C,0,ego,0,7.0,80,2026-03-17T02:50:47.842389,60791,default
251224-181729,031,A2C,0,ego,1,8.0,80,2026-03-17T02:50:47.981410,60792,default
251224-181729,031,A2C,0,ego,2,20.0,80,2026-03-17T02:50:48.111907,60793,default
251224-181729,031,A2C,0,ego,3,21.0,80,2026-03-17T02:50:48.234377,60794,default
251224-181729,031,A2C,0,ego,4,12.0,80,2026-03-17T02:50:48.353291,60795,default
251222-194856,031,A2C,0,ego,0,22.0,212,2026-03-17T02:50:48.590039,60791,default
251222-194856,031,A2C,0,ego,1,35.0,212,2026-03-17T02:50:48.831724,60792,default
251222-194856,031,A2C,0,ego,2,24.0,212,2026-03-17T02:50:49.069966,60793,default
251222-194856,031,A2C,0,ego,3,30.0,212,2026-03-17T02:50:49.296426,60794,default
251222-194856,031,A2C,0,ego,4,23.0,212,2026-03-17T02:50:49.530662,60795,default
251221-193410,031,A2C,0,ego,0,79.0,529,2026-03-17T02:50:50.009692,60791,default
251221-193410,031,A2C,0,ego,1,64.0,529,2026-03-17T02:50:50.523027,60792,default
251221-193410,031,A2C,0,ego,2,70.0,529,2026-03-17T02:50:51.017737,60793,default
251221-193410,031,A2C,0,ego,3,93.0,529,2026-03-17T02:50:51.526545,60794,default
251221-193410,031,A2C,0,ego,4,98.0,529,2026-03-17T02:50:52.002355,60795,default
251220-165800,031,A2C,0,ego,0,108.0,695,2026-03-17T02:50:52.611263,60791,default
251220-165800,031,A2C,0,ego,1,91.0,695,2026-03-17T02:50:53.238280,60792,default
251220-165800,031,A2C,0,ego,2,102.0,695,2026-03-17T02:50:53.840964,60793,default
251220-165800,031,A2C,0,ego,3,97.0,695,2026-03-17T02:50:54.436280,60794,default
251220-165800,031,A2C,0,ego,4,110.0,695,2026-03-17T02:50:55.023453,60795,default
251130-232218,031,A2C,0,ego,0,23.0,239,2026-03-17T02:50:55.286218,60791,default
251130-232218,031,A2C,0,ego,1,35.0,239,2026-03-17T02:50:55.566008,60792,default
251130-232218,031,A2C,0,ego,2,34.0,239,2026-03-17T02:50:55.829729,60793,default
251130-232218,031,A2C,0,ego,3,35.0,239,2026-03-17T02:50:56.087498,60794,default
251130-232218,031,A2C,0,ego,4,23.0,239,2026-03-17T02:50:56.341878,60795,default
