exp_moment,model,seed,total_reward,n_actions,animal_ID
260117-175942,Clone_ego,46,19.0,135,033
260117-175942,Clone_allo_real,42,10.0,135,033
260117-175942,Clone_allo_real,43,25.0,135,033
260117-175942,Clone_allo_real,44,28.0,135,033
260117-175942,Clone_allo_real,45,24.0,135,033
260117-175942,Clone_allo_real,46,22.0,135,033
260117-175942,Clone_allo_latent,42,10.0,135,033
260117-175942,Clone_allo_latent,43,25.0,135,033
260117-175942,Clone_allo_latent,44,28.0,135,033
260117-175942,Clone_allo_latent,45,24.0,135,033
260117-175942,Clone_allo_latent,46,14.0,135,033
260116-175247,FullFwd,42,44.0,179,033
260116-175247,FullFwd,43,51.0,179,033
260116-175247,FullFwd,44,27.0,179,033
260116-175247,FullFwd,45,56.0,179,033
260116-175247,FullFwd,46,14.0,179,033
260116-175247,NoBkFullFwd,42,83.0,179,033
260116-175247,NoBkFullFwd,43,100.0,179,033
260116-175247,NoBkFullFwd,44,96.0,179,033
260116-175247,NoBkFullFwd,45,119.0,179,033
260116-175247,NoBkFullFwd,46,97.0,179,033
260116-175247,Clone_ego,42,66.0,179,033
260116-175247,Clone_ego,43,76.0,179,033
260116-175247,Clone_ego,44,49.0,179,033
260116-175247,Clone_ego,45,65.0,179,033
260116-175247,Clone_ego,46,69.0,179,033
260116-175247,Clone_allo_real,42,40.0,179,033
260116-175247,Clone_allo_real,43,32.0,179,033
260116-175247,Clone_allo_real,44,41.0,179,033
260116-175247,Clone_allo_real,45,38.0,179,033
260116-175247,Clone_allo_real,46,14.0,179,033
260116-175247,Clone_allo_latent,42,23.0,179,033
260116-175247,Clone_allo_latent,43,32.0,179,033
260116-175247,Clone_allo_latent,44,35.0,179,033
260116-175247,Clone_allo_latent,45,32.0,179,033
260116-175247,Clone_allo_latent,46,14.0,179,033
251231-172527,FullFwd,42,28.0,121,031
251231-172527,FullFwd,43,38.0,121,031
251231-172527,FullFwd,44,27.0,121,031
251231-172527,FullFwd,45,41.0,121,031
251231-172527,FullFwd,46,14.0,121,031
251231-172527,NoBkFullFwd,42,59.0,121,031
251231-172527,NoBkFullFwd,43,67.0,121,031
251231-172527,NoBkFullFwd,44,66.0,121,031
251231-172527,NoBkFullFwd,45,72.0,121,031
251231-172527,NoBkFullFwd,46,68.0,121,031
251231-172527,Clone_ego,42,42.0,121,031
251231-172527,Clone_ego,43,32.0,121,031
251231-172527,Clone_ego,44,4.0,121,031
251231-172527,Clone_ego,45,21.0,121,031
251231-172527,Clone_ego,46,42.0,121,031
251231-172527,Clone_allo_real,42,10.0,121,031
251231-172527,Clone_allo_real,43,24.0,121,031
251231-172527,Clone_allo_real,44,28.0,121,031
251231-172527,Clone_allo_real,45,24.0,121,031
251231-172527,Clone_allo_real,46,14.0,121,031
251231-172527,Clone_allo_latent,42,10.0,121,031
251231-172527,Clone_allo_latent,43,24.0,121,031
251231-172527,Clone_allo_latent,44,26.0,121,031
