exp_moment,animal_ID,model,seed,total_reward,n_actions,rpa,elapsed_s,reset_val,n_init_rewards,adj_file,status,timestamp
240304-145453,7,DQN,2,12.0,84,0.14285714285714285,0.31,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:41
240304-145453,7,DQN,0,10.0,84,0.11904761904761904,0.34,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:41
240304-145453,7,DQN,1,39.0,84,0.4642857142857143,0.45,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:41
240304-145453,7,DQN,3,13.0,84,0.15476190476190477,0.43,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:41
240304-145453,7,DQN,4,37.0,84,0.44047619047619047,0.35,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:41
240304-213329,7,DQN,0,16.0,161,0.09937888198757763,0.6,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:42
240304-231522,8,DQN,0,10.0,68,0.14705882352941177,0.38,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:42
240304-213329,7,DQN,2,16.0,161,0.09937888198757763,0.58,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:42
240304-231522,8,DQN,2,12.0,68,0.17647058823529413,0.33,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:42
240304-231522,8,DQN,1,39.0,68,0.5735294117647058,0.38,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:42
240304-213329,7,DQN,1,43.0,161,0.2670807453416149,0.75,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:42
240304-213329,7,DQN,4,38.0,161,0.2360248447204969,0.72,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:42
240304-213329,7,DQN,3,19.0,161,0.11801242236024845,0.89,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:42
240304-231522,8,DQN,3,8.0,68,0.11764705882352941,0.5,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:42
240304-231522,8,DQN,4,37.0,68,0.5441176470588235,0.4,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:42
240305-141714,2,DQN,2,16.0,237,0.06751054852320675,0.84,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:43
240305-141714,2,DQN,0,16.0,237,0.06751054852320675,0.9,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:43
240305-141714,2,DQN,1,43.0,237,0.18143459915611815,1.05,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:43
240305-151215,7,DQN,2,16.0,190,0.08421052631578947,0.79,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:43
240305-151215,7,DQN,0,16.0,190,0.08421052631578947,0.86,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:43
240305-141714,2,DQN,4,58.0,237,0.24472573839662448,1.06,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:43
240305-151215,7,DQN,1,43.0,190,0.22631578947368422,0.97,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:43
240305-141714,2,DQN,3,20.0,237,0.08438818565400844,1.28,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:43
240305-151215,7,DQN,4,40.0,190,0.21052631578947367,0.85,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:44
240305-182215,8,DQN,0,16.0,195,0.08205128205128205,0.83,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:44
240305-151215,7,DQN,3,20.0,190,0.10526315789473684,1.1,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:44
240305-182215,8,DQN,2,16.0,195,0.08205128205128205,0.74,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:44
240305-182215,8,DQN,1,43.0,195,0.2205128205128205,0.9,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:44
240305-204136,4,DQN,0,16.0,172,0.09302325581395349,0.73,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:44
240305-182215,8,DQN,4,40.0,195,0.20512820512820512,0.81,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:44
240305-182215,8,DQN,3,20.0,195,0.10256410256410256,0.95,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:44
240305-204136,4,DQN,2,16.0,172,0.09302325581395349,0.54,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:44
240305-204136,4,DQN,1,43.0,172,0.25,0.72,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:44
240305-204136,4,DQN,4,38.0,172,0.22093023255813954,0.59,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:44
240305-204136,4,DQN,3,20.0,172,0.11627906976744186,0.74,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:45
240306-142016,2,DQN,0,16.0,271,0.05904059040590406,0.88,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:45
240306-142016,2,DQN,2,33.0,271,0.12177121771217712,0.82,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:45
240306-142016,2,DQN,1,43.0,271,0.15867158671586715,0.99,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:45
240306-142016,2,DQN,4,58.0,271,0.2140221402214022,0.99,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:45
240306-142016,2,DQN,3,20.0,271,0.07380073800738007,1.19,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:45
240306-165856,7,DQN,0,16.0,479,0.033402922755741124,1.58,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:46
240306-165856,7,DQN,1,83.0,479,0.1732776617954071,1.7,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:46
240306-165856,7,DQN,2,47.0,479,0.09812108559498957,1.59,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:46
240306-191216,8,DQN,0,16.0,354,0.04519774011299435,1.2,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:46
240306-165856,7,DQN,4,116.0,479,0.24217118997912318,1.58,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:46
240306-191216,8,DQN,2,37.0,354,0.10451977401129943,1.1,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:47
240306-191216,8,DQN,1,76.0,354,0.21468926553672316,1.33,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:47
240306-165856,7,DQN,3,20.0,479,0.04175365344467641,1.94,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:47
240306-210028,4,DQN,0,16.0,194,0.08247422680412371,0.79,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:47
240306-210028,4,DQN,1,43.0,194,0.22164948453608246,0.91,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:47
240306-210028,4,DQN,2,16.0,194,0.08247422680412371,0.7,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:47
