exp_moment,animal_ID,maze,model,repeat_idx,total_reward,n_actions,mouse_reward,seed,elapsed_s,date_part
251227-174332,031,250311_latMaz103,VarMarkov,2,32.0,247,50,44,0.0421,251227
251227-174332,031,250311_latMaz103,VarMarkov,3,36.0,247,50,45,0.0407,251227
251227-174332,031,250311_latMaz103,VarMarkov,4,13.0,247,50,46,0.0413,251227
251226-181307,031,250311_latMaz103,VarMarkov,0,13.0,208,49,42,0.0417,251226
251226-181307,031,250311_latMaz103,VarMarkov,1,53.0,208,49,43,0.0423,251226
251226-181307,031,250311_latMaz103,VarMarkov,2,26.0,208,49,44,0.0416,251226
251226-181307,031,250311_latMaz103,VarMarkov,3,35.0,208,49,45,0.0416,251226
251226-181307,031,250311_latMaz103,VarMarkov,4,13.0,208,49,46,0.0408,251226
251225-181630,031,250311_latMaz103,VarMarkov,0,13.0,178,53,42,0.0388,251225
251225-181630,031,250311_latMaz103,VarMarkov,1,51.0,178,53,43,0.0433,251225
251225-181630,031,250311_latMaz103,VarMarkov,2,23.0,178,53,44,0.0412,251225
251225-181630,031,250311_latMaz103,VarMarkov,3,26.0,178,53,45,0.0386,251225
251225-181630,031,250311_latMaz103,VarMarkov,4,13.0,178,53,46,0.0402,251225
251224-181729,031,250311_latMaz103,VarMarkov,0,10.0,80,7,42,0.0378,251224
251224-181729,031,250311_latMaz103,VarMarkov,1,26.0,80,7,43,0.0383,251224
251224-181729,031,250311_latMaz103,VarMarkov,2,9.0,80,7,44,0.0375,251224
251224-181729,031,250311_latMaz103,VarMarkov,3,11.0,80,7,45,0.0386,251224
251224-181729,031,250311_latMaz103,VarMarkov,4,13.0,80,7,46,0.037,251224
251222-194856,031,250311_latMaz103,VarMarkov,0,13.0,212,7,42,0.0404,251222
251222-194856,031,250311_latMaz103,VarMarkov,1,53.0,212,7,43,0.0397,251222
251222-194856,031,250311_latMaz103,VarMarkov,2,28.0,212,7,44,0.0402,251222
251222-194856,031,250311_latMaz103,VarMarkov,3,35.0,212,7,45,0.0391,251222
251222-194856,031,250311_latMaz103,VarMarkov,4,13.0,212,7,46,0.0421,251222
251221-193410,031,250311_latMaz103,VarMarkov,0,13.0,529,151,42,0.0469,251221
251221-193410,031,250311_latMaz103,VarMarkov,1,124.0,529,151,43,0.0476,251221
251221-193410,031,250311_latMaz103,VarMarkov,2,75.0,529,151,44,0.0455,251221
251221-193410,031,250311_latMaz103,VarMarkov,3,92.0,529,151,45,0.0476,251221
251221-193410,031,250311_latMaz103,VarMarkov,4,51.0,529,151,46,0.0475,251221
251220-165800,031,250311_latMaz103,VarMarkov,0,25.0,695,218,42,0.0509,251220
251220-165800,031,250311_latMaz103,VarMarkov,1,125.0,695,218,43,0.0516,251220
