exp_moment,animal_ID,maze,model,repeat_idx,total_reward,n_actions,mouse_reward,seed,elapsed_s,date_part
240229-152434,007,240218_intuition_maze_003,VarMarkov,0,43.0,338,32,42,0.0431,240229
240229-152434,007,240218_intuition_maze_003,VarMarkov,1,34.0,338,32,43,0.0445,240229
240229-152434,007,240218_intuition_maze_003,VarMarkov,2,38.0,338,32,44,0.0458,240229
240229-152434,007,240218_intuition_maze_003,VarMarkov,3,43.0,338,32,45,0.0439,240229
240229-152434,007,240218_intuition_maze_003,VarMarkov,4,25.0,338,32,46,0.0455,240229
240229-135528,002,240218_intuition_maze_003,VarMarkov,0,37.0,246,43,42,0.0429,240229
240229-135528,002,240218_intuition_maze_003,VarMarkov,1,19.0,246,43,43,0.0423,240229
240229-135528,002,240218_intuition_maze_003,VarMarkov,2,35.0,246,43,44,0.0438,240229
240229-135528,002,240218_intuition_maze_003,VarMarkov,3,41.0,246,43,45,0.0401,240229
240229-135528,002,240218_intuition_maze_003,VarMarkov,4,19.0,246,43,46,0.0413,240229
240228-220335,008,240218_intuition_maze_003,VarMarkov,0,24.0,86,19,42,0.0385,240228
240228-220335,008,240218_intuition_maze_003,VarMarkov,1,14.0,86,19,43,0.0378,240228
240228-220335,008,240218_intuition_maze_003,VarMarkov,2,21.0,86,19,44,0.039,240228
240228-220335,008,240218_intuition_maze_003,VarMarkov,3,19.0,86,19,45,0.0388,240228
240228-220335,008,240218_intuition_maze_003,VarMarkov,4,15.0,86,19,46,0.0384,240228
240228-201752,007,240218_intuition_maze_003,VarMarkov,0,26.0,147,27,42,0.0399,240228
240228-201752,007,240218_intuition_maze_003,VarMarkov,1,19.0,147,27,43,0.0391,240228
240228-201752,007,240218_intuition_maze_003,VarMarkov,2,34.0,147,27,44,0.0395,240228
240228-201752,007,240218_intuition_maze_003,VarMarkov,3,28.0,147,27,45,0.0394,240228
240228-201752,007,240218_intuition_maze_003,VarMarkov,4,15.0,147,27,46,0.0412,240228
240228-172920,002,240218_intuition_maze_003,VarMarkov,0,25.0,116,8,42,0.04,240228
240228-172920,002,240218_intuition_maze_003,VarMarkov,1,19.0,116,8,43,0.0373,240228
240228-172920,002,240218_intuition_maze_003,VarMarkov,2,31.0,116,8,44,0.0381,240228
240228-172920,002,240218_intuition_maze_003,VarMarkov,3,19.0,116,8,45,0.0387,240228
240228-172920,002,240218_intuition_maze_003,VarMarkov,4,15.0,116,8,46,0.0388,240228
240228-154948,008,240218_intuition_maze_003,VarMarkov,0,26.0,144,30,42,0.0382,240228
240228-154948,008,240218_intuition_maze_003,VarMarkov,1,19.0,144,30,43,0.0392,240228
240228-154948,008,240218_intuition_maze_003,VarMarkov,2,34.0,144,30,44,0.039,240228
240228-154948,008,240218_intuition_maze_003,VarMarkov,3,26.0,144,30,45,0.04,240228
240228-154948,008,240218_intuition_maze_003,VarMarkov,4,15.0,144,30,46,0.0392,240228
240228-132725,007,240218_intuition_maze_003,VarMarkov,0,26.0,167,28,42,0.0406,240228
240228-132725,007,240218_intuition_maze_003,VarMarkov,1,19.0,167,28,43,0.0402,240228
240228-132725,007,240218_intuition_maze_003,VarMarkov,2,34.0,167,28,44,0.0453,240228
240228-132725,007,240218_intuition_maze_003,VarMarkov,3,31.0,167,28,45,0.0417,240228
240228-132725,007,240218_intuition_maze_003,VarMarkov,4,15.0,167,28,46,0.0403,240228
240228-120043,002,240218_intuition_maze_003,VarMarkov,0,20.0,66,29,42,0.0378,240228
240228-120043,002,240218_intuition_maze_003,VarMarkov,1,14.0,66,29,43,0.0382,240228
240228-120043,002,240218_intuition_maze_003,VarMarkov,2,17.0,66,29,44,0.039,240228
240228-120043,002,240218_intuition_maze_003,VarMarkov,3,17.0,66,29,45,0.0394,240228
240228-120043,002,240218_intuition_maze_003,VarMarkov,4,12.0,66,29,46,0.0391,240228
240227-225707,008,240218_intuition_maze_003,VarMarkov,0,36.0,94,27,42,0.0394,240227
240227-225707,008,240218_intuition_maze_003,VarMarkov,1,25.0,94,27,43,0.0393,240227
240227-225707,008,240218_intuition_maze_003,VarMarkov,2,31.0,94,27,44,0.0388,240227
240227-225707,008,240218_intuition_maze_003,VarMarkov,3,16.0,94,27,45,0.0381,240227
240227-225707,008,240218_intuition_maze_003,VarMarkov,4,15.0,94,27,46,0.0381,240227
240227-204747,008,240218_intuition_maze_003,VarMarkov,0,8.0,25,9,42,0.0394,240227
240227-204747,008,240218_intuition_maze_003,VarMarkov,1,14.0,25,9,43,0.0359,240227
240227-204747,008,240218_intuition_maze_003,VarMarkov,2,9.0,25,9,44,0.0351,240227
240227-204747,008,240218_intuition_maze_003,VarMarkov,3,12.0,25,9,45,0.0355,240227
240227-204747,008,240218_intuition_maze_003,VarMarkov,4,10.0,25,9,46,0.0352,240227
240227-203646,007,240218_intuition_maze_003,VarMarkov,0,26.0,139,36,42,0.0393,240227
240227-203646,007,240218_intuition_maze_003,VarMarkov,1,19.0,139,36,43,0.0391,240227
240227-203646,007,240218_intuition_maze_003,VarMarkov,2,34.0,139,36,44,0.0391,240227
240227-203646,007,240218_intuition_maze_003,VarMarkov,3,25.0,139,36,45,0.0383,240227
240227-203646,007,240218_intuition_maze_003,VarMarkov,4,15.0,139,36,46,0.039,240227
240227-191813,002,240218_intuition_maze_003,VarMarkov,0,26.0,161,39,42,0.0399,240227
240227-191813,002,240218_intuition_maze_003,VarMarkov,1,19.0,161,39,43,0.0411,240227
240227-191813,002,240218_intuition_maze_003,VarMarkov,2,34.0,161,39,44,0.0418,240227
240227-191813,002,240218_intuition_maze_003,VarMarkov,3,30.0,161,39,45,0.0445,240227
240227-191813,002,240218_intuition_maze_003,VarMarkov,4,15.0,161,39,46,0.0417,240227
240227-180045,008,240218_intuition_maze_003,VarMarkov,0,43.0,360,43,42,0.0459,240227
240227-180045,008,240218_intuition_maze_003,VarMarkov,1,34.0,360,43,43,0.0439,240227
240227-180045,008,240218_intuition_maze_003,VarMarkov,2,38.0,360,43,44,0.0454,240227
240227-180045,008,240218_intuition_maze_003,VarMarkov,3,43.0,360,43,45,0.0467,240227
240227-180045,008,240218_intuition_maze_003,VarMarkov,4,27.0,360,43,46,0.0454,240227
240227-143115,007,240218_intuition_maze_003,VarMarkov,0,37.0,266,37,42,0.0437,240227
240227-143115,007,240218_intuition_maze_003,VarMarkov,1,19.0,266,37,43,0.0449,240227
240227-143115,007,240218_intuition_maze_003,VarMarkov,2,35.0,266,37,44,0.0429,240227
240227-143115,007,240218_intuition_maze_003,VarMarkov,3,41.0,266,37,45,0.0435,240227
240227-143115,007,240218_intuition_maze_003,VarMarkov,4,19.0,266,37,46,0.0454,240227
240227-130621,002,240218_intuition_maze_003,VarMarkov,0,26.0,183,38,42,0.0407,240227
240227-130621,002,240218_intuition_maze_003,VarMarkov,1,19.0,183,38,43,0.0403,240227
240227-130621,002,240218_intuition_maze_003,VarMarkov,2,34.0,183,38,44,0.0407,240227
240227-130621,002,240218_intuition_maze_003,VarMarkov,3,33.0,183,38,45,0.0397,240227
240227-130621,002,240218_intuition_maze_003,VarMarkov,4,18.0,183,38,46,0.0401,240227
240226-190437,008,240218_intuition_maze_003,VarMarkov,0,26.0,158,21,42,0.0404,240226
240226-190437,008,240218_intuition_maze_003,VarMarkov,1,19.0,158,21,43,0.0407,240226
240226-190437,008,240218_intuition_maze_003,VarMarkov,2,34.0,158,21,44,0.0412,240226
240226-190437,008,240218_intuition_maze_003,VarMarkov,3,29.0,158,21,45,0.0413,240226
240226-190437,008,240218_intuition_maze_003,VarMarkov,4,15.0,158,21,46,0.0428,240226
240226-171009,007,240218_intuition_maze_003,VarMarkov,0,25.0,116,17,42,0.0406,240226
240226-171009,007,240218_intuition_maze_003,VarMarkov,1,19.0,116,17,43,0.0443,240226
240226-171009,007,240218_intuition_maze_003,VarMarkov,2,31.0,116,17,44,0.0422,240226
240226-171009,007,240218_intuition_maze_003,VarMarkov,3,19.0,116,17,45,0.0396,240226
240226-171009,007,240218_intuition_maze_003,VarMarkov,4,15.0,116,17,46,0.0405,240226
240226-155338,007,240218_intuition_maze_003,VarMarkov,0,7.0,10,8,42,0.0371,240226
240226-155338,007,240218_intuition_maze_003,VarMarkov,1,6.0,10,8,43,0.0371,240226
240226-155338,007,240218_intuition_maze_003,VarMarkov,2,4.0,10,8,44,0.0372,240226
240226-155338,007,240218_intuition_maze_003,VarMarkov,3,5.0,10,8,45,0.0383,240226
240226-155338,007,240218_intuition_maze_003,VarMarkov,4,5.0,10,8,46,0.038,240226
240226-154652,002,240218_intuition_maze_003,VarMarkov,0,26.0,135,37,42,0.0411,240226
240226-154652,002,240218_intuition_maze_003,VarMarkov,1,19.0,135,37,43,0.0403,240226
240226-154652,002,240218_intuition_maze_003,VarMarkov,2,34.0,135,37,44,0.0406,240226
240226-154652,002,240218_intuition_maze_003,VarMarkov,3,25.0,135,37,45,0.0404,240226
240226-154652,002,240218_intuition_maze_003,VarMarkov,4,15.0,135,37,46,0.0418,240226
240226-140907,008,240218_intuition_maze_003,VarMarkov,0,35.0,221,19,42,0.0422,240226
240226-140907,008,240218_intuition_maze_003,VarMarkov,1,19.0,221,19,43,0.0429,240226
240226-140907,008,240218_intuition_maze_003,VarMarkov,2,34.0,221,19,44,0.0417,240226
240226-140907,008,240218_intuition_maze_003,VarMarkov,3,41.0,221,19,45,0.0415,240226
240226-140907,008,240218_intuition_maze_003,VarMarkov,4,19.0,221,19,46,0.041,240226
240226-124049,007,240218_intuition_maze_003,VarMarkov,0,40.0,276,44,42,0.0435,240226
240226-124049,007,240218_intuition_maze_003,VarMarkov,1,19.0,276,44,43,0.043,240226
240226-124049,007,240218_intuition_maze_003,VarMarkov,2,38.0,276,44,44,0.0439,240226
240226-124049,007,240218_intuition_maze_003,VarMarkov,3,41.0,276,44,45,0.0444,240226
240226-124049,007,240218_intuition_maze_003,VarMarkov,4,19.0,276,44,46,0.0441,240226
240226-112600,002,240218_intuition_maze_003,VarMarkov,0,18.0,62,13,42,0.0413,240226
240226-112600,002,240218_intuition_maze_003,VarMarkov,1,14.0,62,13,43,0.0415,240226
240226-112600,002,240218_intuition_maze_003,VarMarkov,2,16.0,62,13,44,0.0387,240226
240226-112600,002,240218_intuition_maze_003,VarMarkov,3,17.0,62,13,45,0.039,240226
240226-112600,002,240218_intuition_maze_003,VarMarkov,4,12.0,62,13,46,0.0386,240226
240225-213306,002,240218_intuition_maze_003,VarMarkov,0,37.0,257,25,42,0.0432,240225
240225-213306,002,240218_intuition_maze_003,VarMarkov,1,19.0,257,25,43,0.0434,240225
240225-213306,002,240218_intuition_maze_003,VarMarkov,2,35.0,257,25,44,0.0428,240225
240225-213306,002,240218_intuition_maze_003,VarMarkov,3,41.0,257,25,45,0.0432,240225
240225-213306,002,240218_intuition_maze_003,VarMarkov,4,19.0,257,25,46,0.0426,240225
240225-192809,008,240218_intuition_maze_003,VarMarkov,0,34.0,208,22,42,0.0423,240225
240225-192809,008,240218_intuition_maze_003,VarMarkov,1,19.0,208,22,43,0.042,240225
240225-192809,008,240218_intuition_maze_003,VarMarkov,2,34.0,208,22,44,0.0437,240225
240225-192809,008,240218_intuition_maze_003,VarMarkov,3,40.0,208,22,45,0.0434,240225
240225-192809,008,240218_intuition_maze_003,VarMarkov,4,19.0,208,22,46,0.0425,240225
240225-175244,007,240218_intuition_maze_003,VarMarkov,0,43.0,347,43,42,0.0466,240225
240225-175244,007,240218_intuition_maze_003,VarMarkov,1,34.0,347,43,43,0.0437,240225
240225-175244,007,240218_intuition_maze_003,VarMarkov,2,38.0,347,43,44,0.0437,240225
240225-175244,007,240218_intuition_maze_003,VarMarkov,3,43.0,347,43,45,0.0425,240225
240225-175244,007,240218_intuition_maze_003,VarMarkov,4,26.0,347,43,46,0.0428,240225
240225-160114,002,240218_intuition_maze_003,VarMarkov,0,25.0,123,34,42,0.0397,240225
240225-160114,002,240218_intuition_maze_003,VarMarkov,1,19.0,123,34,43,0.0396,240225
240225-160114,002,240218_intuition_maze_003,VarMarkov,2,31.0,123,34,44,0.0392,240225
240225-160114,002,240218_intuition_maze_003,VarMarkov,3,19.0,123,34,45,0.0401,240225
240225-160114,002,240218_intuition_maze_003,VarMarkov,4,15.0,123,34,46,0.0432,240225
240224-203254,002,240218_intuition_maze_003,VarMarkov,0,26.0,144,38,42,0.0409,240224
240224-203254,002,240218_intuition_maze_003,VarMarkov,1,19.0,144,38,43,0.0389,240224
240224-203254,002,240218_intuition_maze_003,VarMarkov,2,34.0,144,38,44,0.0402,240224
240224-203254,002,240218_intuition_maze_003,VarMarkov,3,26.0,144,38,45,0.0403,240224
240224-203254,002,240218_intuition_maze_003,VarMarkov,4,15.0,144,38,46,0.0409,240224
240224-190358,008,240218_intuition_maze_003,VarMarkov,0,38.0,269,23,42,0.0432,240224
240224-190358,008,240218_intuition_maze_003,VarMarkov,1,19.0,269,23,43,0.0409,240224
240224-190358,008,240218_intuition_maze_003,VarMarkov,2,35.0,269,23,44,0.0414,240224
240224-190358,008,240218_intuition_maze_003,VarMarkov,3,41.0,269,23,45,0.042,240224
240224-190358,008,240218_intuition_maze_003,VarMarkov,4,19.0,269,23,46,0.0418,240224
240224-171744,007,240218_intuition_maze_003,VarMarkov,0,43.0,298,41,42,0.0426,240224
240224-171744,007,240218_intuition_maze_003,VarMarkov,1,30.0,298,41,43,0.0454,240224
240224-171744,007,240218_intuition_maze_003,VarMarkov,2,38.0,298,41,44,0.0428,240224
240224-171744,007,240218_intuition_maze_003,VarMarkov,3,41.0,298,41,45,0.0419,240224
240224-171744,007,240218_intuition_maze_003,VarMarkov,4,19.0,298,41,46,0.0427,240224
240224-150641,002,240218_intuition_maze_003,VarMarkov,0,25.0,109,21,42,0.0378,240224
240224-150641,002,240218_intuition_maze_003,VarMarkov,1,19.0,109,21,43,0.0379,240224
240224-150641,002,240218_intuition_maze_003,VarMarkov,2,31.0,109,21,44,0.039,240224
240224-150641,002,240218_intuition_maze_003,VarMarkov,3,19.0,109,21,45,0.0389,240224
240224-150641,002,240218_intuition_maze_003,VarMarkov,4,15.0,109,21,46,0.0381,240224
240223-221851,007,240218_intuition_maze_003,VarMarkov,0,23.0,83,20,42,0.0372,240223
240223-221851,007,240218_intuition_maze_003,VarMarkov,1,14.0,83,20,43,0.0376,240223
240223-221851,007,240218_intuition_maze_003,VarMarkov,2,21.0,83,20,44,0.0371,240223
240223-221851,007,240218_intuition_maze_003,VarMarkov,3,19.0,83,20,45,0.0401,240223
240223-221851,007,240218_intuition_maze_003,VarMarkov,4,15.0,83,20,46,0.0416,240223
240223-214541,002,240218_intuition_maze_003,VarMarkov,0,25.0,111,35,42,0.0394,240223
240223-214541,002,240218_intuition_maze_003,VarMarkov,1,19.0,111,35,43,0.038,240223
240223-214541,002,240218_intuition_maze_003,VarMarkov,2,31.0,111,35,44,0.0385,240223
240223-214541,002,240218_intuition_maze_003,VarMarkov,3,19.0,111,35,45,0.0386,240223
240223-214541,002,240218_intuition_maze_003,VarMarkov,4,15.0,111,35,46,0.0388,240223
240223-193124,008,240218_intuition_maze_003,VarMarkov,0,35.0,218,23,42,0.0418,240223
240223-193124,008,240218_intuition_maze_003,VarMarkov,1,19.0,218,23,43,0.041,240223
240223-193124,008,240218_intuition_maze_003,VarMarkov,2,34.0,218,23,44,0.0401,240223
240223-193124,008,240218_intuition_maze_003,VarMarkov,3,40.0,218,23,45,0.0402,240223
240223-193124,008,240218_intuition_maze_003,VarMarkov,4,19.0,218,23,46,0.041,240223
240223-174033,007,240218_intuition_maze_003,VarMarkov,0,26.0,189,40,42,0.0401,240223
240223-174033,007,240218_intuition_maze_003,VarMarkov,1,19.0,189,40,43,0.0423,240223
240223-174033,007,240218_intuition_maze_003,VarMarkov,2,34.0,189,40,44,0.0418,240223
240223-174033,007,240218_intuition_maze_003,VarMarkov,3,33.0,189,40,45,0.0397,240223
240223-174033,007,240218_intuition_maze_003,VarMarkov,4,18.0,189,40,46,0.0405,240223
240223-160431,002,240218_intuition_maze_003,VarMarkov,0,23.0,81,15,42,0.0374,240223
240223-160431,002,240218_intuition_maze_003,VarMarkov,1,14.0,81,15,43,0.0376,240223
240223-160431,002,240218_intuition_maze_003,VarMarkov,2,20.0,81,15,44,0.037,240223
240223-160431,002,240218_intuition_maze_003,VarMarkov,3,19.0,81,15,45,0.0377,240223
240223-160431,002,240218_intuition_maze_003,VarMarkov,4,15.0,81,15,46,0.0367,240223
240222-224328,002,240218_intuition_maze_003,VarMarkov,0,23.0,77,14,42,0.0377,240222
240222-224328,002,240218_intuition_maze_003,VarMarkov,1,14.0,77,14,43,0.0367,240222
240222-224328,002,240218_intuition_maze_003,VarMarkov,2,20.0,77,14,44,0.0369,240222
240222-224328,002,240218_intuition_maze_003,VarMarkov,3,19.0,77,14,45,0.0391,240222
240222-224328,002,240218_intuition_maze_003,VarMarkov,4,15.0,77,14,46,0.0414,240222
240222-204949,002,240218_intuition_maze_003,VarMarkov,0,23.0,76,6,42,0.0408,240222
240222-204949,002,240218_intuition_maze_003,VarMarkov,1,14.0,76,6,43,0.0365,240222
240222-204949,002,240218_intuition_maze_003,VarMarkov,2,20.0,76,6,44,0.0377,240222
240222-204949,002,240218_intuition_maze_003,VarMarkov,3,19.0,76,6,45,0.0371,240222
240222-204949,002,240218_intuition_maze_003,VarMarkov,4,14.0,76,6,46,0.0367,240222
240222-182933,008,240218_intuition_maze_003,VarMarkov,0,8.0,24,2,42,0.0362,240222
240222-182933,008,240218_intuition_maze_003,VarMarkov,1,14.0,24,2,43,0.0368,240222
240222-182933,008,240218_intuition_maze_003,VarMarkov,2,9.0,24,2,44,0.0363,240222
240222-182933,008,240218_intuition_maze_003,VarMarkov,3,11.0,24,2,45,0.0384,240222
240222-182933,008,240218_intuition_maze_003,VarMarkov,4,10.0,24,2,46,0.0366,240222
240222-181600,008,240218_intuition_maze_003,VarMarkov,0,8.0,17,0,42,0.0357,240222
240222-181600,008,240218_intuition_maze_003,VarMarkov,1,12.0,17,0,43,0.0362,240222
240222-181600,008,240218_intuition_maze_003,VarMarkov,2,7.0,17,0,44,0.037,240222
240222-181600,008,240218_intuition_maze_003,VarMarkov,3,7.0,17,0,45,0.0384,240222
240222-181600,008,240218_intuition_maze_003,VarMarkov,4,7.0,17,0,46,0.0369,240222
240222-175335,008,240218_intuition_maze_003,VarMarkov,0,8.0,21,2,42,0.0375,240222
240222-175335,008,240218_intuition_maze_003,VarMarkov,1,14.0,21,2,43,0.036,240222
240222-175335,008,240218_intuition_maze_003,VarMarkov,2,8.0,21,2,44,0.0353,240222
240222-175335,008,240218_intuition_maze_003,VarMarkov,3,10.0,21,2,45,0.0367,240222
240222-175335,008,240218_intuition_maze_003,VarMarkov,4,8.0,21,2,46,0.0368,240222
240222-172048,007,240218_intuition_maze_003,VarMarkov,0,8.0,27,5,42,0.0379,240222
240222-172048,007,240218_intuition_maze_003,VarMarkov,1,14.0,27,5,43,0.0362,240222
240222-172048,007,240218_intuition_maze_003,VarMarkov,2,9.0,27,5,44,0.0369,240222
240222-172048,007,240218_intuition_maze_003,VarMarkov,3,14.0,27,5,45,0.0364,240222
240222-172048,007,240218_intuition_maze_003,VarMarkov,4,10.0,27,5,46,0.0354,240222
240222-165224,007,240218_intuition_maze_003,VarMarkov,0,25.0,119,6,42,0.0387,240222
240222-165224,007,240218_intuition_maze_003,VarMarkov,1,19.0,119,6,43,0.043,240222
240222-165224,007,240218_intuition_maze_003,VarMarkov,2,31.0,119,6,44,0.0408,240222
240222-165224,007,240218_intuition_maze_003,VarMarkov,3,19.0,119,6,45,0.04,240222
240222-165224,007,240218_intuition_maze_003,VarMarkov,4,15.0,119,6,46,0.0394,240222
240222-151220,002,240218_intuition_maze_003,VarMarkov,0,18.0,56,3,42,0.036,240222
240222-151220,002,240218_intuition_maze_003,VarMarkov,1,14.0,56,3,43,0.0368,240222
240222-151220,002,240218_intuition_maze_003,VarMarkov,2,16.0,56,3,44,0.038,240222
240222-151220,002,240218_intuition_maze_003,VarMarkov,3,17.0,56,3,45,0.0372,240222
240222-151220,002,240218_intuition_maze_003,VarMarkov,4,11.0,56,3,46,0.0363,240222
240222-140529,002,240218_intuition_maze_003,VarMarkov,0,8.0,17,5,42,0.0374,240222
240222-140529,002,240218_intuition_maze_003,VarMarkov,1,12.0,17,5,43,0.0381,240222
240222-140529,002,240218_intuition_maze_003,VarMarkov,2,7.0,17,5,44,0.0353,240222
240222-140529,002,240218_intuition_maze_003,VarMarkov,3,7.0,17,5,45,0.0351,240222
240222-140529,002,240218_intuition_maze_003,VarMarkov,4,7.0,17,5,46,0.0361,240222
240222-135617,002,240218_intuition_maze_003,VarMarkov,0,7.0,12,2,42,0.0384,240222
240222-135617,002,240218_intuition_maze_003,VarMarkov,1,7.0,12,2,43,0.0349,240222
240222-135617,002,240218_intuition_maze_003,VarMarkov,2,5.0,12,2,44,0.035,240222
240222-135617,002,240218_intuition_maze_003,VarMarkov,3,6.0,12,2,45,0.0352,240222
240222-135617,002,240218_intuition_maze_003,VarMarkov,4,5.0,12,2,46,0.0397,240222
240824-185241,000,240824_latent_maze_006,VarMarkov,0,1.0,1,1,42,0.0377,240824
240824-185241,000,240824_latent_maze_006,VarMarkov,1,1.0,1,1,43,0.0378,240824
240824-185241,000,240824_latent_maze_006,VarMarkov,2,1.0,1,1,44,0.0366,240824
240824-185241,000,240824_latent_maze_006,VarMarkov,3,1.0,1,1,45,0.0357,240824
240824-185241,000,240824_latent_maze_006,VarMarkov,4,1.0,1,1,46,0.0358,240824
240905-143058,001,240901_latMaz007,VarMarkov,0,4.0,9,5,42,0.036,240905
240905-143058,001,240901_latMaz007,VarMarkov,1,6.0,9,5,43,0.0358,240905
240905-143058,001,240901_latMaz007,VarMarkov,2,3.0,9,5,44,0.036,240905
240905-143058,001,240901_latMaz007,VarMarkov,3,4.0,9,5,45,0.0397,240905
240905-143058,001,240901_latMaz007,VarMarkov,4,4.0,9,5,46,0.0382,240905
240906-153023,003,240901_latMaz007,VarMarkov,0,1.0,1,1,42,0.0362,240906
240906-153023,003,240901_latMaz007,VarMarkov,1,1.0,1,1,43,0.0355,240906
240906-153023,003,240901_latMaz007,VarMarkov,2,1.0,1,1,44,0.0353,240906
240906-153023,003,240901_latMaz007,VarMarkov,3,1.0,1,1,45,0.0365,240906
240906-153023,003,240901_latMaz007,VarMarkov,4,1.0,1,1,46,0.0349,240906
240907-201449,001,240901_latMaz007,VarMarkov,0,2.0,2,2,42,0.0351,240907
240907-201449,001,240901_latMaz007,VarMarkov,1,2.0,2,2,43,0.0356,240907
240907-201449,001,240901_latMaz007,VarMarkov,2,2.0,2,2,44,0.0364,240907
240907-201449,001,240901_latMaz007,VarMarkov,3,2.0,2,2,45,0.0363,240907
240907-201449,001,240901_latMaz007,VarMarkov,4,2.0,2,2,46,0.0373,240907
240930-173109,188,240901_latMaz007,VarMarkov,0,4.0,5,3,42,0.0349,240930
240930-173109,188,240901_latMaz007,VarMarkov,1,4.0,5,3,43,0.0346,240930
240930-173109,188,240901_latMaz007,VarMarkov,2,3.0,5,3,44,0.0378,240930
240930-173109,188,240901_latMaz007,VarMarkov,3,4.0,5,3,45,0.0363,240930
240930-173109,188,240901_latMaz007,VarMarkov,4,4.0,5,3,46,0.0372,240930
250213-144206,029,240901_latMaz007,VarMarkov,0,1.0,1,1,42,0.038,250213
250213-144206,029,240901_latMaz007,VarMarkov,1,1.0,1,1,43,0.0372,250213
250213-144206,029,240901_latMaz007,VarMarkov,2,1.0,1,1,44,0.035,250213
250213-144206,029,240901_latMaz007,VarMarkov,3,1.0,1,1,45,0.0359,250213
250213-144206,029,240901_latMaz007,VarMarkov,4,1.0,1,1,46,0.0351,250213
250316-161853,030,250311_latMaz106,VarMarkov,0,6.0,7,6,42,0.0361,250316
250316-161853,030,250311_latMaz106,VarMarkov,1,6.0,7,6,43,0.0358,250316
250316-161853,030,250311_latMaz106,VarMarkov,2,4.0,7,6,44,0.0361,250316
250316-161853,030,250311_latMaz106,VarMarkov,3,4.0,7,6,45,0.037,250316
250316-161853,030,250311_latMaz106,VarMarkov,4,5.0,7,6,46,0.0366,250316
260201-212331,033,250311_latMaz101,VarMarkov,0,77.0,294,97,42,0.0449,260201
260201-212331,033,250311_latMaz101,VarMarkov,1,61.0,294,97,43,0.0458,260201
260201-212331,033,250311_latMaz101,VarMarkov,2,77.0,294,97,44,0.0447,260201
260201-212331,033,250311_latMaz101,VarMarkov,3,56.0,294,97,45,0.0426,260201
260201-212331,033,250311_latMaz101,VarMarkov,4,53.0,294,97,46,0.042,260201
260202-202543,033,250311_latMaz101,VarMarkov,0,52.0,236,42,42,0.0409,260202
260202-202543,033,250311_latMaz101,VarMarkov,1,47.0,236,42,43,0.041,260202
260202-202543,033,250311_latMaz101,VarMarkov,2,55.0,236,42,44,0.0405,260202
260202-202543,033,250311_latMaz101,VarMarkov,3,43.0,236,42,45,0.0405,260202
260202-202543,033,250311_latMaz101,VarMarkov,4,42.0,236,42,46,0.0411,260202
260203-171228,033,250311_latMaz101,VarMarkov,0,63.0,255,81,42,0.0407,260203
260203-171228,033,250311_latMaz101,VarMarkov,1,49.0,255,81,43,0.0415,260203
260203-171228,033,250311_latMaz101,VarMarkov,2,62.0,255,81,44,0.0438,260203
260203-171228,033,250311_latMaz101,VarMarkov,3,47.0,255,81,45,0.0422,260203
260203-171228,033,250311_latMaz101,VarMarkov,4,42.0,255,81,46,0.04,260203
260204-193925,033,250311_latMaz101,VarMarkov,0,35.0,151,42,42,0.0397,260204
260204-193925,033,250311_latMaz101,VarMarkov,1,38.0,151,42,43,0.0383,260204
260204-193925,033,250311_latMaz101,VarMarkov,2,38.0,151,42,44,0.0404,260204
260204-193925,033,250311_latMaz101,VarMarkov,3,41.0,151,42,45,0.0389,260204
260204-193925,033,250311_latMaz101,VarMarkov,4,33.0,151,42,46,0.0391,260204
260205-191855,033,250311_latMaz101,VarMarkov,0,32.0,127,27,42,0.0382,260205
260205-191855,033,250311_latMaz101,VarMarkov,1,31.0,127,27,43,0.0387,260205
260205-191855,033,250311_latMaz101,VarMarkov,2,37.0,127,27,44,0.0382,260205
260205-191855,033,250311_latMaz101,VarMarkov,3,32.0,127,27,45,0.0379,260205
260205-191855,033,250311_latMaz101,VarMarkov,4,28.0,127,27,46,0.0391,260205
260206-144834,033,250311_latMaz101,VarMarkov,0,111.0,518,164,42,0.0511,260206
260206-144834,033,250311_latMaz101,VarMarkov,1,97.0,518,164,43,0.0466,260206
260206-144834,033,250311_latMaz101,VarMarkov,2,113.0,518,164,44,0.0456,260206
260206-144834,033,250311_latMaz101,VarMarkov,3,117.0,518,164,45,0.0457,260206
260206-144834,033,250311_latMaz101,VarMarkov,4,70.0,518,164,46,0.0468,260206
260208-145358,033,250311_latMaz101,VarMarkov,0,51.0,234,70,42,0.0409,260208
260208-145358,033,250311_latMaz101,VarMarkov,1,47.0,234,70,43,0.0405,260208
260208-145358,033,250311_latMaz101,VarMarkov,2,55.0,234,70,44,0.0413,260208
260208-145358,033,250311_latMaz101,VarMarkov,3,42.0,234,70,45,0.0409,260208
260208-145358,033,250311_latMaz101,VarMarkov,4,42.0,234,70,46,0.0408,260208
260209-143612,033,250311_latMaz101,VarMarkov,0,49.0,223,92,42,0.0407,260209
260209-143612,033,250311_latMaz101,VarMarkov,1,46.0,223,92,43,0.042,260209
260209-143612,033,250311_latMaz101,VarMarkov,2,55.0,223,92,44,0.0431,260209
260209-143612,033,250311_latMaz101,VarMarkov,3,42.0,223,92,45,0.04,260209
260209-143612,033,250311_latMaz101,VarMarkov,4,41.0,223,92,46,0.0401,260209
260210-142932,033,250311_latMaz101,VarMarkov,0,52.0,236,93,42,0.04,260210
260210-142932,033,250311_latMaz101,VarMarkov,1,47.0,236,93,43,0.041,260210
