exp_moment,model,seed,total_reward,n_actions,animal_ID,elapsed_s
251130-232218,POMCP_bio,43,187.0,239,031,47.66806483268738
251130-232218,POMCP_bio,44,20.0,239,031,20.678003787994385
251130-232218,POMCP_bio,45,25.0,239,031,20.201416969299316
251130-232218,POMCP_bio,46,19.0,239,031,20.664040088653564
251130-134624,POMCP_bio,42,22.0,270,031,23.56715488433838
251130-134624,POMCP_bio,43,216.0,270,031,54.32037401199341
251130-134624,POMCP_bio,44,20.0,270,031,23.626287937164307
251130-134624,POMCP_bio,45,25.0,270,031,23.180636167526245
251130-134624,POMCP_bio,46,19.0,270,031,23.722639799118042
251129-155326,POMCP_bio,42,316.0,420,031,87.39836597442627
251129-155326,POMCP_bio,43,19.0,420,031,39.1914758682251
251129-155326,POMCP_bio,44,18.0,420,031,38.83770799636841
251129-155326,POMCP_bio,45,20.0,420,031,38.08355093002319
251129-155326,POMCP_bio,46,21.0,420,031,38.19193196296692
251128-125956,POMCP_bio,42,199.0,271,031,54.20611000061035
251128-125956,POMCP_bio,43,19.0,271,031,23.54872703552246
251128-125956,POMCP_bio,44,18.0,271,031,23.69480013847351
251128-125956,POMCP_bio,45,20.0,271,031,23.560114860534668
251128-125956,POMCP_bio,46,21.0,271,031,23.521902799606323
251127-113857,POMCP_bio,42,97.0,140,031,25.00206685066223
251127-113857,POMCP_bio,43,19.0,140,031,10.92916202545166
251127-113857,POMCP_bio,44,18.0,140,031,10.850434064865112
251127-113857,POMCP_bio,45,20.0,140,031,10.899789094924927
251127-113857,POMCP_bio,46,21.0,140,031,10.881533145904541
251126-135239,POMCP_bio,42,237.0,317,031,64.45183110237122
251126-135239,POMCP_bio,43,19.0,317,031,28.13979196548462
251126-135239,POMCP_bio,44,18.0,317,031,28.180099725723267
251126-135239,POMCP_bio,45,20.0,317,031,28.06057906150818
251126-135239,POMCP_bio,46,21.0,317,031,28.1107439994812
251125-162636,POMCP_bio,42,242.0,327,031,66.77848815917969
251125-162636,POMCP_bio,43,19.0,327,031,29.086960315704346
251125-162636,POMCP_bio,44,18.0,327,031,29.096787214279175
251125-162636,POMCP_bio,45,20.0,327,031,29.070073127746582
251125-162636,POMCP_bio,46,21.0,327,031,29.135285139083862
251124-164313,POMCP_bio,42,226.0,306,031,62.243324995040894
251124-164313,POMCP_bio,43,19.0,306,031,27.02459406852722
251124-164313,POMCP_bio,44,18.0,306,031,27.208168029785156
251124-164313,POMCP_bio,45,20.0,306,031,27.061533212661743
251124-164313,POMCP_bio,46,21.0,306,031,26.89962410926819
251123-125720,POMCP_bio,42,158.0,219,031,42.58315181732178
251123-125720,POMCP_bio,43,19.0,219,031,18.5607750415802
251123-125720,POMCP_bio,44,18.0,219,031,18.614509105682373
251123-125720,POMCP_bio,45,20.0,219,031,18.595908164978027
251123-125720,POMCP_bio,46,21.0,219,031,18.914894104003906
251122-140850,POMCP_bio,42,22.0,156,031,12.89816403388977
251122-140850,POMCP_bio,43,110.0,156,031,29.32034993171692
